user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown']",Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special,[117],118,['<a_110><b_49><c_101>'],<a_14><b_35><c_85>
A869,"['Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)']","Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",[130],130,['<a_91><b_103><c_64>'],<a_91><b_103><c_64>
A869,"['Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)', 'Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)']","Gorilla Tape, Black Duct Tape, 1.88"" x 12 yd, Black, (Pack of 1)","[130, 130]",622,"['<a_91><b_103><c_64>', '<a_91><b_103><c_64>']",<a_91><b_103><c_16>
A387,"['Fastcap 3HANDCPACK 3rd Hand Contractor Poles, 4-Pack']",Stanley 93-301 14-Inch Yellow Panel Carry Handle,[1242],986,['<a_200><b_177><c_11>'],<a_38><b_40><c_235>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special""]","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118]",119,"['<a_110><b_49><c_101>', '<a_14><b_35><c_85>']",<a_72><b_135><c_74>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special"", 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)']","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118, 119]",119,"['<a_110><b_49><c_101>', '<a_14><b_35><c_85>', '<a_72><b_135><c_74>']",<a_72><b_135><c_74>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special"", 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)', 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)']","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118, 119, 119]",119,"['<a_110><b_49><c_101>', '<a_14><b_35><c_85>', '<a_72><b_135><c_74>', '<a_72><b_135><c_74>']",<a_72><b_135><c_74>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special"", 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)', 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)', 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)']","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118, 119, 119, 119]",119,"['<a_110><b_49><c_101>', '<a_14><b_35><c_85>', '<a_72><b_135><c_74>', '<a_72><b_135><c_74>', '<a_72><b_135><c_74>']",<a_72><b_135><c_74>
A1959,"['6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length']","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length",[1154],1153,['<a_211><b_111><c_100>'],<a_211><b_111><c_249>
A1959,"['6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length']","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length","[1154, 1153]",1155,"['<a_211><b_111><c_100>', '<a_211><b_111><c_249>']",<a_211><b_111><c_90>
