item_id,semantic_density,semantic_collab_disagreement,graph_competition,offline_combined
0,0.93130946,0.93333334,0.928001,0.8386685
1,0.94388086,0.9677419,0.9812392,0.91406703
2,0.83072263,1.0,0.6293589,0.6504455
3,0.9540127,1.0,0.5719309,0.82817215
4,0.9385681,0.91525424,0.9692013,0.8443904
5,0.9598596,0.93333334,0.9677817,0.8976176
6,0.9601258,0.9508197,0.7504877,0.8442426
7,0.87238514,1.0,0.71439034,0.7455128
8,0.9706651,0.93333334,0.53121907,0.76853734
9,0.95310855,0.984127,0.9752184,0.9446332
10,0.8204563,1.0,0.53580844,0.6026835
11,0.9222019,0.9677419,0.95690626,0.87127423
12,0.9093006,1.0,0.982343,0.8943145
13,0.9450801,0.984127,0.8460318,0.8885005
14,0.91715723,0.9677419,0.88342124,0.8385809
15,0.9489763,1.0,0.6821377,0.857069
16,0.9288733,0.9677419,0.77072096,0.8195202
17,0.9056076,0.9677419,0.5835252,0.71959764
18,0.91924137,0.9508197,0.8040229,0.7968685
19,0.9209455,1.0,0.4945032,0.7493863
20,0.9469222,0.984127,0.6649903,0.83075505
21,0.9155678,0.9677419,0.64813477,0.7571692
22,0.94143975,0.93333334,0.731615,0.7890212
23,0.94285166,0.9677419,0.8715654,0.87565804
24,0.9202367,1.0,0.8128684,0.8549759
25,0.926068,0.8965517,0.85042346,0.7642378
26,0.9449653,1.0,0.8447389,0.90516764
27,0.9364598,0.9677419,0.6765508,0.8000733
28,0.93751484,1.0,0.71024734,0.84818023
29,0.91487753,1.0,0.9073364,0.878081
30,0.9472259,1.0,0.87775224,0.9198461
31,0.89097005,1.0,0.5766722,0.72903985
32,0.9540337,0.93333334,0.4549797,0.7164089
33,0.9603095,0.9508197,0.88596755,0.88995147
34,0.937291,0.984127,0.88093215,0.8877554
35,0.94444,0.984127,0.8502019,0.8888757
36,0.9553218,0.9677419,0.97249514,0.92941475
37,0.95387614,1.0,0.9272596,0.9470668
38,0.9109872,0.8965517,0.7964818,0.72206134
39,0.9645903,0.93333334,0.96736646,0.9050365
40,0.9407883,0.85714287,0.9509342,0.77853733
41,0.9289365,1.0,0.99231607,0.92902946
42,0.87961644,0.9508197,0.6539906,0.6832671
43,0.9008606,0.9508197,0.9823785,0.8272901
44,0.95799506,0.9677419,0.9863944,0.93834513
45,0.93336535,0.9508197,0.88392615,0.84621906
46,0.9275577,1.0,0.6802246,0.82220775
47,0.93880177,0.91525424,0.5249063,0.6958278
48,0.78237355,0.98214287,0.52123153,0.5175086
49,0.8957721,1.0,0.6810476,0.77170056
50,0.9549468,0.9677419,0.8342389,0.88246965
51,0.9560226,0.85714287,0.93439466,0.79733247
52,0.8850052,0.984127,0.6790629,0.7365492
53,0.9311284,0.8965517,0.6947955,0.7201533
54,0.92205584,0.8965517,0.76542175,0.72933346
55,0.9093047,0.9508197,0.5991517,0.7123163
56,0.8635016,0.9677419,0.99426544,0.79001373
57,0.87574106,1.0,0.9408973,0.82680386
58,0.9150603,1.0,0.9334283,0.8871195
59,0.83594877,1.0,0.5852308,0.6440027
60,0.9385864,0.984127,0.9866354,0.92525864
61,0.892672,0.984127,0.55795205,0.7081997
62,0.93852293,0.91525424,0.9804995,0.8481056
63,0.8755496,1.0,0.4947688,0.6769474
64,0.9030367,0.9508197,0.9277747,0.8124626
65,0.9363519,0.9677419,0.76824236,0.8306377
