item_id,semantic_density,semantic_collab_disagreement,graph_competition,offline_combined
0,0.8500222,1.0,0.7669411,0.73337275
1,0.9038974,0.9508197,0.8163535,0.78069776
2,0.8922167,0.9677419,0.65759945,0.7262271
3,0.92335284,0.9677419,0.91194177,0.8533492
4,0.9073298,0.984127,0.68574274,0.7699922
5,0.91244364,0.984127,0.79538214,0.81358224
6,0.8904395,0.9782609,0.4546211,0.66486317
7,0.853806,0.9508197,0.5996422,0.6405964
8,0.853806,0.9677419,0.85369956,0.7400324
9,0.91524005,0.8363636,0.57223314,0.61680526
10,0.9249969,0.984127,0.73833925,0.8114285
11,0.8974439,0.984127,0.75123876,0.77857333
12,0.8804376,0.984127,0.65322614,0.72283006
13,0.88032365,1.0,0.5399053,0.6982748
14,0.87375236,1.0,0.7855101,0.77160144
15,0.93526584,1.0,0.77752006,0.85191566
16,0.8922063,1.0,0.86458236,0.8229594
17,0.91326684,0.93333334,0.75645244,0.7583963
18,0.91373193,1.0,0.733078,0.80799156
19,0.9120667,0.91525424,0.776988,0.74824876
20,0.9382259,0.9508197,0.70073396,0.7883182
21,0.9160855,1.0,0.42582273,0.7083433
22,0.9085138,1.0,0.52103394,0.7299909
23,0.90424514,0.984127,0.9853992,0.8661112
24,0.8250854,0.85714287,0.88333136,0.6169875
25,0.87438023,0.9677419,0.97783875,0.80933255
26,0.88543105,0.9677419,0.77750313,0.7571986
27,0.9052667,1.0,0.6849498,0.78046495
28,0.86954105,1.0,0.87117374,0.79458743
29,0.88254464,1.0,0.5806907,0.71492004
30,0.8456573,1.0,0.66252285,0.69254035
31,0.86576223,0.9672131,0.5832748,0.665214
32,0.9151149,0.9508197,0.85379606,0.8083615
33,0.8756338,0.91525424,0.98062605,0.76724464
34,0.9048574,1.0,0.72582805,0.7935927
35,0.88077086,0.984127,0.7853882,0.76750785
36,0.8707855,0.9677419,0.81546164,0.75014305
37,0.9223636,0.9508197,0.9806071,0.86057824
38,0.91061383,0.984127,0.76201344,0.7999468
39,0.8576589,1.0,0.6501098,0.70457786
40,0.8726114,0.9677419,0.9843305,0.80911857
41,0.90592325,1.0,0.36063495,0.6728182
42,0.90411603,0.9677419,0.9786159,0.8497093
43,0.90239567,0.9677419,0.6641837,0.7421631
44,0.9047012,0.984127,0.61151886,0.7416067
45,0.92792785,1.0,0.97220844,0.9071688
46,0.8453423,0.984127,0.7602448,0.71129674
47,0.8725492,1.0,0.7212204,0.74846363
48,0.9389551,0.9714286,0.5996498,0.7730298
49,0.9119785,1.0,0.64615494,0.7765371
50,0.99066794,0.85714287,0.9786585,0.8722771
51,0.8999225,0.9508197,0.98001117,0.8301034
52,0.9727318,0.8965517,0.62148213,0.7621203
53,0.91052336,0.9508197,0.8289935,0.7938668
54,0.91299367,0.9677419,0.98858577,0.8650226
55,0.8807664,1.0,0.9508967,0.836411
56,0.8627726,1.0,0.9662423,0.81727093
57,0.91689545,0.9677419,0.9786861,0.8669736
58,0.91148067,0.8148148,0.8051999,0.67133975
59,0.9311441,0.9508197,0.96948636,0.8687026
60,0.92431706,1.0,0.60710305,0.78011435
61,0.8899206,1.0,0.6768047,0.7570357
62,0.88744974,0.984127,0.91231275,0.81899387
63,0.8934119,1.0,0.84662026,0.81857485
64,0.89585054,0.9677419,0.4858825,0.6736643
65,0.9048418,1.0,0.57008684,0.7414525
66,0.8943214,0.984127,0.878726,0.8170245
67,0.91532266,1.0,0.7573423,0.81825775
68,0.85722864,1.0,0.88597393,0.7829296
69,0.89602935,1.0,0.6992765,0.7727973
70,0.84343445,0.91525424,0.38150802,0.5233087
71,0.9215929,1.0,0.5943296,0.7721645
72,0.9160838,0.984127,0.7474042,0.80243737
73,0.87913716,0.984127,0.7633864,0.75794095
74,0.86563075,1.0,0.56889874,0.6881552
75,0.8492787,0.984127,0.94025105,0.7768467
76,0.8603869,0.91525424,0.70437425,0.65422696
77,0.90925074,0.984127,0.98306954,0.8720846
78,0.8579383,0.984127,0.8998183,0.7749986
79,0.9205737,0.98214287,0.69907856,0.79063225
80,0.9129722,1.0,0.6833698,0.7903318
81,0.88647354,0.9677419,0.91207236,0.80363876
82,0.871508,1.0,0.79179066,0.77067536
83,0.9330165,1.0,0.79735434,0.85551864
84,0.91174865,0.984127,0.9944188,0.8792526
85,0.9025415,1.0,0.8149416,0.8202903
86,0.9195084,1.0,0.7480995,0.82081157
87,0.91926277,1.0,0.88030976,0.86472464
88,0.9128876,0.984127,0.7316366,0.79284865
89,0.9073956,1.0,0.8404,0.8353587
90,0.87486637,0.984127,0.85565704,0.7830577
91,0.9139197,0.91525424,0.7111191,0.72870547
92,0.8866536,0.984127,0.88275385,0.8080279
93,0.9173234,0.984127,0.4749778,0.7129418
94,0.91846573,1.0,0.9765754,0.8958648
95,0.9083463,0.8965517,0.85199153,0.75239784
96,0.85844254,0.91525424,0.9196492,0.72364587
97,0.91111207,0.9508197,0.84760845,0.8008906
98,0.9206276,1.0,0.98741394,0.9024084
99,0.9031824,1.0,0.78850245,0.81230706
100,0.9058612,1.0,0.77673995,0.8119847
101,0.9409562,0.877193,0.75511736,0.74748206
102,0.93034303,0.984127,0.6617298,0.7930035
103,0.87658644,1.0,0.81483907,0.7852399
104,0.87320685,0.96,0.6827207,0.70239276
105,0.84304595,0.9508197,0.32076418,0.532753
106,0.91769236,0.9677419,0.9294559,0.85157365
107,0.93085283,0.984127,0.3930971,0.70379287
108,0.9303623,1.0,0.89677966,0.8852107
109,0.9013203,1.0,0.8376879,0.82625484
110,0.84775573,1.0,0.5605169,0.6612349
111,0.9287574,1.0,0.585363,0.7788295
112,0.8531701,1.0,0.63904953,0.6948206
113,0.91940105,0.984127,0.7296464,0.80097
114,0.9270925,0.9677419,0.9900529,0.88453436
115,0.9141052,1.0,0.9765925,0.88998765
116,0.8974423,0.9508197,0.9580657,0.81941324
117,0.92458,0.877193,0.8663307,0.7626066
118,0.9070956,0.9677419,0.9405953,0.8410053
119,0.9195178,0.8965517,0.957181,0.8026712
120,0.86410916,0.9677419,0.91593367,0.7747591
121,0.86203706,0.9677419,0.7200097,0.70639735
122,0.84486014,0.9677419,0.7256492,0.6851111
123,0.86661994,0.9677419,0.9860981,0.8016271
124,0.861691,1.0,0.76499987,0.7484656
125,0.89252543,0.93333334,0.95822364,0.7979371
126,0.9107441,1.0,0.5183604,0.7321051
127,0.9243878,1.0,0.5343999,0.7558796
128,0.8888699,0.9677419,0.76842695,0.75880057
129,0.9213741,1.0,0.5326904,0.7512416
130,0.93437505,0.8965517,0.987243,0.8327754
131,0.9230515,0.984127,0.8264458,0.83828884
132,0.8753723,0.9508197,0.76240003,0.72415876
133,0.88533354,1.0,0.7853192,0.7871618
134,0.92321473,0.984127,0.7093007,0.79930633
135,0.90584534,1.0,0.53088325,0.729687
136,0.9111674,0.9677419,0.8222324,0.80688834
137,0.92224264,1.0,0.71336967,0.81287795
138,0.8816736,0.9508197,0.7428828,0.72612834
139,0.8998833,0.984127,0.6663793,0.75346595
