item_id,semantic_density,semantic_collab_disagreement,graph_competition,offline_combined
0,0.8480301,1.0,0.70698845,0.7666864
1,0.8356475,1.0,0.79139817,0.78161496
2,0.84932137,0.984127,0.84905565,0.8020913
3,0.88677645,1.0,0.9214269,0.8801082
4,0.87946886,0.984127,0.810834,0.82172227
5,0.8708637,0.9508197,0.76006734,0.76710814
6,0.92032933,0.85714287,0.77474016,0.7454143
7,0.84829617,0.984127,0.787641,0.7804386
8,0.85358274,0.9677419,0.7776775,0.768832
9,0.8428525,0.9677419,0.8307819,0.7750623
10,0.89510036,0.9508197,0.98707175,0.869131
11,0.88228333,0.9508197,0.8009165,0.79305744
12,0.90205216,0.984127,0.9935528,0.90714854
13,0.87673795,0.984127,0.8146806,0.8200726
14,0.8785442,0.9508197,0.85006195,0.80548126
15,0.8611094,0.9677419,0.74056846,0.764509
16,0.8200656,0.9677419,0.65682787,0.69235
17,0.8684511,0.9508197,0.7257123,0.7530181
18,0.94255286,1.0,0.6184093,0.838696
19,0.8709719,0.984127,0.7245369,0.7837084
20,0.8525299,1.0,0.8119004,0.80663043
21,0.8674264,1.0,0.75546145,0.8037649
22,0.8660376,0.9677419,0.7874508,0.7854963
23,0.9291302,1.0,0.7644505,0.8731287
24,0.8721386,1.0,0.78848445,0.8198824
25,0.82242537,0.9508197,0.62995327,0.67147976
26,0.88413537,0.9677419,0.953161,0.86040753
27,0.8510553,0.9677419,0.8545969,0.7918525
28,0.8586333,0.984127,0.9541427,0.8472688
29,0.8980264,0.9677419,0.7222243,0.7980712
30,0.83693886,1.0,0.44711816,0.66780275
31,0.8502291,0.9508197,0.96754783,0.81434363
32,0.82735425,1.0,0.49578258,0.6737793
33,0.8472836,0.9508197,0.9688264,0.81160384
34,0.84840125,1.0,0.6044971,0.7327905
35,0.8566732,1.0,0.7156958,0.7788947
36,0.9478931,0.91525424,0.9806486,0.89345837
37,0.93571633,0.93333334,0.93714696,0.881208
38,0.8035276,1.0,0.70932305,0.71960974
39,0.8785423,0.91525424,0.8398417,0.77176285
40,0.89760184,0.8363636,0.8189788,0.7180753
41,0.95942694,0.93333334,0.8962627,0.8930259
42,0.89375925,0.9508197,0.9846854,0.86689025
43,0.87006295,0.9508197,0.8295252,0.7894886
44,0.906766,0.91525424,0.89457685,0.8204296
45,0.88675684,0.984127,0.698364,0.7919257
46,0.9110876,0.9677419,0.8987221,0.8711758
47,0.823784,0.9508197,0.8030308,0.730855
48,0.8892548,0.8363636,0.9513387,0.7533884
49,0.8227222,0.984127,0.68755114,0.71944493
50,0.91332495,0.8965517,0.9184516,0.8195402
51,0.77319664,1.0,0.97513086,0.77593493
52,0.87444913,0.8965517,0.6578799,0.6905424
53,0.8957407,0.9508197,0.9428188,0.85501194
54,0.8610647,1.0,0.97022974,0.86878794
55,0.9002721,0.984127,0.8359014,0.85248184
56,0.83040535,0.984127,0.9090999,0.8018407
57,0.8827149,0.984127,0.9610995,0.875494
58,0.88425,0.984127,0.9846693,0.88503164
59,0.8848334,0.8965517,0.97309613,0.80718535
60,0.8842354,0.984127,0.8862516,0.8520839
61,0.92498314,0.9677419,0.9845614,0.9148421
62,0.83466554,1.0,0.9929116,0.84798807
63,0.9103893,0.93333334,0.9777643,0.86756253
64,0.84267235,0.9677419,0.9503104,0.81486446
65,0.8235321,1.0,0.97326887,0.8294425
66,0.9122568,0.96153843,0.7384214,0.81350994
