variant,family,n,top1_l1_hit_rate,top1_l1l2_hit_rate,top1_exact_sid_hit_rate,top1_l2_hit_rate_given_l1_correct,top1_l3_hit_rate_given_l1l2_correct
r720b,3d_filament,1101,0.3642143505903724,0.16439600363306087,0.0326975476839237,0.4513715710723192,0.19889502762430938
r720b,tape,301,0.10631229235880399,0.0664451827242525,0.023255813953488372,0.625,0.35
r720b,adhesive_epoxy,224,0.03571428571428571,0.017857142857142856,0.004464285714285714,0.5,0.25
r720b,gauge_meter,513,0.3840155945419103,0.36257309941520466,0.3489278752436647,0.9441624365482234,0.9623655913978495
r720b,connector_fitting,273,0.0989010989010989,0.03296703296703297,0.02564102564102564,0.3333333333333333,0.7777777777777778
orig_align,3d_filament,1101,0.4977293369663942,0.2615803814713896,0.021798365122615803,0.5255474452554745,0.08333333333333333
orig_align,tape,301,0.14285714285714285,0.07641196013289037,0.016611295681063124,0.5348837209302325,0.21739130434782608
orig_align,adhesive_epoxy,224,0.05357142857142857,0.008928571428571428,0.0,0.16666666666666666,0.0
orig_align,gauge_meter,513,0.4191033138401559,0.35282651072124754,0.3313840155945419,0.8418604651162791,0.9392265193370166
orig_align,connector_fitting,273,0.21978021978021978,0.07326007326007326,0.029304029304029304,0.3333333333333333,0.4
orig_best,3d_filament,1101,0.5712988192552225,0.24977293369663942,0.02452316076294278,0.43720190779014306,0.09818181818181818
orig_best,tape,301,0.132890365448505,0.06976744186046512,0.029900332225913623,0.525,0.42857142857142855
orig_best,adhesive_epoxy,224,0.13839285714285715,0.04017857142857143,0.017857142857142856,0.2903225806451613,0.4444444444444444
orig_best,gauge_meter,513,0.38791423001949316,0.341130604288499,0.32748538011695905,0.8793969849246231,0.96
orig_best,connector_fitting,273,0.23076923076923078,0.06593406593406594,0.04395604395604396,0.2857142857142857,0.6666666666666666
