variant,family,n_items,l1_count,largest_l1,largest_l1_count,largest_l1_share
original,other,1342,45,<a_24>,82,0.06110283159463487
original,fastener,325,42,<a_224>,118,0.3630769230769231
original,gauge_meter,860,43,<a_67>,61,0.07093023255813953
original,adhesive_epoxy,352,41,<a_165>,63,0.17897727272727273
original,connector_fitting,233,28,<a_108>,65,0.27896995708154504
original,tape,208,19,<a_202>,110,0.5288461538461539
original,3d_filament,347,23,<a_223>,234,0.6743515850144092
original,ventilation_fan,10,4,<a_109>,5,0.5
original,test_strip,9,5,<a_94>,5,0.5555555555555556
l3_collab,other,1342,92,<a_48>,66,0.04918032786885246
l3_collab,fastener,325,63,<a_163>,49,0.15076923076923077
l3_collab,gauge_meter,860,78,<a_20>,52,0.06046511627906977
l3_collab,adhesive_epoxy,352,68,<a_160>,52,0.14772727272727273
l3_collab,connector_fitting,233,38,<a_131>,45,0.19313304721030042
l3_collab,tape,208,21,<a_132>,76,0.36538461538461536
l3_collab,3d_filament,347,29,<a_254>,211,0.6080691642651297
l3_collab,ventilation_fan,10,5,<a_236>,4,0.4
l3_collab,test_strip,9,4,<a_115>,6,0.6666666666666666
l2_multihop_ranking,other,1342,82,<a_226>,49,0.03651266766020864
l2_multihop_ranking,fastener,325,60,<a_112>,65,0.2
l2_multihop_ranking,gauge_meter,860,69,<a_239>,60,0.06976744186046512
l2_multihop_ranking,adhesive_epoxy,352,66,<a_210>,63,0.17897727272727273
l2_multihop_ranking,connector_fitting,233,37,<a_238>,32,0.13733905579399142
l2_multihop_ranking,tape,208,23,<a_223>,71,0.34134615384615385
l2_multihop_ranking,3d_filament,347,25,<a_195>,165,0.4755043227665706
l2_multihop_ranking,ventilation_fan,10,6,<a_173>,3,0.3
l2_multihop_ranking,test_strip,9,4,<a_105>,6,0.6666666666666666
