variant,l1,l2,size,dominant_family,family_purity,brand_purity,family_counts,sample_titles
original,<a_236>,<b_231>,3,adhesive_epoxy,0.6666666666666666,0.6666666666666666,adhesive_epoxy:2; other:1,SUPCO SPP6 Relay/Capacitor Hard Start Kit with 500% Increase Starting Torque || TEMCo Motor Run Capacitor RC0011-30 mfd 370 V VAC volt 30 uf Round HVAC TEMCo AC Electric || TEMCo Dual Run Capacitor RC0102-35/5 mfd 370 V 440 V VAC volt 35+5 uf AC Electric Motor HVAC
original,<a_42>,<b_80>,1,fastener,1.0,1.0,fastener:1,"Stanley TRA708T Sharpshooter 1/2-Inch Leg Length Staples, Steel (1000 Count)"
original,<a_42>,<b_194>,1,fastener,1.0,1.0,fastener:1,Stanley TRA708SST 1/2-Inch HD Stainless Steel Narrow Crown Staple
original,<a_224>,<b_163>,7,fastener,0.5714285714285714,1.0,fastener:4; gauge_meter:3,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack || Kreg SML-C2-250 Pocket Screws 2-Inch, 8 Coarse, Washer Head, 250 Count || Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes || Kreg SML-C125-100 1-1/4-Inch 8-Coarse Washer-Head Pocket Screws, 100-Count || Kreg SML-C150-100 Pocket Screws 1-1/2-Inch, 8 Coarse, Washer-Head, 100-Count"
original,<a_24>,<b_255>,2,adhesive_epoxy,0.5,1.0,adhesive_epoxy:1; gauge_meter:1,Dico 541-774-21/2 Nyalox Cup Brush 21/2-Inch Grey 80 Grit || Dico 541-778-4 Nyalox Wheel Brush 4-Inch Orange 120 Grit
original,<a_165>,<b_25>,1,adhesive_epoxy,1.0,1.0,adhesive_epoxy:1,"Hot Stuff Super T Medium Instant CA Glue, 2oz HST-4"
original,<a_193>,<b_196>,3,adhesive_epoxy,0.6666666666666666,0.6666666666666666,adhesive_epoxy:2; other:1,"PORTER-CABLE 740000801 4 1/2-Inch x 10yd 80 Grit Adhesive-Backed Sanding Roll || PORTER-CABLE 740001201 4 1/2-Inch by 10yd 120 Grit Adhesive-Backed Sanding Roll || IIT 82077 36 Grit 3"" Sanding Discs, 25 Pack"
original,<a_210>,<b_231>,2,other,1.0,1.0,other:2,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) || UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)"
original,<a_108>,<b_140>,3,connector_fitting,1.0,0.6666666666666666,connector_fitting:3,"Anderson Metals Brass Tube Fitting, Half-Union, 3/8"" Flare x 1/8"" Male Pipe || Dixon BCN100 Brass Fitting, Hex Nipple, 1"" NPT Male || Anderson Metals Brass Garden Hose Swivel Fitting, Connector, 1/2"" Barb x 3/4"" Female Hose"
original,<a_202>,<b_243>,1,tape,1.0,1.0,tape:1,"Scotch Foil Tape, 2-Inch by 50-Yard"
original,<a_104>,<b_152>,1,gauge_meter,1.0,1.0,gauge_meter:1,"T&Uuml;RLEN DIAL INDICATOR 0-1"" AGD SPEC 0.001"" w/LUG BACK"
original,<a_193>,<b_237>,2,gauge_meter,0.5,0.5,gauge_meter:1; adhesive_epoxy:1,"Eclipse Quick Release Woodworking Vise, Gray Cast Iron, 9"" Size || TEKTON 4-Inch Drill Press Vise | 53994"
original,<a_211>,<b_68>,2,gauge_meter,1.0,1.0,gauge_meter:2,"Amprobe TL36A Test Leads with Alligator Clips, 1000V || Amprobe TL35B Test Leads with Alligator Clips"
original,<a_180>,<b_48>,1,other,1.0,1.0,other:1,Titan Tools 11185 Telescoping Inspection Mirror
original,<a_42>,<b_244>,4,gauge_meter,1.0,1.0,gauge_meter:4,"BOSTITCH BT1335B-1M 1-3/8-Inch 18-Gauge Brads, 1000 per Box || BOSTITCH BT1309B-1M 1-Inch 18-Gauge Brads, 1000 per Box || BOSTITCH BT1309B 1-Inch 18-Gauge Brads, 3000 per Box || BOSTITCH BT1350B-1M 2-Inch 18-Gauge Brads, 1000 per Box, Coated"
original,<a_24>,<b_173>,5,other,0.8,1.0,other:4; gauge_meter:1,"Shop-Vac 9064900 2-1/2-to-1-1/2-Inch Conversion Unit || Shop-Vac 9068400 2.5-Inch by 40-Inch Extension Wands || Shop-Vac 9050300 2.5-Inch by 8-Foot Hose || Shop-Vac 8018200 2.5-Inch Deluxe Pick-Up Accessory Kit Multifunction Conversion Set with Nozzles, Wands, Hoses & Tools || Shop-Vac 1.25 inch Diameter Locking Hose Kit"
original,<a_42>,<b_226>,5,gauge_meter,1.0,1.0,gauge_meter:5,"PORTER-CABLE (PBN18075-1) 18 Gauge Brad Nails, 3/4-Inch, 1000-Pack || PORTER-CABLE PNS18075 3/4-Inch, 18 Gauge Narrow Crown (1/4-Inch) Staple (5000-Pack) || PORTER-CABLE PNS18050 1/2-Inch, 18 Gauge Narrow Crown (1/4-Inch) Staple (5000-Pack),PORTER-CABLE,PNS18050"" /> || PORTER-CABLE PNS18100-1 1-Inch 18 Gauge Narrow Crown Staple, 1000-Pack || PORTER-CABLE NS18Pp 18 Gauge Narrow Crown Staple Project Pack, 900 Count, Various Sizes"
original,<a_224>,<b_128>,1,fastener,1.0,1.0,fastener:1,"Swordfish 32051 Brass Plated Wood Screw Assortment, 500 Piece"
original,<a_197>,<b_91>,3,adhesive_epoxy,0.3333333333333333,0.3333333333333333,adhesive_epoxy:1; other:1; gauge_meter:1,"Eye-Vac EVPRO Tuxedo Black Touchless Stationary Vacuum &ndash; 1400 Watts Professional Vacuum with HEPA Filtration, Bag- || Moneual RYDIS H68 Pro RoboVacMop Hybrid Robot Vacuum Cleaner Dry/Wet Mop with Water Tank and Mapping || PanaVise 209 Vacuum Base Pv Jr."
original,<a_202>,<b_100>,1,tape,1.0,1.0,tape:1,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bo"
original,<a_150>,<b_50>,4,other,1.0,0.5,other:4,"Wine Yeast Red Star Premier Classique Formerly Montrachet For Wine Making x10 || Red Star Premier Cuvee Wine Yeast, 5g - 10-Pack || Red Star Cote des Blancs Wine Yeast, 5 Gram - 10-Pack || Lalvin ICV D-47 Wine Yeast (Pack of 10)"
original,<a_104>,<b_196>,3,gauge_meter,1.0,0.6666666666666666,gauge_meter:3,Wixey WR300 Digital Angle Gauge || AccuRemote Digital Electronic Magnetic Angle Gage Level / Protractor / Bevel Gauge || Wixey WR365 Digital Angle Gauge and Level
