variant,l1,size,dominant_family,family_purity,brand_purity,family_counts,sample_titles
original,<a_236>,84,other,0.40476190476190477,0.4166666666666667,other:34; connector_fitting:23; gauge_meter:17; adhesive_epoxy:5; fastener:4; ventilation_fan:1,"SUPCO SPP6 Relay/Capacitor Hard Start Kit with 500% Increase Starting Torque || MLCS 9080 Billy Pedal Foot Switch, Deadman Style || Packard C230B 2 Pole 30 Amp Contactor, 120 Voltage Coil || Georgia-Pacific 53010 Automated Soap and Sanitizer Dispenser, Black (WxDxH) 5.680"" x 5.250"" x 10.750"" (1 Each) || Gardner Bender GSW-17  Electrical Toggle Switch, SPST, ON-OFF, 6 A/120V AC,  Screw Terminal"
original,<a_42>,100,gauge_meter,0.47,0.12,gauge_meter:47; other:30; fastener:19; adhesive_epoxy:4,"Stanley TRA708T Sharpshooter 1/2-Inch Leg Length Staples, Steel (1000 Count) || Stanley TRA708SST 1/2-Inch HD Stainless Steel Narrow Crown Staple || BOSTITCH BT1335B-1M 1-3/8-Inch 18-Gauge Brads, 1000 per Box || BOSTITCH BT1309B-1M 1-Inch 18-Gauge Brads, 1000 per Box || PORTER-CABLE (PBN18075-1) 18 Gauge Brad Nails, 3/4-Inch, 1000-Pack"
original,<a_224>,191,fastener,0.6178010471204188,0.1256544502617801,fastener:118; gauge_meter:39; other:24; connector_fitting:7; adhesive_epoxy:2; 3d_filament:1,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack || Kreg SML-C2-250 Pocket Screws 2-Inch, 8 Coarse, Washer Head, 250 Count || Swordfish 32051 Brass Plated Wood Screw Assortment, 500 Piece || The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack || Brass Wood Screw, Plain Finish, Flat Head, Slotted Drive, 3/8"" Length, #6 Threads (Pack of 100)"
original,<a_24>,119,other,0.6890756302521008,0.10084033613445378,other:82; gauge_meter:15; fastener:13; adhesive_epoxy:7; connector_fitting:2,"Dico 541-774-21/2 Nyalox Cup Brush 21/2-Inch Grey 80 Grit || Shop-Vac 9064900 2-1/2-to-1-1/2-Inch Conversion Unit || Shark Navigator Lift-Away Professional NV356E || SharkNinja Rocket DeluxePro Ultra-Light Upright Corded Stick Vacuum, Bordeaux || Shop-Vac 2030100 1.5-Gallon 2.0 Peak HP Wet Dry Vacuum, Small, Red/Black"
original,<a_165>,72,adhesive_epoxy,0.875,0.2361111111111111,adhesive_epoxy:63; tape:5; other:2; fastener:1; 3d_filament:1,"Hot Stuff Super T Medium Instant CA Glue, 2oz HST-4 || Loctite 1329837 243 Blue Medium Strength Threadlockers, 0.34 oz., 10 mL, 3/4"" Thread || Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear || Loctite Ultra Gel Control Super Glue 4-Gram (1363589) || Super Glue 15187 Super Glue, 12-Pack"
original,<a_193>,133,other,0.6090225563909775,0.10526315789473684,other:81; gauge_meter:33; adhesive_epoxy:13; fastener:4; tape:1; connector_fitting:1,"PORTER-CABLE 740000801 4 1/2-Inch x 10yd 80 Grit Adhesive-Backed Sanding Roll || Eclipse Quick Release Woodworking Vise, Gray Cast Iron, 9"" Size || PORTER-CABLE 740001201 4 1/2-Inch by 10yd 120 Grit Adhesive-Backed Sanding Roll || Set of Rubber Magnetic Vise Jaws. Protection for your Projects || 4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel"
original,<a_210>,95,other,0.8210526315789474,0.25263157894736843,other:78; gauge_meter:7; adhesive_epoxy:5; connector_fitting:2; fastener:2; 3d_filament:1,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) || UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) || Augbunny 100% Cotton 5- by 7-Inch Muslin Bags with Drawstring, 12-Pack || WEN 73002 500-Pound Capacity Service Cart || Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRA"
original,<a_108>,143,connector_fitting,0.45454545454545453,0.18181818181818182,connector_fitting:65; gauge_meter:51; adhesive_epoxy:11; other:10; fastener:4; 3d_filament:2,"Anderson Metals Brass Tube Fitting, Half-Union, 3/8"" Flare x 1/8"" Male Pipe || Neiko 50463A SAE Hydraulic Grease Fitting Kit, 110 Piece | Straight and Angled | 1/4"", 1/8 || Woodstock W1038 4-Inch Quick Connect and Disconnect || Dixon BCN100 Brass Fitting, Hex Nipple, 1"" NPT Male || Stainless Steel 304/304L Pipe Fitting, Nipple, Schedule 40 Welded, 4"" X 6"" NPT Male by Merit Brass"
original,<a_202>,117,tape,0.9401709401709402,0.2222222222222222,tape:110; 3d_filament:7,"Scotch Foil Tape, 2-Inch by 50-Yard || Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bo || Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6) || Rescue Tape RT1000201202USCO || Gorilla 6100101 Tape Handy Roll, 1-Pack, Black"
original,<a_104>,60,gauge_meter,0.9,0.08333333333333333,gauge_meter:54; other:2; adhesive_epoxy:1; tape:1; fastener:1; 3d_filament:1,"T&Uuml;RLEN DIAL INDICATOR 0-1"" AGD SPEC 0.001"" w/LUG BACK || Wixey WR300 Digital Angle Gauge || T&uuml;rlen Precision TEST DIAL INDICATOR 7 JEWELS .0005"" 0-15-0 || Anytime Tools Dial Caliper 6"" / 150mm DUAL Reading Scale METRIC SAE Standard INCH MM || Brown & Sharpe 599-792-30 Adjustable Spring Tensioned Tap Guide"
