bucket,size,cross_pairs,cross_direct_support_pos_frac,cross_multihop_pos_frac,cross_mid_base_pos_frac,cross_diffusion_only_frac,cross_mean_direct_support,top20_direct_support_pos_frac,top20_direct_support_mean,top20_local_multihop_mean
<a_224>,191,9611,0.026636146082613672,0.0797003433565706,0.661533659348663,0.06263656227239621,0.15528536252828606,1.0,18.591666316986085,0.26532560884952544
<a_108>,143,5273,0.04153233453442064,0.09159871041153043,0.7519438649725014,0.06580694102029205,0.17712741536906926,1.0,7.722619080543518,0.2605371490120888
<a_73>,114,2994,0.10654642618570474,0.2595190380761523,0.9722778891115564,0.17869071476285905,0.5600627211725704,1.0,10.55,0.26296920254826545
<a_158>,109,3560,0.011516853932584269,0.04044943820224719,0.4533707865168539,0.0348314606741573,0.045469614001137484,0.45,4.85,0.05827526478096843
<a_42>,100,2916,0.020233196159122085,0.07373113854595337,0.6306584362139918,0.060699588477366256,0.10279723838360058,0.95,9.1,0.12268138993531466
<a_17>,99,2821,0.022686990428925913,0.07656859269762496,0.4576391350584899,0.06345267635590217,0.09410051115646889,0.7,6.923750019073486,0.07094422378577292
<a_228>,96,2846,0.03056921995783556,0.0966268446943078,0.5130007027406887,0.0758959943780745,0.15168490467654594,0.95,10.33333330154419,0.1346491789445281
<a_251>,92,1950,0.045641025641025644,0.07641025641025641,0.4666666666666667,0.04512820512820513,0.22943895098490594,0.95,11.287916660308838,0.10025255866348744
<a_244>,72,1187,0.04380791912384162,0.12215669755686605,0.7422072451558551,0.09435551811288964,0.19935913053800203,0.7,6.635416716337204,0.0851468572858721
<a_91>,72,1091,0.06232813932172319,0.17140238313473877,0.5728689275893676,0.13382218148487626,0.25384386114632723,0.85,8.09642858505249,0.1679814619012177
<a_68>,67,1463,0.023923444976076555,0.0936431989063568,0.618591934381408,0.07313738892686261,0.15352803106105906,0.9,8.270833361148835,0.10240706535987557
<a_107>,66,1187,0.07582139848357203,0.23083403538331929,0.43555181128896375,0.16849199663016007,0.5027129177346186,1.0,9.669642639160156,0.1292849037796259
<a_79>,60,1178,0.011884550084889643,0.08913412563667232,0.5059422750424448,0.08064516129032258,0.06585617259726662,0.3,2.55,0.020118853577878328
<a_206>,60,1121,0.016057091882247992,0.07582515611061552,0.4594112399643176,0.06512042818911686,0.0832165160102572,0.45,3.95,0.03327319142408669
<a_104>,60,896,0.05915178571428571,0.16294642857142858,0.7276785714285714,0.12053571428571429,0.3410430838620024,0.95,8.204444408416748,0.11258567459881305
<a_197>,60,879,0.010238907849829351,0.07508532423208192,0.5449374288964732,0.06825938566552901,0.09163732265585248,0.25,3.35,0.013705733499955386
<a_36>,54,725,0.041379310344827586,0.11586206896551725,0.45655172413793105,0.08413793103448276,0.2073409965120513,0.65,5.058333325386047,0.04411712468136102
<a_159>,52,765,0.01045751633986928,0.050980392156862744,0.5294117647058824,0.044444444444444446,0.07642701544792824,0.2,2.675,0.017009163925831672
<a_23>,50,815,0.0196319018404908,0.04049079754601227,0.4834355828220859,0.03190184049079755,0.06948047591133352,0.3,2.2958333492279053,0.035799131297972055
<a_211>,45,497,0.02414486921529175,0.09859154929577464,0.635814889336016,0.0744466800804829,0.3659456673282493,0.55,8.668749833106995,0.06091622608946636
<a_109>,40,343,0.01749271137026239,0.15160349854227406,0.446064139941691,0.14285714285714285,0.0423295847180981,0.15,0.4917857080698013,0.008118738554912852
<a_229>,36,269,0.055762081784386616,0.07806691449814127,0.5985130111524164,0.04460966542750929,0.3162949191593326,0.45,3.6858333230018614,0.02120678642115763
<a_122>,35,384,0.028645833333333332,0.1328125,0.65625,0.10677083333333333,0.12656250006208816,0.4,2.15,0.02168861617683433
<a_99>,32,252,0.04365079365079365,0.09126984126984126,0.5793650793650794,0.047619047619047616,0.17724867851015122,0.5,2.141666680574417,0.06937001679725655
<a_170>,25,155,0.0064516129032258064,0.04516129032258064,0.44516129032258067,0.04516129032258064,0.011451613518499559,0.05,0.08875000476837158,0.0014394645402717287
<a_233>,20,128,0.015625,0.1015625,0.75,0.09375,0.125,0.1,0.8,0.01105236963740026
<a_153>,17,66,0.06060606060606061,0.10606060606060606,0.4393939393939394,0.06060606060606061,0.3542568665562254,0.2,1.169047659635544,0.009947448993398212
