item_id,item_title,family,target_sid,target_l1,target_l2,eval_count,hit1_rate,hit10_rate,mean_rank,top1_same_family,top1_history_repeat,l1_bucket_size,l2_bucket_size
562,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",3d_filament,<a_223><b_198><c_37>,<a_223>,<a_223><b_198>,29,0.0,0.0,999.0,0.5517241379310345,0.3448275862068966,247,47
2058,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gray",3d_filament,<a_223><b_198><c_34>,<a_223>,<a_223><b_198>,25,0.0,0.0,999.0,0.88,0.12,247,47
1959,"Gorilla Super Glue Gel, 20 Gram, Clear",adhesive_epoxy,<a_165><b_210><c_108>,<a_165>,<a_165><b_210>,22,0.0,0.0,999.0,0.22727272727272727,0.4090909090909091,72,2
84,Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion,gauge_meter,<a_104><b_186><c_66>,<a_104>,<a_104><b_186>,18,0.0,0.0,836.7777777777778,0.2222222222222222,0.4444444444444444,60,2
57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",adhesive_epoxy,<a_165><b_247><c_68>,<a_165>,<a_165><b_247>,16,0.0,0.0,694.0625,0.3125,0.5,72,1
159,"Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black",gauge_meter,<a_107><b_90><c_68>,<a_107>,<a_107><b_90>,14,0.0,0.0,584.8571428571429,0.2857142857142857,0.35714285714285715,66,2
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3d_filament,<a_223><b_80><c_11>,<a_223>,<a_223><b_80>,14,0.0,0.0,368.7142857142857,1.0,0.21428571428571427,247,24
59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),adhesive_epoxy,<a_165><b_214><c_30>,<a_165>,<a_165><b_214>,12,0.0,0.0,918.0,0.0,0.4166666666666667,72,2
114,"Super Glue 15187 Super Glue, 12-Pack",adhesive_epoxy,<a_165><b_214><c_252>,<a_165>,<a_165><b_214>,12,0.0,0.0,837.4166666666666,0.08333333333333333,0.75,72,2
164,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Green",3d_filament,<a_223><b_20><c_165>,<a_223>,<a_223><b_20>,12,0.0,0.0,999.0,1.0,0.16666666666666666,247,5
2151,Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm,3d_filament,<a_91><b_115><c_103>,<a_91>,<a_91><b_115>,12,0.0,0.0,919.6666666666666,0.6666666666666666,0.16666666666666666,72,2
