target_l1,eval_count,hr10,hr1,top10_has_l1,top10_has_l2,top1_same_family,top1_history_repeat,l1_bucket_size,l1_family_purity,l1_dominant_family,l1_route_miss,l2_route_miss,leaf_miss
<a_223>,762,0.2532808398950131,0.030183727034120734,0.8569553805774278,0.442257217847769,0.8320209973753281,0.2230971128608924,247,0.9676113360323887,3d_filament,109,316,144
<a_107>,297,0.6195286195286195,0.48484848484848486,0.7878787878787878,0.6296296296296297,0.5824915824915825,0.7205387205387206,66,0.7575757575757576,gauge_meter,63,47,3
<a_158>,252,0.18253968253968253,0.015873015873015872,0.5952380952380952,0.40476190476190477,0.7698412698412699,0.27380952380952384,109,0.5596330275229358,3d_filament,102,48,56
<a_202>,188,0.14361702127659576,0.0425531914893617,0.48936170212765956,0.21808510638297873,0.2127659574468085,0.5531914893617021,117,0.5470085470085471,adhesive_epoxy,96,51,14
<a_224>,168,0.03571428571428571,0.011904761904761904,0.26785714285714285,0.08333333333333333,0.19642857142857142,0.44642857142857145,191,0.7329842931937173,fastener,123,31,8
<a_165>,163,0.06134969325153374,0.018404907975460124,0.4049079754601227,0.07975460122699386,0.1656441717791411,0.5153374233128835,72,0.8055555555555556,adhesive_epoxy,97,53,3
<a_193>,147,0.08843537414965986,0.034013605442176874,0.35374149659863946,0.11564625850340136,0.43537414965986393,0.5306122448979592,133,0.8045112781954887,other,95,35,4
<a_17>,129,0.08527131782945736,0.06201550387596899,0.3643410852713178,0.10077519379844961,0.31007751937984496,0.4108527131782946,99,0.6363636363636364,other,82,34,2
<a_91>,123,0.024390243902439025,0.0,0.44715447154471544,0.04065040650406504,0.8211382113821138,0.17886178861788618,72,0.9305555555555556,3d_filament,68,50,2
<a_108>,117,0.1111111111111111,0.02564102564102564,0.37606837606837606,0.13675213675213677,0.20512820512820512,0.42735042735042733,143,0.5384615384615384,connector_fitting,73,28,3
<a_71>,115,0.043478260869565216,0.017391304347826087,0.25217391304347825,0.05217391304347826,0.28695652173913044,0.4608695652173913,118,0.6271186440677966,other,86,23,1
<a_67>,109,0.12844036697247707,0.045871559633027525,0.41284403669724773,0.14678899082568808,0.3761467889908257,0.44954128440366975,119,0.5714285714285714,connector_fitting,64,29,2
<a_228>,101,0.18811881188118812,0.1188118811881188,0.42574257425742573,0.25742574257425743,0.43564356435643564,0.45544554455445546,96,0.5625,other,58,17,7
<a_24>,88,0.022727272727272728,0.0,0.2159090909090909,0.03409090909090909,0.2840909090909091,0.6136363636363636,119,0.7142857142857143,other,69,16,1
<a_73>,87,0.06896551724137931,0.011494252873563218,0.5287356321839081,0.08045977011494253,0.2413793103448276,0.3563218390804598,114,0.5350877192982456,other,41,39,1
<a_173>,86,0.18604651162790697,0.05813953488372093,0.32558139534883723,0.18604651162790697,0.4186046511627907,0.5697674418604651,64,0.75,other,58,12,0
<a_210>,86,0.20930232558139536,0.1744186046511628,0.3372093023255814,0.23255813953488372,0.46511627906976744,0.6046511627906976,95,0.9052631578947369,other,57,9,2
<a_244>,78,0.01282051282051282,0.01282051282051282,0.11538461538461539,0.01282051282051282,0.1794871794871795,0.38461538461538464,72,0.8333333333333334,adhesive_epoxy,69,8,0
<a_236>,78,0.02564102564102564,0.02564102564102564,0.11538461538461539,0.02564102564102564,0.3717948717948718,0.41025641025641024,84,0.7380952380952381,other,69,7,0
<a_87>,76,0.05263157894736842,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.4342105263157895,0.5657894736842105,71,0.7746478873239436,other,70,2,0
<a_104>,75,0.02666666666666667,0.0,0.13333333333333333,0.02666666666666667,0.28,0.4533333333333333,60,0.5,other,65,8,0
<a_251>,75,0.32,0.28,0.5066666666666667,0.3466666666666667,0.48,0.30666666666666664,92,0.6956521739130435,other,37,12,2
<a_44>,74,0.12162162162162163,0.08108108108108109,0.21621621621621623,0.13513513513513514,0.40540540540540543,0.5540540540540541,65,0.9230769230769231,other,58,6,1
<a_150>,68,0.058823529411764705,0.0,0.25,0.08823529411764706,0.35294117647058826,0.5147058823529411,116,0.7586206896551724,other,51,11,2
<a_94>,66,0.10606060606060606,0.030303030303030304,0.6363636363636364,0.16666666666666666,0.4696969696969697,0.5,111,0.7747747747747747,other,24,31,4
<a_79>,65,0.015384615384615385,0.0,0.03076923076923077,0.03076923076923077,0.3076923076923077,0.4461538461538462,60,0.4,other,63,0,1
<a_206>,64,0.015625,0.0,0.078125,0.03125,0.265625,0.5,60,0.5,other,59,3,1
<a_180>,63,0.031746031746031744,0.015873015873015872,0.20634920634920634,0.06349206349206349,0.4444444444444444,0.49206349206349204,81,0.8888888888888888,other,50,9,2
<a_197>,62,0.04838709677419355,0.03225806451612903,0.11290322580645161,0.04838709677419355,0.4032258064516129,0.41935483870967744,60,0.4666666666666667,other,55,4,0
<a_68>,61,0.06557377049180328,0.04918032786885246,0.09836065573770492,0.06557377049180328,0.2786885245901639,0.4098360655737705,67,0.4925373134328358,other,55,2,0
<a_42>,61,0.14754098360655737,0.06557377049180328,0.2786885245901639,0.18032786885245902,0.45901639344262296,0.4262295081967213,100,0.6,fastener,44,6,2
<a_159>,60,0.0,0.0,0.06666666666666667,0.0,0.5,0.25,52,0.5192307692307693,other,56,4,0
<a_36>,60,0.0,0.0,0.16666666666666666,0.0,0.38333333333333336,0.45,54,0.5555555555555556,other,50,10,0
<a_23>,59,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.4406779661016949,0.3898305084745763,50,0.46,other,58,0,0
<a_14>,58,0.2413793103448276,0.2413793103448276,0.3275862068965517,0.3103448275862069,0.5517241379310345,0.5862068965517241,39,0.7692307692307693,other,39,1,4
<a_99>,47,0.02127659574468085,0.02127659574468085,0.0851063829787234,0.02127659574468085,0.19148936170212766,0.46808510638297873,32,0.53125,adhesive_epoxy,43,3,0
<a_30>,42,0.07142857142857142,0.023809523809523808,0.2619047619047619,0.07142857142857142,0.4523809523809524,0.38095238095238093,68,0.75,other,31,8,0
<a_15>,40,0.0,0.0,0.225,0.0,0.05,0.475,31,0.7741935483870968,metadata_placeholder,31,9,0
<a_211>,32,0.03125,0.0,0.09375,0.03125,0.25,0.40625,45,0.4222222222222222,gauge_meter,29,2,0
<a_229>,30,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.6333333333333333,36,0.7222222222222222,other,25,5,0
<a_170>,29,0.0,0.0,0.034482758620689655,0.0,0.27586206896551724,0.5172413793103449,25,0.6,other,28,1,0
<a_122>,23,0.043478260869565216,0.0,0.17391304347826086,0.043478260869565216,0.2608695652173913,0.7391304347826086,35,0.4,adhesive_epoxy,19,3,0
<a_109>,21,0.14285714285714285,0.09523809523809523,0.19047619047619047,0.14285714285714285,0.3333333333333333,0.5238095238095238,40,0.675,other,17,1,0
<a_66>,20,0.0,0.0,0.1,0.0,0.3,0.65,40,0.875,other,18,2,0
