idx,item_id,title,family,eval_count_global,r720b_output_sid,r720b_top1_sid,r720b_hit1,r720b_hit10,r720b_hit50,r720b_top1_item_ids,r720b_top1_titles,orig_align_output_sid,orig_align_top1_sid,orig_align_hit1,orig_align_hit10,orig_align_hit50,orig_align_top1_item_ids,orig_align_top1_titles,orig_best_output_sid,orig_best_top1_sid,orig_best_hit1,orig_best_hit10,orig_best_hit50,orig_best_top1_item_ids,orig_best_top1_titles
56,507,"Stainless Flat Washers 1/4 Inch, 304 Stainless Steel, 100 pieces (1/4 Flat Washer) by ""Chenango Supply Co., Inc.",other,2,<a_153><b_68><c_226>,<a_153><b_68><c_226>,1,1,1,507,"Stainless Flat Washers 1/4 Inch, 304 Stainless Steel, 100 pieces (1/4 Flat Washer) by ""Chenango Supply Co., Inc.",<a_108><b_76><c_55>,<a_224><b_17><c_207>,0,0,1,178,"Neiko 10194A Titanium Step Drill Bit, High Speed Steel | 1/4"" to 1-3/8"" | Total 10 Step Sizes",<a_108><b_76><c_55>,<a_251><b_54><c_150>,0,1,1,728,"Cold Rolled Steel A513 Drawn Over Mandrel Round Tubing, ASTM A513, 1-1/4"" OD, 1.01"" ID, 0.12"" Wall, 72"" Length"
73,1385,ARM & HAMMER Spinbrush Classic Clean Battery Toothbrush,other,2,<a_203><b_178><c_155>,<a_34><b_81><c_83>,0,1,1,280,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,<a_24><b_227><c_199>,<a_122><b_126><c_5>,0,0,0,1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",<a_24><b_227><c_199>,<a_122><b_126><c_5>,0,1,1,1568,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape"
78,2697,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,30,<a_58><b_78><c_18>,<a_58><b_78><c_0>,0,1,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_159>,<a_223><b_198><c_230>,0,0,1,1107,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",<a_223><b_80><c_159>,<a_223><b_80><c_0>,0,1,1,2659|3557|3631,"3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) | 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)"
84,959,"American Weigh Scales Calibration Weight Kit WGHTKIT, Class M2",other,3,<a_98><b_211><c_252>,<a_131><b_6><c_0>,0,1,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_229><b_238><c_126>,<a_107><b_93><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_229><b_238><c_126>,<a_107><b_93><c_0>,0,0,1,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator"
113,3016,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",3d_filament,17,<a_58><b_65><c_0>,<a_58><b_172><c_168>,0,1,1,1850,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",<a_223><b_201><c_101>,<a_223><b_80><c_84>,0,0,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_201><c_101>,<a_223><b_80><c_3>,0,0,1,3112|3493,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK | 3D Solutech Printer Filament, Real Blue PLA, 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 1.1 LBS (0.5KG)"
152,465,"Dorman Hardware 4-9845 Peggable Wire Basket Set, 3-Pack",other,2,<a_2><b_12><c_170>,<a_2><b_42><c_213>,0,1,1,495,National Hardware S819-841 CD8377 51 Piece Peg Board Hook Kit in Zinc,<a_71><b_122><c_150>,<a_71><b_67><c_24>,0,0,0,1515,"Dorman Hardware 4-9771 Pliers Holders, 4-Pack",<a_71><b_122><c_150>,<a_193><b_58><c_115>,0,0,0,814,"DEWALT DW4902 1-Inch by 1/4-Inch High Performance Carbon Knot Wire End Brush, 0.020-Inch Wire"
164,2419,"HATCHBOX 3D ABS-1KG1.75-BLU ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue",3d_filament,4,<a_58><b_115><c_134>,<a_58><b_115><c_196>,0,1,1,3460,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Purple",<a_223><b_198><c_3>,<a_223><b_29><c_58>,0,0,1,51,HATCHBOX 1 Spool 3D Printer Filament Tabletop Wall Mount Rack,<a_223><b_198><c_3>,<a_223><b_198><c_6>,0,0,1,2472,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black"
237,2475,"Gizmo Dorks 3D Print Removal Tool, 5-inch Blade",other,3,<a_113><b_29><c_235>,<a_58><b_78><c_0>,0,1,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_59><c_216>,<a_223><b_80><c_84>,0,0,0,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_59><c_216>,<a_223><b_80><c_3>,0,0,0,3112|3493,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK | 3D Solutech Printer Filament, Real Blue PLA, 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 1.1 LBS (0.5KG)"
247,116,Rescue Tape RT1000201202USCO,tape,6,<a_207><b_224><c_170>,<a_207><b_224><c_170>,1,1,1,116,Rescue Tape RT1000201202USCO,<a_202><b_62><c_182>,<a_202><b_209><c_236>,0,0,0,165,"Duck Brand 299006 3/4-Inch by 60 Feet Utility Vinyl Electrical Tape with Single Roll, Black, 3/4 Inch x Economy",<a_202><b_62><c_182>,<a_202><b_62><c_182>,1,1,1,116,Rescue Tape RT1000201202USCO
259,157,Yueton 100pcs Female Fully Insulated Wire Crimp Terminal Nylon Quick Connectors Wiring Spade,connector_fitting,8,<a_247><b_129><c_46>,<a_247><b_245><c_54>,0,1,1,201,"ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D",<a_67><b_23><c_0>,<a_67><b_185><c_54>,0,0,1,201,"ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D",<a_67><b_23><c_0>,<a_193><b_36><c_63>,0,0,0,32,"4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel"
260,2617,Yueton&reg; 100pcs Yellow 12/10-Gauge Economy Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal,connector_fitting,2,<a_247><b_129><c_216>,<a_247><b_129><c_46>,0,1,1,157,Yueton 100pcs Female Fully Insulated Wire Crimp Terminal Nylon Quick Connectors Wiring Spade,<a_67><b_23><c_20>,<a_67><b_23><c_3>,0,0,1,2430,Yueton 100pcs Red 22/18- Gauge Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal,<a_67><b_23><c_20>,<a_193><b_36><c_63>,0,1,1,32,"4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel"
283,3097,HICTOP 5 Pcs 100K ohm NTC Thermistors/Temp Sensor for Reprap 3D printer,3d_filament,1,<a_9><b_225><c_67>,<a_237><b_242><c_182>,0,1,1,297,"XYZprinting ABS Plastic Filament Cartridge, 1.75 mm Diameter, 600g, Black",<a_91><b_16><c_106>,<a_223><b_20><c_170>,0,0,0,1847,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",<a_91><b_16><c_106>,<a_251><b_128><c_154>,0,0,0,2966,Sprite Science 12 pcs LM8UU Linear Bearings for 3D Printer 8mm x 15mm x 24mm
293,216,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,other,3,<a_65><b_157><c_0>,<a_196><b_203><c_68>,0,1,1,3338,Uxcell a15052000ux0115 2Pcs Slotted Metal 35 mm Din Mounting Rail 40 cm Long for AC Contactor,<a_17><b_217><c_0>,<a_67><b_108><c_168>,0,0,0,371,"Loos Cableware SL2-3P 50 Piece Zinc Plated Copper Crimping Sleeve Set for 3/32"" Diameter Wire Rope",<a_17><b_217><c_0>,<a_71><b_119><c_9>,0,0,0,1193,"Forney 70451 Wire Rope, Vinyl Coated Aircraft Cable, 250-Feet-by 3/32-Inch thru 3/16-Inch"
304,54,"Industrial & Scientific"" />",metadata_placeholder,7,<a_191><b_70><c_137>,<a_191><b_70><c_137>,1,1,1,54,"Industrial & Scientific"" />",<a_15><b_206><c_230>,<a_193><b_19><c_217>,0,0,1,1142,"Wirezoll a12051600ux0807 3/8"" x 3/8"" High Speed Steel HSS 4 Flute Straight End Mill Cutter",<a_15><b_206><c_230>,<a_193><b_77><c_36>,0,0,1,1141,"Anytime Tools 5 Piece 3/8"" MINI LATHE INDEXABLE CARBIDE INSERT TOOL BIT SET"
321,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,132,<a_131><b_6><c_0>,<a_253><b_51><c_13>,0,1,1,1416,"Gardner Bender 10-084 WingGard Wire Connector, 100 Pack, Yellow",<a_107><b_93><c_0>,<a_67><b_106><c_113>,0,0,1,521,"Gardner Bender 19-001 WireGard Screw-On Wire Connectors, 22-16 AWG, Electrical Wire Nut, 14 pk, Grey",<a_107><b_93><c_0>,<a_67><b_106><c_113>,0,1,1,521,"Gardner Bender 19-001 WireGard Screw-On Wire Connectors, 22-16 AWG, Electrical Wire Nut, 14 pk, Grey"
