item_id,title,brand,family,r720b_l1,r720b_l2,r720b_l3,orig_l1,orig_l2
0,SUPCO SPP6 Relay/Capacitor Hard Start Kit with 500% Increase Starting Torque,"Sealed Unit Parts Co., Inc.",other,<a_22>,<a_22><b_190>,<c_215>,<a_236>,<a_236><b_231>
1,"Stanley TRA708T Sharpshooter 1/2-Inch Leg Length Staples, Steel (1000 Count)",Stanley,fastener,<a_81>,<a_81><b_5>,<c_210>,<a_42>,<a_42><b_80>
2,Stanley TRA708SST 1/2-Inch HD Stainless Steel Narrow Crown Staple,Stanley,fastener,<a_81>,<a_81><b_5>,<c_22>,<a_42>,<a_42><b_194>
3,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack",Kreg,fastener,<a_130>,<a_130><b_243>,<c_39>,<a_224>,<a_224><b_163>
4,Dico 541-774-21/2 Nyalox Cup Brush 21/2-Inch Grey 80 Grit,Dico,other,<a_17>,<a_17><b_240>,<c_43>,<a_24>,<a_24><b_255>
5,"Hot Stuff Super T Medium Instant CA Glue, 2oz HST-4",Satellite City,adhesive_epoxy,<a_48>,<a_48><b_165>,<c_20>,<a_165>,<a_165><b_25>
6,PORTER-CABLE 740000801 4 1/2-Inch x 10yd 80 Grit Adhesive-Backed Sanding Roll,PORTER-CABLE,adhesive_epoxy,<a_199>,<a_199><b_106>,<c_4>,<a_193>,<a_193><b_196>
7,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)",UltraSource,other,<a_145>,<a_145><b_36>,<c_0>,<a_210>,<a_210><b_231>
8,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)",UltraSource,other,<a_145>,<a_145><b_36>,<c_0>,<a_210>,<a_210><b_231>
9,"Anderson Metals Brass Tube Fitting, Half-Union, 3/8"" Flare x 1/8"" Male Pipe",Anderson Metals,connector_fitting,<a_13>,<a_13><b_246>,<c_51>,<a_108>,<a_108><b_140>
10,"Scotch Foil Tape, 2-Inch by 50-Yard",3M,tape,<a_14>,<a_14><b_91>,<c_183>,<a_202>,<a_202><b_243>
11,"T&Uuml;RLEN DIAL INDICATOR 0-1"" AGD SPEC 0.001"" w/LUG BACK",TRLEN,other,<a_133>,<a_133><b_85>,<c_68>,<a_104>,<a_104><b_152>
12,"Eclipse Quick Release Woodworking Vise, Gray Cast Iron, 9"" Size",Eclipse,other,<a_148>,<a_148><b_35>,<c_99>,<a_193>,<a_193><b_237>
13,"Amprobe TL36A Test Leads with Alligator Clips, 1000V",Amprobe,other,<a_36>,<a_36><b_76>,<c_123>,<a_211>,<a_211><b_68>
14,Titan Tools 11185 Telescoping Inspection Mirror,Titan Tools,other,<a_129>,<a_129><b_48>,<c_225>,<a_180>,<a_180><b_48>
15,"Kreg SML-C2-250 Pocket Screws 2-Inch, 8 Coarse, Washer Head, 250 Count",Kreg,fastener,<a_130>,<a_130><b_89>,<c_199>,<a_224>,<a_224><b_163>
16,PORTER-CABLE 740001201 4 1/2-Inch by 10yd 120 Grit Adhesive-Backed Sanding Roll,PORTER-CABLE,adhesive_epoxy,<a_199>,<a_199><b_106>,<c_5>,<a_193>,<a_193><b_196>
17,"BOSTITCH BT1335B-1M 1-3/8-Inch 18-Gauge Brads, 1000 per Box",BOSTITCH,gauge_meter,<a_136>,<a_136><b_180>,<c_4>,<a_42>,<a_42><b_244>
18,Shop-Vac 9064900 2-1/2-to-1-1/2-Inch Conversion Unit,Shop-Vac,other,<a_19>,<a_19><b_251>,<c_249>,<a_24>,<a_24><b_173>
19,"BOSTITCH BT1309B-1M 1-Inch 18-Gauge Brads, 1000 per Box",BOSTITCH,gauge_meter,<a_136>,<a_136><b_180>,<c_62>,<a_42>,<a_42><b_244>
20,"PORTER-CABLE (PBN18075-1) 18 Gauge Brad Nails, 3/4-Inch, 1000-Pack",PORTER-CABLE,gauge_meter,<a_136>,<a_136><b_141>,<c_246>,<a_42>,<a_42><b_226>
21,"Swordfish 32051 Brass Plated Wood Screw Assortment, 500 Piece",Swordfish,fastener,<a_231>,<a_231><b_93>,<c_151>,<a_224>,<a_224><b_128>
22,"Eye-Vac EVPRO Tuxedo Black Touchless Stationary Vacuum &ndash; 1400 Watts Professional Vacuum with HEPA Filtration, Bag-less Canister. Floor Care",EyeVac,other,<a_125>,<a_125><b_145>,<c_111>,<a_197>,<a_197><b_91>
23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",Gardner Bender,tape,<a_76>,<a_76><b_151>,<c_121>,<a_202>,<a_202><b_100>
24,Wine Yeast Red Star Premier Classique Formerly Montrachet For Wine Making x10,Red Star,other,<a_177>,<a_177><b_202>,<c_118>,<a_150>,<a_150><b_50>
25,Wixey WR300 Digital Angle Gauge,Wixey,gauge_meter,<a_108>,<a_108><b_85>,<c_6>,<a_104>,<a_104><b_196>
26,Shark Navigator Lift-Away Professional NV356E,SharkNinja,other,<a_194>,<a_194><b_219>,<c_117>,<a_24>,<a_24><b_116>
