idx,item_id,title,family,eval_count_global,r720b_output_sid,r720b_top1_sid,r720b_hit1,r720b_hit10,r720b_hit50,r720b_top1_item_ids,r720b_top1_titles,orig_align_output_sid,orig_align_top1_sid,orig_align_hit1,orig_align_hit10,orig_align_hit50,orig_align_top1_item_ids,orig_align_top1_titles,orig_best_output_sid,orig_best_top1_sid,orig_best_hit1,orig_best_hit10,orig_best_hit50,orig_best_top1_item_ids,orig_best_top1_titles
0,3681,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),3d_filament,3,<a_58><b_74><c_1>,<a_71><b_98><c_88>,0,0,0,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",<a_223><b_80><c_216>,<a_223><b_198><c_173>,0,0,0,2507,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",<a_223><b_80><c_216>,<a_223><b_86><c_176>,0,0,0,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm"
1,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,8,<a_89><b_102><c_152>,<a_34><b_81><c_83>,0,0,0,280,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,<a_202><b_118><c_74>,<a_202><b_215><c_194>,0,0,1,1054,3M Rubber Splicing Tape,<a_202><b_118><c_74>,<a_202><b_147><c_0>,0,0,0,168,"Scotch Super 33+ Vinyl Electrical Tape, 3/4 in x 66 ft"
2,719,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",adhesive_epoxy,2,<a_230><b_123><c_172>,<a_89><b_102><c_152>,0,0,0,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_99><b_53><c_168>,<a_107><b_93><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_99><b_53><c_168>,<a_202><b_52><c_171>,0,0,0,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)"
3,1526,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,ventilation_fan,1,<a_166><b_59><c_98>,<a_89><b_102><c_152>,0,0,0,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_108><b_81><c_52>,<a_202><b_52><c_171>,0,0,0,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",<a_108><b_81><c_52>,<a_165><b_52><c_74>,0,0,0,172,"Gorilla Super Glue Gel, 15 Gram, Clear"
4,658,Stanley R120 Rivet Pack Assortment,other,3,<a_162><b_227><c_136>,<a_81><b_251><c_157>,0,0,0,1886,"Arrow Fastener 256 Genuine T25 3/8-Inch Staples, 1,000-Pack",<a_224><b_76><c_250>,<a_224><b_63><c_35>,0,0,1,923,"#1 Best Quality Wood Screw Assortment Kit, 240 Pieces",<a_224><b_76><c_250>,<a_224><b_81><c_180>,0,0,0,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack"
5,103,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",other,2,<a_203><b_103><c_190>,<a_149><b_11><c_7>,0,0,0,2240,"CMS Magneitcs Ceramic Magnet Hook 1 1/4"" in Diameter with 18 LB Holding Power 6-Count",<a_180><b_106><c_10>,<a_251><b_69><c_160>,0,0,0,2593,"Master Magnetics Round Base Magnet Fastener with Knob,Chrome,1.43"" Diameter, 0.98"" Total Height with 1"" Diameter Knob/16 Pounds,(Box of 4), HMKR-45X4",<a_180><b_106><c_10>,<a_87><b_238><c_111>,0,0,0,1345,POWERTEC 17000 Workbench Caster Kit (Pack of 4)
6,266,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",gauge_meter,11,<a_241><b_159><c_91>,<a_130><b_141><c_159>,0,0,1,1985,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",<a_104><b_60><c_152>,<a_224><b_163><c_205>,0,0,1,359,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,<a_104><b_60><c_152>,<a_224><b_163><c_184>,0,0,0,3,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack"
7,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,5,<a_211><b_78><c_1>,<a_153><b_105><c_157>,0,0,0,2450,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",<a_165><b_59><c_69>,<a_71><b_244><c_200>,0,0,0,1065,JawayTool Rubber Grommets Kit & Plug Wire Ring Assortment Set Electrical Gasket Tools - 180 - Pieces,<a_165><b_59><c_69>,<a_71><b_114><c_136>,0,0,0,2451,"Round Spacer, Nylon, Off-White, 0.194"" ID, 3/4"" Length, Made in US (Pack of 100)"
8,511,"Nicholson 06706N Axe File, 8-Inch",other,3,<a_26><b_235><c_99>,<a_49><b_234><c_218>,0,0,0,537,"Industrial & Scientific"" />",<a_193><b_240><c_215>,<a_68><b_98><c_239>,0,0,0,151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",<a_193><b_240><c_215>,<a_150><b_137><c_84>,0,0,0,853,"Rubbermaid Professional Plus Heavy-Duty Spray Bottle,32 fl OZ (946ml), (FG6C13PR06)"
9,1391,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",other,1,<a_152><b_174><c_73>,<a_106><b_159><c_130>,0,0,0,2785,"Pac-Kit by First Aid Only 13-125 First Aid/Burn Cream, 0.9 gm Packet (Box of 25)",<a_107><b_104><c_143>,<a_206><b_99><c_1>,0,0,0,1657,AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with Storage Case,<a_107><b_104><c_143>,<a_94><b_35><c_31>,0,0,0,148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100"
