l1,size,top_family,top_family_count,purity
124,71,3d_filament,69,0.971830985915493
241,43,3d_filament,43,1.0
123,41,3d_filament,29,0.7073170731707317
13,40,gauge_meter,25,0.625
34,40,3d_filament,39,0.975
254,36,3d_filament,36,1.0
48,33,other,31,0.9393939393939394
206,32,3d_filament,26,0.8125
240,32,3d_filament,24,0.75
70,30,3d_filament,27,0.9
131,29,connector_fitting,29,1.0
33,29,connector_fitting,28,0.9655172413793104
76,29,other,29,1.0
114,28,connector_fitting,26,0.9285714285714286
177,28,other,18,0.6428571428571429
107,26,other,24,0.9230769230769231
223,26,other,25,0.9615384615384616
115,25,other,19,0.76
204,25,tape,24,0.96
221,25,connector_fitting,20,0.8
242,24,tape,24,1.0
29,24,other,10,0.4166666666666667
50,24,other,20,0.8333333333333334
52,24,other,24,1.0
60,24,other,18,0.75
101,23,other,17,0.7391304347826086
36,23,3d_filament,16,0.6956521739130435
51,23,other,22,0.9565217391304348
88,23,other,21,0.9130434782608695
141,22,connector_fitting,14,0.6363636363636364
2,22,gauge_meter,21,0.9545454545454546
216,22,other,11,0.5
230,22,other,22,1.0
30,22,other,22,1.0
158,21,connector_fitting,17,0.8095238095238095
24,21,other,18,0.8571428571428571
108,20,other,16,0.8
179,20,adhesive_epoxy,9,0.45
236,20,other,15,0.75
45,20,other,16,0.8
81,20,other,16,0.8
117,19,other,16,0.8421052631578947
127,19,3d_filament,15,0.7894736842105263
156,19,gauge_meter,10,0.5263157894736842
175,19,3d_filament,15,0.7894736842105263
210,19,fastener,16,0.8421052631578947
251,19,other,19,1.0
59,19,tape,19,1.0
69,19,other,12,0.631578947368421
1,18,other,16,0.8888888888888888
148,18,other,15,0.8333333333333334
152,18,other,17,0.9444444444444444
181,18,other,12,0.6666666666666666
192,18,connector_fitting,18,1.0
196,18,other,13,0.7222222222222222
215,18,other,17,0.9444444444444444
23,18,other,8,0.4444444444444444
57,18,3d_filament,14,0.7777777777777778
63,18,other,18,1.0
72,18,connector_fitting,17,0.9444444444444444
79,18,other,18,1.0
9,18,other,15,0.8333333333333334
112,17,other,15,0.8823529411764706
12,17,other,15,0.8823529411764706
134,17,other,13,0.7647058823529411
139,17,other,12,0.7058823529411765
186,17,other,8,0.47058823529411764
22,17,other,14,0.8235294117647058
31,17,other,10,0.5882352941176471
38,17,other,15,0.8823529411764706
41,17,other,15,0.8823529411764706
44,17,other,17,1.0
73,17,other,14,0.8235294117647058
82,17,connector_fitting,6,0.35294117647058826
126,16,other,16,1.0
137,16,gauge_meter,12,0.75
151,16,other,15,0.9375
162,16,other,15,0.9375
163,16,fastener,10,0.625
166,16,tape,15,0.9375
168,16,other,10,0.625
185,16,other,12,0.75
202,16,other,12,0.75
247,16,other,12,0.75
249,16,other,8,0.5
28,16,other,16,1.0
3,16,fastener,15,0.9375
32,16,adhesive_epoxy,13,0.8125
74,16,other,14,0.875
92,16,tape,16,1.0
99,16,connector_fitting,12,0.75
104,15,other,10,0.6666666666666666
109,15,other,13,0.8666666666666667
132,15,other,15,1.0
157,15,gauge_meter,8,0.5333333333333333
18,15,tape,15,1.0
190,15,other,10,0.6666666666666666
191,15,metadata_placeholder,11,0.7333333333333333
198,15,other,14,0.9333333333333333
199,15,other,10,0.6666666666666666
207,15,other,11,0.7333333333333333
232,15,other,15,1.0
233,15,fastener,8,0.5333333333333333
239,15,other,15,1.0
