c_l1,size,distinct_b_l1_sources,top_b_sources,top_family,top_family_count,purity
181,18,13,244:2; 129:2; 35:2; 87:2; 79:2,other,12,0.6666666666666666
69,19,11,232:3; 134:3; 172:2; 166:2; 109:2,other,12,0.631578947368421
98,14,11,164:3; 133:2; 22:1; 181:1; 111:1,other,7,0.5
168,16,10,186:6; 185:2; 68:1; 172:1; 109:1,other,10,0.625
153,13,10,207:2; 17:2; 235:2; 0:1; 138:1,other,11,0.8461538461538461
123,41,9,58:12; 126:8; 229:6; 143:3; 71:3,3d_filament,29,0.7073170731707317
70,30,9,71:14; 200:4; 237:4; 113:2; 140:2,3d_filament,27,0.9
141,22,9,159:8; 187:4; 196:3; 217:2; 118:1,connector_fitting,14,0.6363636363636364
31,17,9,164:4; 139:3; 108:3; 199:2; 207:1,other,10,0.5882352941176471
134,17,9,51:4; 166:4; 232:2; 118:2; 165:1,other,13,0.7647058823529411
157,15,9,31:3; 193:3; 127:2; 104:2; 227:1,gauge_meter,8,0.5333333333333333
198,15,9,79:5; 97:3; 28:1; 240:1; 134:1,other,14,0.9333333333333333
232,15,9,210:4; 28:3; 235:2; 68:1; 53:1,other,15,1.0
10,13,9,253:4; 249:2; 95:1; 47:1; 118:1,other,6,0.46153846153846156
121,13,9,87:5; 14:1; 59:1; 182:1; 175:1,tape,8,0.6153846153846154
21,13,9,35:3; 223:2; 166:2; 253:1; 210:1,other,8,0.6153846153846154
194,12,9,135:4; 103:1; 198:1; 106:1; 239:1,other,9,0.75
135,12,9,35:3; 145:2; 87:1; 89:1; 246:1,other,8,0.6666666666666666
248,12,9,15:3; 11:2; 199:1; 119:1; 239:1,other,11,0.9166666666666666
58,10,9,160:2; 47:1; 203:1; 81:1; 243:1,other,9,0.9
206,32,8,255:18; 195:8; 237:1; 200:1; 77:1,3d_filament,26,0.8125
115,25,8,51:12; 123:6; 232:2; 216:1; 118:1,other,19,0.76
60,24,8,67:9; 185:4; 36:3; 165:3; 115:2,other,18,0.75
