variant,family,count,family_l1_count,avg_bucket_purity,largest_family_l1_bucket
original,3d_filament,386,21,0.7393745709674137,229
original,adhesive_epoxy,125,14,0.49825005710794357,59
original,connector_fitting,274,19,0.5022637898260244,94
original,gauge_meter,338,29,0.30823818836333344,42
original,tape,217,22,0.631413669856212,115
r720b,3d_filament,386,38,0.8374566220873175,105
r720b,adhesive_epoxy,125,29,0.5982036466457523,25
r720b,connector_fitting,274,43,0.710442855353224,31
r720b,gauge_meter,338,85,0.5364811874494204,33
r720b,tape,217,40,0.7447656386534004,26
r720c,3d_filament,386,34,0.8309350501635006,69
r720c,adhesive_epoxy,125,30,0.5964239719344985,13
r720c,connector_fitting,274,43,0.6740576902083044,29
r720c,gauge_meter,338,88,0.46595983032668364,25
r720c,tape,217,47,0.7177090048182667,24
