idx,item_id,family,title,r720e_target_sid,r720e_pred1_sid,r720e_hit1,r720e_hit3,r720e_hit5,r720e_hit10,r720e_top1_l1,r720e_top10_l1,r720e_top1_l2,r720e_top10_l2,r720e_top1_l3,r720e_top10_l3,r720e_l1,r720e_l1_size,r720e_l1_purity,r720e_l1_top_family,r720e_pred1_item_id,r720e_pred1_title,r720e_pred1_family,r720b_target_sid,r720b_pred1_sid,r720b_hit1,r720b_hit3,r720b_hit5,r720b_hit10,r720b_top1_l1,r720b_top10_l1,r720b_top1_l2,r720b_top10_l2,r720b_top1_l3,r720b_top10_l3,r720b_l1,r720b_l1_size,r720b_l1_purity,r720b_l1_top_family,r720b_pred1_item_id,r720b_pred1_title,r720b_pred1_family,orig_align_target_sid,orig_align_pred1_sid,orig_align_hit1,orig_align_hit3,orig_align_hit5,orig_align_hit10,orig_align_top1_l1,orig_align_top10_l1,orig_align_top1_l2,orig_align_top10_l2,orig_align_top1_l3,orig_align_top10_l3,orig_align_l1,orig_align_l1_size,orig_align_l1_purity,orig_align_l1_top_family,orig_align_pred1_item_id,orig_align_pred1_title,orig_align_pred1_family,orig_strong_target_sid,orig_strong_pred1_sid,orig_strong_hit1,orig_strong_hit3,orig_strong_hit5,orig_strong_hit10,orig_strong_top1_l1,orig_strong_top10_l1,orig_strong_top1_l2,orig_strong_top10_l2,orig_strong_top1_l3,orig_strong_top10_l3,orig_strong_l1,orig_strong_l1_size,orig_strong_l1_purity,orig_strong_l1_top_family,orig_strong_pred1_item_id,orig_strong_pred1_title,orig_strong_pred1_family,v2_target_sid,v2_pred1_sid,v2_hit1,v2_hit3,v2_hit5,v2_hit10,v2_top1_l1,v2_top10_l1,v2_top1_l2,v2_top10_l2,v2_top1_l3,v2_top10_l3
0,3681,3d_filament,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),<a_168><b_251><c_6>,<a_142><b_66><c_205>,0,0,0,0,0,1,0,0,0,0,<a_168>,67,0.8059701492537313,3d_filament,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,<a_58><b_74><c_1>,<a_71><b_98><c_88>,0,0,0,0,0,1,0,0,0,0,<a_58>,105,1.0,3d_filament,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,<a_223><b_80><c_216>,<a_223><b_198><c_173>,0,0,0,0,1,1,0,1,0,0,<a_223>,247,0.9271255060728745,3d_filament,2507,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",3d_filament,<a_223><b_80><c_216>,<a_223><b_86><c_176>,0,0,0,0,1,1,0,0,0,0,<a_223>,247,0.9271255060728745,3d_filament,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,<a_112><b_122><c_202>,<a_112><b_35><c_32>,0,0,0,0,1,1,0,0,0,0
1,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_190><b_171><c_15>,<a_82><b_96><c_163>,0,0,0,0,0,0,0,0,0,0,<a_190>,17,0.8235294117647058,tape,1054,3M Rubber Splicing Tape,tape,<a_89><b_102><c_152>,<a_34><b_81><c_83>,0,0,0,0,0,0,0,0,0,0,<a_89>,26,1.0,tape,280,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,ventilation_fan,<a_202><b_118><c_74>,<a_202><b_215><c_194>,0,0,0,0,1,1,0,0,0,0,<a_202>,117,0.9829059829059829,tape,1054,3M Rubber Splicing Tape,tape,<a_202><b_118><c_74>,<a_202><b_147><c_0>,0,0,0,0,1,1,0,0,0,0,<a_202>,117,0.9829059829059829,tape,168,"Scotch Super 33+ Vinyl Electrical Tape, 3/4 in x 66 ft",tape,<a_234><b_32><c_84>,<a_242><b_21><c_109>,0,0,0,0,0,0,0,0,0,0
2,719,adhesive_epoxy,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",<a_76><b_249><c_213>,<a_190><b_171><c_15>,0,0,0,0,0,0,0,0,0,0,<a_76>,16,0.6875,other,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,<a_230><b_123><c_172>,<a_89><b_102><c_152>,0,0,0,0,0,0,0,0,0,0,<a_230>,12,0.6666666666666666,adhesive_epoxy,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,<a_99><b_53><c_168>,<a_107><b_93><c_0>,0,0,0,0,0,0,0,0,0,0,<a_99>,32,0.5625,other,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_99><b_53><c_168>,<a_202><b_52><c_171>,0,0,0,0,0,0,0,0,0,0,<a_99>,32,0.5625,other,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",tape,<a_135><b_236><c_55>,<a_234><b_32><c_84>,0,0,0,0,0,0,0,0,0,0
3,1526,ventilation_fan,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,<a_211><b_192><c_216>,<a_236><b_125><c_203>,0,0,0,0,0,0,0,0,0,0,<a_211>,39,0.8461538461538461,connector_fitting,77,"Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6)",tape,<a_166><b_59><c_98>,<a_89><b_102><c_152>,0,0,0,0,0,0,0,0,0,0,<a_166>,15,0.7333333333333333,other,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,<a_108><b_81><c_52>,<a_202><b_52><c_171>,0,0,0,0,0,0,0,0,0,0,<a_108>,143,0.6083916083916084,connector_fitting,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",tape,<a_108><b_81><c_52>,<a_165><b_52><c_74>,0,0,0,0,0,0,0,0,0,0,<a_108>,143,0.6083916083916084,connector_fitting,172,"Gorilla Super Glue Gel, 15 Gram, Clear",adhesive_epoxy,<a_41><b_177><c_0>,<a_209><b_169><c_44>,0,0,0,0,0,0,0,0,0,0
4,658,other,Stanley R120 Rivet Pack Assortment,<a_207><b_217><c_182>,<a_24><b_227><c_114>,0,0,0,0,0,0,0,0,0,0,<a_207>,20,0.4,other,571,"The Hillman Group 591516 Small Anchors with Screws Assortment, 95-Pack",fastener,<a_162><b_227><c_136>,<a_81><b_251><c_157>,0,0,0,0,0,0,0,0,0,0,<a_162>,7,0.5714285714285714,other,1886,"Arrow Fastener 256 Genuine T25 3/8-Inch Staples, 1,000-Pack",fastener,<a_224><b_76><c_250>,<a_224><b_63><c_35>,0,0,0,0,1,1,0,0,0,0,<a_224>,191,0.612565445026178,fastener,923,"#1 Best Quality Wood Screw Assortment Kit, 240 Pieces",fastener,<a_224><b_76><c_250>,<a_224><b_81><c_180>,0,0,0,0,1,1,0,0,0,0,<a_224>,191,0.612565445026178,fastener,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",other,<a_254><b_70><c_85>,<a_105><b_5><c_225>,0,0,0,0,0,0,0,0,0,0
5,103,other,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",<a_185><b_149><c_71>,<a_187><b_235><c_223>,0,0,0,0,0,0,0,0,0,0,<a_185>,16,0.625,other,1636,"40 Pound Neodymium Magnetic Hooks, 1.25"" Diameter, 1.75"" Tall (Pack of 5)",gauge_meter,<a_203><b_103><c_190>,<a_149><b_11><c_7>,0,0,0,0,0,0,0,0,0,0,<a_203>,4,1.0,other,2240,"CMS Magneitcs Ceramic Magnet Hook 1 1/4"" in Diameter with 18 LB Holding Power 6-Count",gauge_meter,<a_180><b_106><c_10>,<a_251><b_69><c_160>,0,0,0,0,0,0,0,0,0,0,<a_180>,81,0.8518518518518519,other,2593,"Master Magnetics Round Base Magnet Fastener with Knob,Chrome,1.43"" Diameter, 0.98"" Total Height with 1"" Diameter Knob/16 Pounds,(Box of 4), HMKR-45X4",gauge_meter,<a_180><b_106><c_10>,<a_87><b_238><c_111>,0,0,0,0,0,0,0,0,0,0,<a_180>,81,0.8518518518518519,other,1345,POWERTEC 17000 Workbench Caster Kit (Pack of 4),other,<a_88><b_138><c_183>,<a_59><b_60><c_61>,0,0,0,0,0,0,0,0,0,0
6,266,gauge_meter,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",<a_8><b_231><c_105>,<a_218><b_173><c_38>,0,0,0,0,0,0,0,0,0,0,<a_8>,12,0.4166666666666667,other,1042,uxcell Mandrel Mounted White Conical Felt Point Polishing Tool,other,<a_241><b_159><c_91>,<a_130><b_141><c_159>,0,0,0,0,0,1,0,0,0,0,<a_241>,15,1.0,gauge_meter,1985,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",fastener,<a_104><b_60><c_152>,<a_224><b_163><c_205>,0,0,0,0,0,0,0,0,0,0,<a_104>,60,0.6333333333333333,gauge_meter,359,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,fastener,<a_104><b_60><c_152>,<a_224><b_163><c_184>,0,0,0,0,0,0,0,0,0,0,<a_104>,60,0.6333333333333333,gauge_meter,3,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack",fastener,<a_198><b_16><c_136>,<a_62><b_245><c_68>,0,0,0,0,0,0,0,0,0,0
7,675,adhesive_epoxy,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,<a_89><b_146><c_8>,<a_44><b_130><c_8>,0,0,0,0,0,0,0,0,0,0,<a_89>,16,1.0,adhesive_epoxy,2450,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",fastener,<a_211><b_78><c_1>,<a_153><b_105><c_157>,0,0,0,0,0,0,0,0,0,0,<a_211>,20,0.95,adhesive_epoxy,2450,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",fastener,<a_165><b_59><c_69>,<a_71><b_244><c_200>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,1065,JawayTool Rubber Grommets Kit & Plug Wire Ring Assortment Set Electrical Gasket Tools - 180 - Pieces,other,<a_165><b_59><c_69>,<a_71><b_114><c_136>,0,0,0,0,0,0,0,0,0,0,<a_165>,72,0.8194444444444444,adhesive_epoxy,2451,"Round Spacer, Nylon, Off-White, 0.194"" ID, 3/4"" Length, Made in US (Pack of 100)",other,<a_135><b_25><c_11>,<a_0><b_15><c_0>,0,0,0,0,0,0,0,0,0,0
8,511,other,"Nicholson 06706N Axe File, 8-Inch",<a_185><b_3><c_146>,<a_160><b_8><c_0>,0,0,0,0,0,0,0,0,0,0,<a_185>,16,0.625,other,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,<a_26><b_235><c_99>,<a_49><b_234><c_218>,0,0,0,0,0,0,0,0,0,0,<a_26>,12,0.75,other,537,"Industrial & Scientific"" />",metadata_placeholder,<a_193><b_240><c_215>,<a_68><b_98><c_239>,0,0,0,0,0,0,0,0,0,0,<a_193>,133,0.8872180451127819,other,151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",tape,<a_193><b_240><c_215>,<a_150><b_137><c_84>,0,0,0,0,0,0,0,0,0,0,<a_193>,133,0.8872180451127819,other,853,"Rubbermaid Professional Plus Heavy-Duty Spray Bottle,32 fl OZ (946ml), (FG6C13PR06)",other,<a_126><b_155><c_151>,<a_230><b_233><c_125>,0,0,0,0,0,0,0,0,0,0
9,1391,other,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",<a_96><b_24><c_123>,<a_215><b_159><c_5>,0,0,0,0,0,0,0,0,0,0,<a_96>,8,0.875,other,1056,American Labs BS-144P-200S-22-A 144 Blank Microscope Slides and 200 Cover Glass Pre Cleaned - 2 Packs Ground Edges,3d_filament,<a_152><b_174><c_73>,<a_106><b_159><c_130>,0,0,0,0,0,0,0,0,0,0,<a_152>,12,0.75,other,2785,"Pac-Kit by First Aid Only 13-125 First Aid/Burn Cream, 0.9 gm Packet (Box of 25)",other,<a_107><b_104><c_143>,<a_206><b_99><c_1>,0,0,0,0,0,1,0,0,0,0,<a_107>,66,0.5757575757575758,gauge_meter,1657,AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with Storage Case,other,<a_107><b_104><c_143>,<a_94><b_35><c_31>,0,0,0,0,0,1,0,0,0,0,<a_107>,66,0.5757575757575758,gauge_meter,148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",other,<a_209><b_134><c_28>,<a_91><b_0><c_1>,0,0,0,0,0,0,0,0,0,0
