label,idx,item_id,family,title,r720e_l1,r720e_l1_size,r720e_l1_purity,r720e_stage10,r720e_exact_rank,r720e_pred1_item_id,r720e_pred1_family,r720e_pred1_title,r720b_stage10,r720b_exact_rank,orig_align_stage10,orig_align_exact_rank
e_win_vs_r720b,11,450,tape,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",<a_122>,26,1.0,exact_in_top10,2,457,other,CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle,L1_missing_top10,17,L1_present_L2_missing_top10,9999
e_win_vs_r720b,119,1887,gauge_meter,"Bare Copper Wire, Bright, 12 AWG, 0.08"" Diameter, 50' Length (Pack of 1)",<a_12>,33,0.7272727272727273,exact_in_top10,7,1839,gauge_meter,"Bare Copper Wire, Bright, 14 AWG, 0.064"" Diameter, 80' Length (Pack of 1)",L12_present_leaf_missing_top10,9999,L12_present_leaf_missing_top10,9999
e_win_vs_r720b,143,2660,3d_filament,"3D Solutech Real Grey 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_168>,67,0.8059701492537313,exact_in_top10,10,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",L12_present_leaf_missing_top10,13,exact_in_top10,6
e_win_vs_r720b,158,1911,gauge_meter,uxcell 1 Meter 65 Flat width 40mm Dia Ratio 2:1 Heat Shrinkable Shrinking Tube Black,<a_173>,24,0.4583333333333333,exact_in_top10,1,1911,gauge_meter,uxcell 1 Meter 65 Flat width 40mm Dia Ratio 2:1 Heat Shrinkable Shrinking Tube Black,L1_present_L2_missing_top10,9999,L1_present_L2_missing_top10,9999
e_win_vs_r720b,172,2333,3d_filament,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",<a_123>,27,0.6666666666666666,exact_in_top10,3,2157,3d_filament,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",L1_present_L2_missing_top10,12,L1_missing_top10,38
e_win_vs_r720b,176,560,test_strip,"Litmus pH Test Strips, Universal Application (pH 1-14), 2 Packs of 100 Strips",<a_183>,17,0.5294117647058824,exact_in_top10,1,560,test_strip,"Litmus pH Test Strips, Universal Application (pH 1-14), 2 Packs of 100 Strips",L1_missing_top10,9999,exact_in_top10,6
e_win_vs_r720b,204,560,test_strip,"Litmus pH Test Strips, Universal Application (pH 1-14), 2 Packs of 100 Strips",<a_183>,17,0.5294117647058824,exact_in_top10,7,2938,ventilation_fan,"VenTech VT DUCT-6 VTD625 Aluminum Duct for Ventilation Ducting, 6''",L1_present_L2_missing_top10,9999,L12_present_leaf_missing_top10,11
e_win_vs_r720b,266,408,gauge_meter,Lucksender 100 Feet/30 Meter 1/8inch / 3mm I.D Polyolefin 2:1 Heat Shrink Tubing,<a_12>,33,0.7272727272727273,exact_in_top10,1,408,gauge_meter,Lucksender 100 Feet/30 Meter 1/8inch / 3mm I.D Polyolefin 2:1 Heat Shrink Tubing,L12_present_leaf_missing_top10,20,exact_in_top10,3
e_win_vs_r720b,279,3579,3d_filament,Inland 1.75mm Natural PETG 3D Printer Filament - 1kg Spool (2.2 Lbs),<a_165>,58,0.9655172413793104,exact_in_top10,5,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L12_present_leaf_missing_top10,40,L12_present_leaf_missing_top10,9999
e_win_vs_r720b,280,3198,3d_filament,Inland 1.75mm Translucent Yellow PETG 3D Printer Filament - 1kg Spool (2.2 Lbs),<a_165>,58,0.9655172413793104,exact_in_top10,10,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L1_present_L2_missing_top10,9999,L12_present_leaf_missing_top10,9999
e_win_vs_r720b,290,824,other,"213C2 Karter Scientific Glass Graduated Cylinder 3 Piece Set 10, 50 & 100ml",<a_140>,41,0.975609756097561,exact_in_top10,2,101,connector_fitting,"Stainless Steel 304/304L Pipe Fitting, Nipple, Schedule 40 Welded, 4"" X 6"" NPT Male by Merit Brass",L1_missing_top10,9999,exact_in_top10,10
e_win_vs_r720b,360,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,7,2333,3d_filament,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",L1_present_L2_missing_top10,9999,L1_present_L2_missing_top10,9999
e_win_vs_r720b,372,1171,other,"Drill America DWTSMT15X1.5 HSS Metric Tap, Special Size, M15 x 1.5",<a_14>,24,0.6666666666666666,exact_in_top10,8,1142,other,"Wirezoll a12051600ux0807 3/8"" x 3/8"" High Speed Steel HSS 4 Flute Straight End Mill Cutter",L1_missing_top10,9999,L1_missing_top10,33
e_win_vs_r720b,376,1107,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",<a_142>,77,0.987012987012987,exact_in_top10,4,1851,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",L12_present_leaf_missing_top10,11,exact_in_top10,2
e_win_vs_r720b,401,1107,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",<a_142>,77,0.987012987012987,exact_in_top10,7,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",L12_present_leaf_missing_top10,20,L12_present_leaf_missing_top10,19
e_win_vs_r720b,404,93,other,"White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25' Length",<a_255>,19,0.7368421052631579,exact_in_top10,7,769,gauge_meter,Nubee Temperature Gun Non-contact Digital Laser Infrared IR Thermometer,L1_missing_top10,9999,L1_present_L2_missing_top10,9999
e_win_vs_r720b,410,2866,other,Innovating Science Gram's Stain Kit,<a_40>,6,0.5,exact_in_top10,7,1056,3d_filament,American Labs BS-144P-200S-22-A 144 Blank Microscope Slides and 200 Cover Glass Pre Cleaned - 2 Packs Ground Edges,L1_missing_top10,34,L1_missing_top10,9999
e_win_vs_r720b,429,2151,3d_filament,Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm,<a_168>,67,0.8059701492537313,exact_in_top10,3,2297,adhesive_epoxy,"Bob Smith Industries BSI-161H UN-CURE Super Glue Debonder, 1 oz.",L1_missing_top10,17,L1_missing_top10,9999
e_win_vs_r720b,475,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,5,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",L1_present_L2_missing_top10,9999,L1_present_L2_missing_top10,9999
e_win_vs_r720b,501,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,2,1851,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",L12_present_leaf_missing_top10,9999,L12_present_leaf_missing_top10,26
e_win_vs_r720b,515,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_168>,67,0.8059701492537313,exact_in_top10,1,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",L12_present_leaf_missing_top10,19,L12_present_leaf_missing_top10,16
e_win_vs_r720b,529,1184,other,"Keeper Foot x 2 Inch 02612 6' x 2"" Lift Sling",<a_74>,21,0.9523809523809523,exact_in_top10,3,1268,other,"Vacmaster 4 Gallon, 5 Peak HP with 2-Stage Industrial Motor Wet/Dry Floor Vacuum, VF408",L1_present_L2_missing_top10,44,L1_present_L2_missing_top10,17
e_win_vs_r720b,566,218,ventilation_fan,Phresh Duct Silencer 8 in x 24 in,<a_31>,18,0.5555555555555556,exact_in_top10,3,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",L1_missing_top10,9999,L1_missing_top10,21
e_win_vs_r720b,594,139,other,DuPont Teflon Non-Stick,<a_208>,23,0.782608695652174,exact_in_top10,4,280,ventilation_fan,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,L1_missing_top10,33,exact_in_top10,9
e_win_vs_r720b,618,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,6,2739,3d_filament,1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,L12_present_leaf_missing_top10,9999,L12_present_leaf_missing_top10,31
e_win_vs_r720b,681,199,adhesive_epoxy,J-B Weld 50133 Plastic Bonder Structural Adhesive Syringe - Dries Tan - 25 ml,<a_67>,20,0.55,exact_in_top10,10,749,other,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",L1_missing_top10,9999,L1_missing_top10,9999
e_win_vs_r720b,693,22,other,"Eye-Vac EVPRO Tuxedo Black Touchless Stationary Vacuum &ndash; 1400 Watts Professional Vacuum with HEPA Filtration, Bag-less Canister. Floor Care",<a_221>,20,0.9,exact_in_top10,1,22,other,"Eye-Vac EVPRO Tuxedo Black Touchless Stationary Vacuum &ndash; 1400 Watts Professional Vacuum with HEPA Filtration, Bag-less Canister. Floor Care",L1_missing_top10,9999,exact_in_top10,3
e_win_vs_r720b,694,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_160>,14,0.6428571428571429,exact_in_top10,4,140,other,DuPont Teflon Silicone Lubricant,L1_missing_top10,9999,L1_missing_top10,14
e_win_vs_r720b,728,1395,fastener,KREG Tools SSW Kreg Screw Selector Wheel. Woodworking,<a_251>,33,0.9090909090909091,exact_in_top10,2,359,fastener,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,L1_present_L2_missing_top10,15,L12_present_leaf_missing_top10,16
e_win_vs_r720b,798,1850,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",<a_142>,77,0.987012987012987,exact_in_top10,7,3444,3d_filament,RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle,L1_missing_top10,14,L1_present_L2_missing_top10,9999
e_win_vs_r720b,802,3453,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_168>,67,0.8059701492537313,exact_in_top10,4,2333,3d_filament,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",L1_present_L2_missing_top10,9999,L12_present_leaf_missing_top10,9999
e_win_vs_r720b,825,2909,3d_filament,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_168>,67,0.8059701492537313,exact_in_top10,5,1347,other,Woodstock D4160 110-Volt Paddle Switch,L1_present_L2_missing_top10,18,exact_in_top10,1
e_win_vs_r720b,860,1255,other,"SE 82331TF 30-Piece Set of Titanium-Coated Diamond Burrs, Grits 120-150",<a_93>,21,0.9047619047619048,exact_in_top10,4,1030,other,"SE DT220R 180 Grit Diamond Burr Set with 1/8"" Shank, 20-Piece",L1_present_L2_missing_top10,16,exact_in_top10,4
e_win_vs_r720b,917,3654,3d_filament,1.75mm Orange PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,<a_165>,58,0.9655172413793104,exact_in_top10,2,2739,3d_filament,1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,L12_present_leaf_missing_top10,48,L1_present_L2_missing_top10,9999
e_win_vs_r720b,931,326,adhesive_epoxy,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,<a_89>,16,1.0,exact_in_top10,5,257,adhesive_epoxy,"Gorilla 5000408  Original Gorilla Glue, Waterproof Polyurethane Glue, 4 ounce Bottle, Brown",L1_missing_top10,37,L12_present_leaf_missing_top10,36
e_win_vs_r720b,973,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,6,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",L1_present_L2_missing_top10,9999,L1_missing_top10,9999
e_win_vs_r720b,974,2734,3d_filament,Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,3,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L12_present_leaf_missing_top10,43,exact_in_top10,4
e_win_vs_r720b,1007,19,gauge_meter,"BOSTITCH BT1309B-1M 1-Inch 18-Gauge Brads, 1000 per Box",<a_85>,38,0.868421052631579,exact_in_top10,1,19,gauge_meter,"BOSTITCH BT1309B-1M 1-Inch 18-Gauge Brads, 1000 per Box",L1_missing_top10,20,L1_present_L2_missing_top10,9999
e_win_vs_r720b,1015,1159,connector_fitting,"Loc-Line Coolant Hose Assembly Pliers, for 1/2"" Coolant Hose System",<a_77>,25,0.6,exact_in_top10,2,2202,connector_fitting,"Loc-Line Coolant Hose Assembly Kit, Acetal Copolymer, 7 Piece, 1/4"" Coolant Hose ID",L1_missing_top10,19,exact_in_top10,1
e_win_vs_r720b,1017,175,tape,"Gorilla Crystal Clear Duct Tape, 1.88&rdquo; x 9 yd, Clear, (Pack of 1)",<a_122>,26,1.0,exact_in_top10,10,257,adhesive_epoxy,"Gorilla 5000408  Original Gorilla Glue, Waterproof Polyurethane Glue, 4 ounce Bottle, Brown",L1_present_L2_missing_top10,14,L1_missing_top10,9999
e_win_vs_r720b,1031,3016,3d_filament,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",<a_142>,77,0.987012987012987,exact_in_top10,2,2507,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",L1_present_L2_missing_top10,15,L1_present_L2_missing_top10,18
e_win_vs_r720b,1048,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,3,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",L1_present_L2_missing_top10,9999,L1_present_L2_missing_top10,9999
e_win_vs_r720b,1058,2912,3d_filament,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_165>,58,0.9655172413793104,exact_in_top10,3,2979,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),L12_present_leaf_missing_top10,9999,L12_present_leaf_missing_top10,9999
