idx,item_id,family,title,brand,target_sid,target_l1,target_l1_size,target_l1_purity,target_l1_top_family,target_family_is_l1_top,target_l1_size_bin,target_l1_purity_bin,l1_rank,l12_rank,exact_rank,hit10,l1_in_top10,l1_in_top50,pred1_sid,pred1_l1,pred1_l1_size,pred1_l1_purity,pred1_l1_top_family,pred1_item_id,pred1_family,pred1_title,top10_unique_l1,top10_has_same_family_bucket,top10_has_same_top_family,top10_pred_l1s
0,3681,3d_filament,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),3D Solutech,<a_168><b_251><c_6>,<a_168>,67,0.8059701492537313,3d_filament,True,51-100,0.75-0.9,10,9999,9999,0,1,1,<a_142><b_66><c_205>,<a_142>,77,0.987012987012987,3d_filament,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",4,1,1,<a_142> <a_142> <a_123> <a_142> <a_142> <a_142> <a_209> <a_142> <a_142> <a_168>
1,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",T-Rex,<a_190><b_171><c_15>,<a_190>,17,0.8235294117647058,tape,True,11-20,0.75-0.9,38,9999,9999,0,0,1,<a_82><b_96><c_163>,<a_82>,37,0.43243243243243246,tape,1054,tape,3M Rubber Splicing Tape,5,1,1,<a_82> <a_82> <a_82> <a_82> <a_82> <a_82> <a_160> <a_88> <a_52> <a_81>
2,719,adhesive_epoxy,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",Gorilla,<a_76><b_249><c_213>,<a_76>,16,0.6875,other,False,11-20,0.5-0.75,9999,9999,9999,0,0,0,<a_190><b_171><c_15>,<a_190>,17,0.8235294117647058,tape,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",6,1,0,<a_190> <a_82> <a_122> <a_81> <a_236> <a_172> <a_82> <a_82> <a_82> <a_82>
3,1526,ventilation_fan,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,Genova,<a_211><b_192><c_216>,<a_211>,39,0.8461538461538461,connector_fitting,False,21-50,0.75-0.9,9999,9999,9999,0,0,0,<a_236><b_125><c_203>,<a_236>,39,0.9743589743589743,tape,77,tape,"Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6)",9,0,0,<a_236> <a_190> <a_160> <a_190> <a_21> <a_81> <a_122> <a_172> <a_67> <a_82>
4,658,other,Stanley R120 Rivet Pack Assortment,Stanley,<a_207><b_217><c_182>,<a_207>,20,0.4,other,True,11-20,<0.5,46,9999,9999,0,0,1,<a_24><b_227><c_114>,<a_24>,20,0.55,fastener,571,fastener,"The Hillman Group 591516 Small Anchors with Screws Assortment, 95-Pack",4,1,0,<a_24> <a_251> <a_24> <a_143> <a_24> <a_251> <a_251> <a_24> <a_85> <a_85>
5,103,other,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",Osborn International,<a_185><b_149><c_71>,<a_185>,16,0.625,other,True,11-20,0.5-0.75,31,9999,9999,0,0,1,<a_187><b_235><c_223>,<a_187>,36,0.75,other,1636,gauge_meter,"40 Pound Neodymium Magnetic Hooks, 1.25"" Diameter, 1.75"" Tall (Pack of 5)",6,1,1,<a_187> <a_34> <a_92> <a_187> <a_143> <a_187> <a_189> <a_34> <a_187> <a_160>
6,266,gauge_meter,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",iGaging,<a_8><b_231><c_105>,<a_8>,12,0.4166666666666667,other,False,11-20,<0.5,9999,9999,9999,0,0,0,<a_218><b_173><c_38>,<a_218>,16,0.75,other,1042,other,uxcell Mandrel Mounted White Conical Felt Point Polishing Tool,5,1,0,<a_218> <a_153> <a_153> <a_251> <a_153> <a_153> <a_251> <a_52> <a_238> <a_251>
7,675,adhesive_epoxy,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,J-B Weld,<a_89><b_146><c_8>,<a_89>,16,1.0,adhesive_epoxy,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_44><b_130><c_8>,<a_44>,26,0.8461538461538461,other,2450,fastener,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",4,0,0,<a_44> <a_44> <a_88> <a_88> <a_88> <a_101> <a_44> <a_98> <a_44> <a_44>
8,511,other,"Nicholson 06706N Axe File, 8-Inch",Nicholson,<a_185><b_3><c_146>,<a_185>,16,0.625,other,True,11-20,0.5-0.75,9999,9999,9999,0,0,0,<a_160><b_8><c_0>,<a_160>,14,0.6428571428571429,other,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",10,1,1,<a_160> <a_18> <a_238> <a_208> <a_81> <a_198> <a_83> <a_195> <a_236> <a_122>
9,1391,other,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",Seek Thermal,<a_96><b_24><c_123>,<a_96>,8,0.875,other,True,<=10,0.75-0.9,9999,9999,9999,0,0,0,<a_215><b_159><c_5>,<a_215>,17,0.8823529411764706,other,1056,3d_filament,American Labs BS-144P-200S-22-A 144 Blank Microscope Slides and 200 Cover Glass Pre Cleaned - 2 Packs Ground Edges,8,1,1,<a_215> <a_1> <a_83> <a_140> <a_186> <a_145> <a_81> <a_81> <a_160> <a_81>
10,2253,tape,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",CS Hyde,<a_91><b_183><c_8>,<a_91>,26,0.9230769230769231,tape,True,21-50,>=0.9,9999,9999,9999,0,0,0,<a_123><b_54><c_63>,<a_123>,27,0.6666666666666666,3d_filament,2157,3d_filament,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",4,0,0,<a_123> <a_123> <a_123> <a_142> <a_209> <a_142> <a_142> <a_123> <a_168> <a_123>
11,450,tape,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",X-Treme Tape,<a_122><b_50><c_69>,<a_122>,26,1.0,tape,True,21-50,>=0.9,2,2,2,1,1,1,<a_191><b_199><c_125>,<a_191>,20,1.0,other,457,other,CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle,7,1,1,<a_191> <a_122> <a_191> <a_81> <a_122> <a_101> <a_104> <a_126> <a_122> <a_195>
12,59,adhesive_epoxy,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),Loctite,<a_53><b_69><c_81>,<a_53>,19,0.9473684210526315,adhesive_epoxy,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_115><b_225><c_185>,<a_115>,18,1.0,tape,1197,tape,TapeCase 3432 1in X 5yd Red Reflective Tape (1 Roll),4,0,0,<a_115> <a_115> <a_115> <a_115> <a_237> <a_115> <a_208> <a_122> <a_115> <a_115>
13,1374,other,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,HHIP,<a_100><b_231><c_0>,<a_100>,14,0.8571428571428571,other,True,11-20,0.75-0.9,9999,9999,9999,0,0,0,<a_237><b_63><c_78>,<a_237>,7,1.0,other,2179,other,iRobot Roomba 860 Robot Vacuum,9,1,1,<a_237> <a_191> <a_160> <a_99> <a_81> <a_21> <a_191> <a_2> <a_172> <a_198>
14,3340,other,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",E-Projects,<a_118><b_18><c_9>,<a_118>,25,0.96,other,True,21-50,>=0.9,9999,9999,9999,0,0,0,<a_15><b_62><c_170>,<a_15>,24,1.0,fastener,1949,fastener,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threads (Pack of 100)",6,1,1,<a_15> <a_143> <a_143> <a_235> <a_24> <a_15> <a_15> <a_143> <a_201> <a_242>
15,352,other,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,General Tools Mfg Co In,<a_201><b_55><c_139>,<a_201>,19,0.9473684210526315,other,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_173><b_96><c_245>,<a_173>,24,0.4583333333333333,tape,23,tape,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",9,1,1,<a_173> <a_160> <a_89> <a_81> <a_122> <a_32> <a_163> <a_104> <a_190> <a_89>
16,516,other,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",ProTool,<a_201><b_219><c_110>,<a_201>,19,0.9473684210526315,other,True,11-20,>=0.9,20,9999,9999,0,0,1,<a_173><b_96><c_245>,<a_173>,24,0.4583333333333333,tape,23,tape,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",10,1,1,<a_173> <a_160> <a_81> <a_122> <a_89> <a_53> <a_0> <a_18> <a_208> <a_32>
17,152,connector_fitting,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",Camco,<a_163><b_54><c_113>,<a_163>,19,0.7894736842105263,other,False,11-20,0.75-0.9,9999,9999,9999,0,0,0,<a_25><b_85><c_85>,<a_25>,23,0.9565217391304348,other,1745,other,Uxcell Toggle Switch (10 Piece),5,1,1,<a_25> <a_242> <a_222> <a_5> <a_25> <a_222> <a_242> <a_242> <a_101> <a_25>
18,1080,other,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",Pyrex,<a_217><b_238><c_224>,<a_217>,13,0.9230769230769231,other,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_163><b_54><c_113>,<a_163>,19,0.7894736842105263,other,152,connector_fitting,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",10,1,1,<a_163> <a_242> <a_208> <a_101> <a_0> <a_5> <a_233> <a_225> <a_214> <a_206>
19,326,adhesive_epoxy,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,J-B Weld,<a_89><b_146><c_66>,<a_89>,16,1.0,adhesive_epoxy,True,11-20,>=0.9,9999,9999,9999,0,0,0,<a_148><b_92><c_140>,<a_148>,13,0.6153846153846154,other,1568,tape,"FiberFix 1"" Repair Tape Wrap - Fix Anything with Permanent Waterproof Repair Tape 100X Stronger than Duct Tape",8,1,0,<a_148> <a_186> <a_160> <a_122> <a_122> <a_107> <a_236> <a_225> <a_129> <a_122>
