target_l1,test_count,l1_missing_rate,hit10,bucket_size,bucket_purity,bucket_top_family,test_families,top_pred1_l1_when_missing
<a_193>,28,1.0,0.0,15,0.6666666666666666,other,other:13; 3d_filament:13; adhesive_epoxy:2,<a_165>:6; <a_142>:4; <a_120>:2; <a_252>:1; <a_191>:1
<a_213>,28,1.0,0.0,19,0.6842105263157895,other,other:19; gauge_meter:9,<a_160>:6; <a_103>:2; <a_222>:2; <a_101>:2; <a_200>:1
<a_71>,28,1.0,0.0,15,0.5333333333333333,tape,tape:22; adhesive_epoxy:4; other:2,<a_251>:2; <a_160>:2; <a_101>:2; <a_142>:2; <a_236>:2
<a_240>,25,1.0,0.0,26,0.38461538461538464,other,other:14; fastener:5; gauge_meter:3; tape:2; 3d_filament:1,<a_67>:3; <a_81>:2; <a_160>:2; <a_236>:1; <a_126>:1
<a_98>,25,1.0,0.0,13,0.6923076923076923,other,other:18; 3d_filament:3; gauge_meter:2; connector_fitting:2,<a_160>:5; <a_142>:3; <a_165>:3; <a_186>:1; <a_100>:1
<a_131>,21,1.0,0.0,24,1.0,other,other:21,<a_160>:7; <a_163>:2; <a_88>:1; <a_112>:1; <a_108>:1
<a_65>,20,1.0,0.0,15,0.9333333333333333,other,other:20,<a_81>:5; <a_18>:3; <a_160>:2; <a_89>:1; <a_239>:1
<a_96>,20,1.0,0.0,8,0.875,other,other:20,<a_123>:2; <a_122>:2; <a_170>:1; <a_215>:1; <a_81>:1
<a_118>,18,1.0,0.0,25,0.96,other,other:17; ventilation_fan:1,<a_170>:4; <a_142>:2; <a_106>:2; <a_222>:1; <a_15>:1
<a_30>,17,1.0,0.0,17,0.7058823529411765,other,other:6; connector_fitting:6; fastener:4; gauge_meter:1,<a_123>:2; <a_160>:1; <a_171>:1; <a_170>:1; <a_239>:1
<a_41>,17,1.0,0.0,15,0.5333333333333333,fastener,tape:8; fastener:8; other:1,<a_142>:3; <a_107>:2; <a_81>:1; <a_101>:1; <a_191>:1
<a_109>,16,1.0,0.0,17,0.9411764705882353,other,other:16,<a_81>:2; <a_99>:2; <a_222>:2; <a_191>:1; <a_103>:1
<a_175>,16,1.0,0.0,9,0.5555555555555556,other,adhesive_epoxy:8; other:8,<a_122>:2; <a_105>:1; <a_67>:1; <a_143>:1; <a_115>:1
<a_111>,15,1.0,0.0,14,0.5714285714285714,fastener,fastener:8; other:7,<a_160>:3; <a_81>:2; <a_25>:2; <a_165>:2; <a_250>:1
<a_207>,15,1.0,0.0,20,0.4,other,other:7; gauge_meter:4; fastener:4,<a_122>:2; <a_251>:2; <a_24>:1; <a_31>:1; <a_103>:1
<a_119>,14,1.0,0.0,9,0.7777777777777778,other,other:14,<a_81>:4; <a_160>:2; <a_199>:1; <a_79>:1; <a_22>:1
<a_210>,14,1.0,0.0,14,1.0,other,other:14,<a_170>:4; <a_191>:1; <a_130>:1; <a_142>:1; <a_100>:1
<a_214>,14,1.0,0.0,17,0.9411764705882353,other,other:12; ventilation_fan:2,<a_160>:2; <a_31>:1; <a_255>:1; <a_93>:1; <a_119>:1
<a_228>,14,1.0,0.0,16,0.625,other,adhesive_epoxy:6; other:4; tape:1; ventilation_fan:1; metadata_placeholder:1,<a_81>:3; <a_160>:1; <a_31>:1; <a_236>:1; <a_153>:1
<a_229>,14,1.0,0.0,15,0.8,other,other:12; adhesive_epoxy:1; ventilation_fan:1,<a_126>:1; <a_143>:1; <a_215>:1; <a_236>:1; <a_214>:1
<a_121>,13,1.0,0.0,23,0.8260869565217391,other,other:12; connector_fitting:1,<a_85>:2; <a_123>:1; <a_31>:1; <a_191>:1; <a_160>:1
<a_171>,13,1.0,0.0,21,0.8571428571428571,other,other:8; gauge_meter:3; fastener:2,<a_92>:1; <a_31>:1; <a_160>:1; <a_183>:1; <a_239>:1
<a_244>,13,1.0,0.0,14,0.5714285714285714,3d_filament,3d_filament:13,<a_142>:4; <a_168>:3; <a_223>:2; <a_101>:1; <a_103>:1
<a_246>,13,1.0,0.0,20,1.0,other,other:13,<a_130>:1; <a_225>:1; <a_120>:1; <a_173>:1; <a_89>:1
<a_45>,13,1.0,0.0,19,0.9473684210526315,other,other:13,<a_160>:2; <a_125>:1; <a_108>:1; <a_222>:1; <a_105>:1
<a_95>,13,1.0,0.0,14,1.0,tape,tape:13,<a_160>:3; <a_202>:1; <a_165>:1; <a_122>:1; <a_173>:1
<a_146>,12,1.0,0.0,14,0.5714285714285714,other,3d_filament:5; other:5; ventilation_fan:2,<a_209>:2; <a_67>:2; <a_165>:2; <a_53>:1; <a_85>:1
<a_33>,12,1.0,0.0,11,1.0,other,other:12,<a_229>:2; <a_242>:1; <a_93>:1; <a_15>:1; <a_99>:1
<a_189>,11,1.0,0.0,13,0.6923076923076923,other,other:10; connector_fitting:1,<a_160>:1; <a_222>:1; <a_170>:1; <a_191>:1; <a_81>:1
<a_192>,11,1.0,0.0,19,0.5789473684210527,gauge_meter,other:6; gauge_meter:5,<a_149>:1; <a_14>:1; <a_191>:1; <a_143>:1; <a_161>:1
<a_198>,11,1.0,0.0,16,0.9375,other,other:11,<a_41>:2; <a_122>:2; <a_160>:1; <a_92>:1; <a_196>:1
<a_1>,11,1.0,0.0,14,1.0,other,other:11,<a_120>:1; <a_83>:1; <a_140>:1; <a_194>:1; <a_73>:1
<a_113>,10,1.0,0.0,11,0.5454545454545454,other,other:4; fastener:3; ventilation_fan:3,<a_170>:2; <a_240>:1; <a_51>:1; <a_120>:1; <a_52>:1
<a_137>,10,1.0,0.0,13,0.8461538461538461,other,other:7; adhesive_epoxy:3,<a_53>:1; <a_233>:1; <a_20>:1; <a_251>:1; <a_52>:1
<a_243>,10,1.0,0.0,10,1.0,other,other:10,<a_85>:1; <a_160>:1; <a_31>:1; <a_89>:1; <a_186>:1
<a_114>,9,1.0,0.0,10,0.5,other,ventilation_fan:4; adhesive_epoxy:3; other:2,<a_123>:2; <a_160>:2; <a_130>:1; <a_53>:1; <a_120>:1
<a_100>,8,1.0,0.0,14,0.8571428571428571,other,other:8,<a_237>:1; <a_226>:1; <a_170>:1; <a_81>:1; <a_140>:1
<a_135>,8,1.0,0.0,16,0.875,other,other:7; gauge_meter:1,<a_81>:2; <a_59>:1; <a_191>:1; <a_183>:1; <a_172>:1
<a_177>,8,1.0,0.0,19,0.9473684210526315,other,other:8,<a_168>:1; <a_194>:1; <a_160>:1; <a_255>:1; <a_222>:1
<a_201>,8,1.0,0.0,19,0.9473684210526315,other,other:8,<a_173>:2; <a_236>:2; <a_191>:1; <a_89>:1; <a_160>:1
<a_66>,8,1.0,0.0,17,0.8235294117647058,other,other:8,<a_63>:1; <a_236>:1; <a_160>:1; <a_73>:1; <a_172>:1
<a_69>,8,1.0,0.0,13,0.6153846153846154,other,other:5; connector_fitting:3,<a_99>:1; <a_170>:1; <a_15>:1; <a_222>:1; <a_74>:1
<a_179>,7,1.0,0.0,10,0.6,other,3d_filament:4; other:2; adhesive_epoxy:1,<a_165>:2; <a_142>:2; <a_63>:1; <a_122>:1; <a_239>:1
<a_205>,7,1.0,0.0,11,0.9090909090909091,other,other:7,<a_199>:1; <a_25>:1; <a_129>:1; <a_191>:1; <a_233>:1
<a_23>,7,1.0,0.0,13,0.5384615384615384,adhesive_epoxy,other:4; adhesive_epoxy:3,<a_222>:2; <a_233>:1; <a_195>:1; <a_122>:1; <a_53>:1
<a_253>,7,1.0,0.0,8,0.75,other,other:6; tape:1,<a_207>:1; <a_165>:1; <a_222>:1; <a_142>:1; <a_105>:1
<a_79>,7,1.0,0.0,9,0.5555555555555556,other,gauge_meter:4; other:3,<a_208>:1; <a_81>:1; <a_101>:1; <a_142>:1; <a_8>:1
<a_104>,6,1.0,0.0,18,0.5,other,other:2; connector_fitting:2; tape:2,<a_199>:1; <a_170>:1; <a_15>:1; <a_25>:1; <a_202>:1
<a_17>,6,1.0,0.0,15,0.5333333333333333,other,other:5; gauge_meter:1,<a_222>:2; <a_170>:2; <a_240>:1; <a_165>:1
<a_184>,6,1.0,0.0,16,0.875,other,other:6,<a_165>:2; <a_89>:1; <a_158>:1; <a_250>:1; <a_77>:1
<a_58>,6,1.0,0.0,13,0.9230769230769231,other,other:6,<a_81>:1; <a_126>:1; <a_196>:1; <a_163>:1; <a_245>:1
<a_63>,6,1.0,0.0,12,0.5,other,gauge_meter:4; other:2,<a_122>:1; <a_142>:1; <a_187>:1; <a_165>:1; <a_23>:1
<a_130>,5,1.0,0.0,10,0.8,other,other:4; adhesive_epoxy:1,<a_160>:1; <a_170>:1; <a_83>:1; <a_5>:1; <a_142>:1
<a_78>,5,1.0,0.0,11,1.0,other,other:5,<a_122>:1; <a_21>:1; <a_160>:1; <a_235>:1; <a_0>:1
<a_249>,35,0.9714285714285714,0.0,14,0.5,other,3d_filament:21; gauge_meter:7; other:4; ventilation_fan:2; connector_fitting:1,<a_165>:9; <a_142>:7; <a_123>:3; <a_168>:2; <a_170>:2
<a_57>,31,0.967741935483871,0.0,25,0.8,other,other:29; gauge_meter:1; fastener:1,<a_79>:4; <a_187>:3; <a_81>:3; <a_191>:2; <a_222>:2
<a_232>,25,0.96,0.04,32,0.9375,other,other:24; adhesive_epoxy:1,<a_160>:5; <a_165>:2; <a_122>:2; <a_0>:1; <a_103>:1
<a_22>,24,0.9583333333333334,0.0,17,0.5294117647058824,adhesive_epoxy,adhesive_epoxy:14; other:7; tape:2; fastener:1,<a_122>:3; <a_142>:2; <a_81>:2; <a_222>:2; <a_170>:2
<a_161>,23,0.9565217391304348,0.043478260869565216,19,0.7894736842105263,other,other:18; gauge_meter:5,<a_170>:4; <a_12>:2; <a_130>:2; <a_8>:1; <a_101>:1
<a_254>,22,0.9545454545454546,0.045454545454545456,30,1.0,other,other:22,<a_170>:3; <a_122>:2; <a_67>:1; <a_207>:1; <a_233>:1
<a_92>,21,0.9523809523809523,0.047619047619047616,20,0.95,other,other:20; fastener:1,<a_89>:2; <a_160>:2; <a_81>:2; <a_122>:1; <a_12>:1
<a_25>,20,0.95,0.0,23,0.9565217391304348,other,other:20,<a_170>:3; <a_142>:3; <a_123>:1; <a_160>:1; <a_101>:1
<a_132>,19,0.9473684210526316,0.0,15,0.6666666666666666,other,3d_filament:7; connector_fitting:6; other:6,<a_165>:4; <a_142>:3; <a_123>:2; <a_126>:1; <a_255>:1
<a_163>,17,0.9411764705882353,0.0,19,0.7894736842105263,other,connector_fitting:11; other:5; fastener:1,<a_172>:2; <a_160>:2; <a_101>:1; <a_170>:1; <a_81>:1
<a_20>,17,0.9411764705882353,0.0,17,0.5294117647058824,gauge_meter,gauge_meter:10; other:7,<a_160>:2; <a_222>:2; <a_196>:1; <a_187>:1; <a_208>:1
<a_211>,17,0.9411764705882353,0.0,39,0.8461538461538461,connector_fitting,connector_fitting:11; other:5; ventilation_fan:1,<a_222>:2; <a_172>:2; <a_143>:1; <a_236>:1; <a_225>:1
<a_221>,17,0.9411764705882353,0.058823529411764705,20,0.9,other,other:16; connector_fitting:1,<a_160>:3; <a_143>:2; <a_14>:2; <a_81>:1; <a_190>:1
