idx,item_id,family,title,brand,r720e_l1_rank,r720e_l12_rank,r720e_exact_rank,r720e_stage10,r720e_stage50,r720e_exact_rank_bucket,r720e_hit1,r720e_hit3,r720e_hit5,r720e_hit10,r720e_hit20,r720e_hit50,r720e_l1_in_top10,r720e_l12_in_top10,r720e_l1_in_top50,r720e_l12_in_top50,r720e_pred1_item_id,r720e_pred1_family,r720e_pred1_title,r720e_l1,r720e_l1_size,r720e_l1_purity,r720e_l1_top_family,r720b_l1_rank,r720b_l12_rank,r720b_exact_rank,r720b_stage10,r720b_stage50,r720b_exact_rank_bucket,r720b_hit1,r720b_hit3,r720b_hit5,r720b_hit10,r720b_hit20,r720b_hit50,r720b_l1_in_top10,r720b_l12_in_top10,r720b_l1_in_top50,r720b_l12_in_top50,r720b_pred1_item_id,r720b_pred1_family,r720b_pred1_title,r720b_l1,r720b_l1_size,r720b_l1_purity,r720b_l1_top_family,orig_align_l1_rank,orig_align_l12_rank,orig_align_exact_rank,orig_align_stage10,orig_align_stage50,orig_align_exact_rank_bucket,orig_align_hit1,orig_align_hit3,orig_align_hit5,orig_align_hit10,orig_align_hit20,orig_align_hit50,orig_align_l1_in_top10,orig_align_l12_in_top10,orig_align_l1_in_top50,orig_align_l12_in_top50,orig_align_pred1_item_id,orig_align_pred1_family,orig_align_pred1_title,orig_align_l1,orig_align_l1_size,orig_align_l1_purity,orig_align_l1_top_family,orig_strong_l1_rank,orig_strong_l12_rank,orig_strong_exact_rank,orig_strong_stage10,orig_strong_stage50,orig_strong_exact_rank_bucket,orig_strong_hit1,orig_strong_hit3,orig_strong_hit5,orig_strong_hit10,orig_strong_hit20,orig_strong_hit50,orig_strong_l1_in_top10,orig_strong_l12_in_top10,orig_strong_l1_in_top50,orig_strong_l12_in_top50,orig_strong_pred1_item_id,orig_strong_pred1_family,orig_strong_pred1_title,orig_strong_l1,orig_strong_l1_size,orig_strong_l1_purity,orig_strong_l1_top_family,v2_l1_rank,v2_l12_rank,v2_exact_rank,v2_stage10,v2_stage50,v2_exact_rank_bucket,v2_hit1,v2_hit3,v2_hit5,v2_hit10,v2_hit20,v2_hit50,v2_l1_in_top10,v2_l12_in_top10,v2_l1_in_top50,v2_l12_in_top50
0,3681,3d_filament,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),3D Solutech,10,9999,9999,L1_present_L2_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,0,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",<a_168>,67,0.8059701492537313,3d_filament,2,9999,9999,L1_present_L2_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,0,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",<a_58>,105,1.0,3d_filament,1,3,9999,L12_present_leaf_missing_top10,L12_present_leaf_missing_top50,missing_top50,0,0,0,0,0,0,1,1,1,1,2507,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver",<a_223>,247,0.9271255060728745,3d_filament,1,25,9999,L1_present_L2_missing_top10,L12_present_leaf_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,1,2544,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",<a_223>,247,0.9271255060728745,3d_filament,1,11,9999,L1_present_L2_missing_top10,L12_present_leaf_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,1
1,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",T-Rex,38,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0,1054,tape,3M Rubber Splicing Tape,<a_190>,17,0.8235294117647058,tape,26,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0,280,ventilation_fan,WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ,<a_89>,26,1.0,tape,1,23,23,L1_present_L2_missing_top10,exact_in_top50,rank21_50,0,0,0,0,0,1,1,0,1,1,1054,tape,3M Rubber Splicing Tape,<a_202>,117,0.9829059829059829,tape,1,9999,9999,L1_present_L2_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,0,168,tape,"Scotch Super 33+ Vinyl Electrical Tape, 3/4 in x 66 ft",<a_202>,117,0.9829059829059829,tape,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0
2,719,adhesive_epoxy,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",Gorilla,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_76>,16,0.6875,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_230>,12,0.6666666666666666,adhesive_epoxy,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_99>,32,0.5625,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,130,tape,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",<a_99>,32,0.5625,other,28,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0
3,1526,ventilation_fan,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,Genova,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,77,tape,"Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6)",<a_211>,39,0.8461538461538461,connector_fitting,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_166>,15,0.7333333333333333,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,130,tape,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",<a_108>,143,0.6083916083916084,connector_fitting,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,172,adhesive_epoxy,"Gorilla Super Glue Gel, 15 Gram, Clear",<a_108>,143,0.6083916083916084,connector_fitting,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0
4,658,other,Stanley R120 Rivet Pack Assortment,Stanley,46,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0,571,fastener,"The Hillman Group 591516 Small Anchors with Screws Assortment, 95-Pack",<a_207>,20,0.4,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,1886,fastener,"Arrow Fastener 256 Genuine T25 3/8-Inch Staples, 1,000-Pack",<a_162>,7,0.5714285714285714,other,1,15,15,L1_present_L2_missing_top10,exact_in_top50,rank11_20,0,0,0,0,1,1,1,0,1,1,923,fastener,"#1 Best Quality Wood Screw Assortment Kit, 240 Pieces",<a_224>,191,0.612565445026178,fastener,1,9999,9999,L1_present_L2_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,0,37,other,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",<a_224>,191,0.612565445026178,fastener,15,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0
5,103,other,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",Osborn International,31,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0,1636,gauge_meter,"40 Pound Neodymium Magnetic Hooks, 1.25"" Diameter, 1.75"" Tall (Pack of 5)",<a_185>,16,0.625,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,2240,gauge_meter,"CMS Magneitcs Ceramic Magnet Hook 1 1/4"" in Diameter with 18 LB Holding Power 6-Count",<a_203>,4,1.0,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,2593,gauge_meter,"Master Magnetics Round Base Magnet Fastener with Knob,Chrome,1.43"" Diameter, 0.98"" Total Height with 1"" Diameter Knob/16 Pounds,(Box of 4), HMKR-45X4",<a_180>,81,0.8518518518518519,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,1345,other,POWERTEC 17000 Workbench Caster Kit (Pack of 4),<a_180>,81,0.8518518518518519,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0
6,266,gauge_meter,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",iGaging,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,1042,other,uxcell Mandrel Mounted White Conical Felt Point Polishing Tool,<a_8>,12,0.4166666666666667,other,3,22,22,L1_present_L2_missing_top10,exact_in_top50,rank21_50,0,0,0,0,0,1,1,0,1,1,1985,fastener,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",<a_241>,15,1.0,gauge_meter,21,47,47,L1_missing_top10,exact_in_top50,rank21_50,0,0,0,0,0,1,0,0,1,1,359,fastener,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,<a_104>,60,0.6333333333333333,gauge_meter,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,3,fastener,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack",<a_104>,60,0.6333333333333333,gauge_meter,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0
7,675,adhesive_epoxy,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,J-B Weld,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,2450,fastener,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",<a_89>,16,1.0,adhesive_epoxy,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,2450,fastener,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",<a_211>,20,0.95,adhesive_epoxy,35,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0,1065,other,JawayTool Rubber Grommets Kit & Plug Wire Ring Assortment Set Electrical Gasket Tools - 180 - Pieces,<a_165>,72,0.8194444444444444,adhesive_epoxy,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,2451,other,"Round Spacer, Nylon, Off-White, 0.194"" ID, 3/4"" Length, Made in US (Pack of 100)",<a_165>,72,0.8194444444444444,adhesive_epoxy,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0
8,511,other,"Nicholson 06706N Axe File, 8-Inch",Nicholson,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,181,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_185>,16,0.625,other,18,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0,537,metadata_placeholder,"Industrial & Scientific"" />",<a_26>,12,0.75,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,151,tape,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",<a_193>,133,0.8872180451127819,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,853,other,"Rubbermaid Professional Plus Heavy-Duty Spray Bottle,32 fl OZ (946ml), (FG6C13PR06)",<a_193>,133,0.8872180451127819,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0
9,1391,other,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",Seek Thermal,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,1056,3d_filament,American Labs BS-144P-200S-22-A 144 Blank Microscope Slides and 200 Cover Glass Pre Cleaned - 2 Packs Ground Edges,<a_96>,8,0.875,other,9999,9999,9999,L1_missing_top10,L1_missing_top50,missing_top50,0,0,0,0,0,0,0,0,0,0,2785,other,"Pac-Kit by First Aid Only 13-125 First Aid/Burn Cream, 0.9 gm Packet (Box of 25)",<a_152>,12,0.75,other,9,9999,9999,L1_present_L2_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,0,1657,other,AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with Storage Case,<a_107>,66,0.5757575757575758,gauge_meter,7,9999,9999,L1_present_L2_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,1,0,1,0,148,other,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",<a_107>,66,0.5757575757575758,gauge_meter,12,9999,9999,L1_missing_top10,L1_present_L2_missing_top50,missing_top50,0,0,0,0,0,0,0,0,1,0
