variant,l1,size,top_family,purity,n_families,top_families
original,236,84,other,0.7857,5,other:66; connector_fitting:11; ventilation_fan:3; gauge_meter:3; fastener:1
original,42,100,other,0.48,3,other:48; gauge_meter:42; fastener:10
original,224,191,fastener,0.6126,5,fastener:117; other:59; gauge_meter:8; tape:4; 3d_filament:3
original,24,119,other,0.9496,4,other:113; connector_fitting:4; ventilation_fan:1; fastener:1
original,165,72,adhesive_epoxy,0.8194,4,adhesive_epoxy:59; other:8; fastener:4; tape:1
original,193,133,other,0.8872,5,other:118; gauge_meter:11; adhesive_epoxy:2; tape:1; fastener:1
original,210,95,other,0.8421,5,other:80; ventilation_fan:9; gauge_meter:4; tape:1; connector_fitting:1
original,108,143,connector_fitting,0.6084,5,connector_fitting:87; other:48; gauge_meter:5; ventilation_fan:2; fastener:1
original,202,117,tape,0.9829,2,tape:115; 3d_filament:2
original,104,60,gauge_meter,0.6333,5,gauge_meter:38; other:19; 3d_filament:1; fastener:1; tape:1
original,211,45,other,0.6889,4,other:31; gauge_meter:6; connector_fitting:5; 3d_filament:3
original,180,81,other,0.8519,5,other:69; gauge_meter:9; ventilation_fan:1; fastener:1; tape:1
original,197,60,other,0.7,7,other:42; 3d_filament:7; gauge_meter:4; adhesive_epoxy:2; fastener:2
original,150,116,other,0.9483,2,other:110; fastener:6
original,23,50,other,0.54,6,other:27; connector_fitting:9; gauge_meter:5; 3d_filament:5; fastener:3
original,99,32,other,0.5625,2,other:18; adhesive_epoxy:14
original,159,52,other,0.6346,7,other:33; fastener:7; 3d_filament:4; connector_fitting:3; gauge_meter:3
original,206,60,other,0.5667,9,other:34; tape:12; gauge_meter:7; adhesive_epoxy:2; connector_fitting:1
original,173,64,other,0.9219,3,other:59; ventilation_fan:4; fastener:1
original,71,118,other,0.8305,5,other:98; connector_fitting:11; gauge_meter:3; fastener:3; ventilation_fan:3
original,87,71,other,0.9296,4,other:66; gauge_meter:2; ventilation_fan:2; fastener:1
original,244,72,other,0.7083,4,other:51; adhesive_epoxy:13; tape:6; ventilation_fan:2
original,158,109,3d_filament,0.5596,7,3d_filament:61; other:31; gauge_meter:6; connector_fitting:5; ventilation_fan:4
original,91,72,3d_filament,0.7083,3,3d_filament:51; other:20; tape:1
original,223,247,3d_filament,0.9271,3,3d_filament:229; other:17; tape:1
original,15,31,metadata_placeholder,0.7742,3,metadata_placeholder:24; other:4; gauge_meter:3
original,67,119,connector_fitting,0.7899,5,connector_fitting:94; gauge_meter:18; other:5; fastener:1; 3d_filament:1
original,36,54,other,0.5926,3,other:32; gauge_meter:21; ventilation_fan:1
original,17,99,other,0.596,7,other:59; gauge_meter:25; fastener:5; connector_fitting:4; tape:2
original,44,65,other,0.9538,3,other:62; gauge_meter:2; ventilation_fan:1
original,228,96,other,0.5729,6,other:55; gauge_meter:17; connector_fitting:11; adhesive_epoxy:9; tape:2
original,73,114,other,0.7105,7,other:81; connector_fitting:20; gauge_meter:5; tape:4; adhesive_epoxy:2
original,94,111,other,0.8468,5,other:94; gauge_meter:8; test_strip:5; 3d_filament:2; fastener:2
original,251,92,other,0.663,4,other:61; gauge_meter:29; connector_fitting:1; 3d_filament:1
original,14,39,other,0.8974,3,other:35; fastener:3; 3d_filament:1
original,79,60,other,0.5167,6,other:31; tape:15; adhesive_epoxy:5; 3d_filament:5; connector_fitting:2
original,233,20,tape,0.5,4,tape:10; adhesive_epoxy:6; metadata_placeholder:2; 3d_filament:2
original,229,36,other,0.7222,3,other:26; gauge_meter:9; 3d_filament:1
original,107,66,gauge_meter,0.5758,5,gauge_meter:38; other:23; test_strip:2; 3d_filament:2; ventilation_fan:1
original,52,28,other,0.8571,4,other:24; connector_fitting:2; ventilation_fan:1; fastener:1
original,122,35,tape,0.4286,3,tape:15; other:14; adhesive_epoxy:6
original,68,67,other,0.5075,6,other:34; tape:18; fastener:8; ventilation_fan:3; adhesive_epoxy:3
original,66,40,other,0.975,2,other:39; fastener:1
original,153,17,other,0.6471,2,other:11; gauge_meter:6
original,109,40,other,0.725,3,other:29; ventilation_fan:8; fastener:3
original,170,25,other,0.68,4,other:17; tape:4; ventilation_fan:3; adhesive_epoxy:1
original,30,68,other,0.9412,4,other:64; 3d_filament:2; tape:1; connector_fitting:1
original,117,1,adhesive_epoxy,1.0,1,adhesive_epoxy:1
R720b,22,10,other,1.0,1,other:10
R720b,81,16,fastener,0.625,3,fastener:10; gauge_meter:4; other:2
R720b,130,25,fastener,0.96,2,fastener:24; other:1
R720b,17,30,other,0.9333,3,other:28; adhesive_epoxy:1; ventilation_fan:1
R720b,48,25,adhesive_epoxy,1.0,1,adhesive_epoxy:25
R720b,199,9,other,0.5556,3,other:5; adhesive_epoxy:2; gauge_meter:2
R720b,145,8,other,1.0,1,other:8
R720b,13,22,connector_fitting,1.0,1,connector_fitting:22
R720b,14,23,tape,0.913,2,tape:21; other:2
R720b,133,8,other,0.875,2,other:7; gauge_meter:1
R720b,148,19,other,0.9474,2,other:18; fastener:1
R720b,36,14,other,0.9286,2,other:13; connector_fitting:1
R720b,129,11,other,0.6364,3,other:7; gauge_meter:3; tape:1
R720b,136,36,gauge_meter,0.9167,2,gauge_meter:33; other:3
R720b,19,11,other,0.5455,2,other:6; connector_fitting:5
R720b,231,18,fastener,1.0,1,fastener:18
R720b,125,8,other,0.875,2,other:7; adhesive_epoxy:1
R720b,76,19,tape,1.0,1,tape:19
R720b,177,20,other,0.9,2,other:18; fastener:2
R720b,108,8,gauge_meter,0.625,2,gauge_meter:5; other:3
R720b,194,16,other,1.0,1,other:16
R720b,209,13,other,0.5385,3,other:7; connector_fitting:5; gauge_meter:1
R720b,103,13,other,0.9231,2,other:12; fastener:1
R720b,207,16,other,0.6875,5,other:11; fastener:2; tape:1; gauge_meter:1; ventilation_fan:1
R720b,28,7,other,1.0,1,other:7
R720b,42,11,other,0.9091,2,other:10; gauge_meter:1
R720b,252,12,other,0.6667,4,other:8; gauge_meter:2; ventilation_fan:1; metadata_placeholder:1
R720b,172,14,other,0.6429,4,other:9; connector_fitting:3; fastener:1; gauge_meter:1
R720b,153,17,other,0.5882,3,other:10; fastener:6; gauge_meter:1
R720b,163,15,other,1.0,1,other:15
R720b,47,6,other,1.0,1,other:6
R720b,34,27,other,0.8519,2,other:23; ventilation_fan:4
R720b,109,16,connector_fitting,0.9375,2,connector_fitting:15; other:1
R720b,54,20,other,1.0,1,other:20
R720b,75,14,other,0.8571,2,other:12; adhesive_epoxy:2
R720b,41,14,other,0.7857,3,other:11; adhesive_epoxy:2; ventilation_fan:1
R720b,225,13,other,1.0,1,other:13
R720b,26,12,other,0.75,2,other:9; gauge_meter:3
R720b,65,22,other,0.4545,4,other:10; connector_fitting:9; tape:2; gauge_meter:1
R720b,140,16,3d_filament,0.75,2,3d_filament:12; other:4
R720b,58,105,3d_filament,1.0,1,3d_filament:105
R720b,234,20,3d_filament,0.75,3,3d_filament:15; other:4; tape:1
R720b,191,15,metadata_placeholder,1.0,1,metadata_placeholder:15
R720b,73,17,other,0.9412,2,other:16; ventilation_fan:1
R720b,247,26,connector_fitting,0.8462,3,connector_fitting:22; gauge_meter:3; 3d_filament:1
R720b,213,11,other,1.0,1,other:11
