item_id,item_title,brand,test_count,train_item_events,main_hit10,l3_hit10,main_mean_rank,l3_mean_rank,main_mean_ndcg10,l3_mean_ndcg10,main_same_l12_hist_mean,l3_same_l12_hist_mean,main_l12_bucket_size,l3_l12_bucket_size,main_sid,l3_sid,hit10_delta_l3_minus_main,ndcg10_delta_l3_minus_main
357,"PORTER-CABLE PNS18050 1/2-Inch, 18 Gauge Narrow Crown (1/4-Inch) Staple (5000-Pack),PORTER-CABLE,PNS18050"" />",PORTER-CABLE,1,34,1,0,1.0,23.0,1.0,0.0,1.0,0.0,4,1,<a_191><b_93><c_95>,<a_255><b_96><c_13>,-1,-1.0
421,"Anytime Tools 7/32"" Diamond Chainsaw Sharpener Burr 1/8"" Shank, 4 Pack",Anytime Tools,1,47,1,0,1.0,21.0,1.0,0.0,1.0,1.0,2,2,<a_122><b_207><c_142>,<a_71><b_136><c_244>,-1,-1.0
814,"DEWALT DW4902 1-Inch by 1/4-Inch High Performance Carbon Knot Wire End Brush, 0.020-Inch Wire",DEWALT,1,70,1,0,1.0,33.0,1.0,0.0,0.0,0.0,1,1,<a_122><b_58><c_252>,<a_71><b_88><c_6>,-1,-1.0
1886,"Arrow Fastener 256 Genuine T25 3/8-Inch Staples, 1,000-Pack",ARROW FASTENER,1,66,1,0,1.0,11.0,1.0,0.0,1.0,0.0,3,1,<a_191><b_29><c_4>,<a_255><b_140><c_123>,-1,-1.0
2302,"HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 5/16"" x 25' Length, 0.3125"" ID, Black",HBD Thermoid,1,46,1,0,1.0,999.0,1.0,0.0,0.0,0.0,1,1,<a_225><b_126><c_244>,<a_56><b_208><c_65>,-1,-1.0
3649,"[3D CAM] 5 PCS DRV8825 StepStick Stepper Motor Drivers for 3D Printer Electronics, CNC Machine or Robotics",3D CAM,1,22,1,0,1.0,999.0,1.0,0.0,0.0,0.0,5,1,<a_186><b_227><c_180>,<a_15><b_74><c_32>,-1,-1.0
226,"Anderson Metals Brass Hose Fitting, Connector, 3/4"" Barb x 3/4"" Male Pipe",Anderson Metals,4,145,4,1,1.25,507.75,0.9077324383928644,0.0752574989159953,1.0,1.0,2,4,<a_78><b_243><c_2>,<a_31><b_98><c_13>,-3,-0.8324749394768691
2321,"HM Digital C342 TDS and EC Calibration Solution, 342 ppm (NaCl), 90 ml Volume",HM Digital,1,81,1,1,1.0,4.0,1.0,0.43067655807339306,0.0,0.0,1,1,<a_62><b_53><c_236>,<a_59><b_99><c_128>,0,-0.5693234419266069
2569,Powerbuilt 640405 Heavy Duty 2-Ton Bottle Jack,Alltrade,1,40,1,1,1.0,4.0,1.0,0.43067655807339306,1.0,0.0,4,2,<a_41><b_159><c_209>,<a_85><b_70><c_144>,0,-0.5693234419266069
273,"Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 2 ounce Bottle, Brown, (Pack of 4)",Gorilla,3,57,3,0,3.0,671.3333333333334,0.5495707714591522,0.0,1.0,1.0,4,3,<a_150><b_187><c_210>,<a_19><b_108><c_9>,-3,-0.5495707714591522
2104,"Anderson Metals Brass Garden Hose Fitting, Connector, 3/4"" Barb x 3/4"" Male Hose",Anderson Metals,2,40,1,0,500.0,999.0,0.5,0.0,0.0,0.0,2,4,<a_78><b_32><c_158>,<a_31><b_98><c_200>,-1,-0.5
265,"ZJchao 10 pieces Tungsten Carbide Rotary Burr SET 1/8"" shank [Misc.]",ZJchao,1,114,1,0,3.0,999.0,0.5,0.0,0.0,0.0,4,3,<a_122><b_145><c_229>,<a_71><b_144><c_148>,-1,-0.5
417,American Terminal E-FFB250N-100 16/14-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects,American Terminal,1,1228,1,1,1.0,3.0,1.0,0.5,0.0,0.0,8,7,<a_202><b_97><c_123>,<a_191><b_218><c_173>,0,-0.5
646,"Red Devil 0405 DuraGuard Kitchen and Bath Siliconized Acrylic Caulk, 5.5 Oz, Squeeze Tube, Paste, White",Red Devil,1,33,1,1,1.0,3.0,1.0,0.5,1.0,0.0,2,1,<a_210><b_124><c_238>,<a_57><b_122><c_30>,0,-0.5
2446,100x 1N4007 Diode 1A 1000V Rectifier Diodes Arduino Motor Snubber Flyback,Atoms Industries,1,124,1,0,3.0,999.0,0.5,0.0,0.0,0.0,2,2,<a_145><b_175><c_74>,<a_67><b_101><c_66>,-1,-0.5
526,"Rubbermaid Commercial Products FG263100GRAY Rubbermaid Commercial Round Brute Container Lid, Gray, 32G",Rubbermaid Commercial Products,1,206,1,0,4.0,999.0,0.43067655807339306,0.0,0.0,0.0,1,1,<a_241><b_127><c_58>,<a_20><b_211><c_60>,-1,-0.43067655807339306
809,"Loos Cableware AN100-C4 Stainless Steel Thimble for 3/32"" and 1/8"" Diameter Wire Rope (10 Piece)",Loos & Co.,3,163,2,0,334.3333333333333,678.3333333333334,0.420619835714305,0.0,0.0,0.0,1,1,<a_173><b_18><c_163>,<a_16><b_34><c_233>,-2,-0.420619835714305
1184,"Keeper Foot x 2 Inch 02612 6' x 2"" Lift Sling",Keeper,4,52,3,1,252.75,751.5,0.4829899373088597,0.0752574989159953,0.75,0.5,4,3,<a_10><b_34><c_31>,<a_13><b_163><c_29>,-2,-0.4077324383928644
1155,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length",Small Parts,4,378,4,4,1.0,2.25,1.0,0.5981973151785931,2.0,2.0,9,9,<a_225><b_205><c_67>,<a_253><b_135><c_44>,0,-0.4018026848214069
1158,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/2"" Diameter, 24"" Length",Small Parts,4,161,4,4,1.0,2.25,1.0,0.5981973151785931,5.0,5.0,9,9,<a_225><b_205><c_74>,<a_253><b_135><c_31>,0,-0.4018026848214069
796,Hillman Toggle Bolt 90 Lb. 5 / Card,The Hillman Group,1,18,1,0,5.0,999.0,0.38685280723454163,0.0,1.0,1.0,2,2,<a_182><b_101><c_191>,<a_224><b_234><c_52>,-1,-0.38685280723454163
1002,"Rubbermaid Commercial Products FG267360BLUE Slim Jim Trash Can, Swing Lid, Blue",Rubbermaid Commercial Products,1,63,1,0,5.0,28.0,0.38685280723454163,0.0,0.0,0.0,1,1,<a_241><b_201><c_212>,<a_20><b_185><c_165>,-1,-0.38685280723454163
2410,"Heathrow Scientific HD15909 Spatula with Flat End and Spoon End, 9"" Overall Length",Heathrow Scientific,1,160,1,0,5.0,999.0,0.38685280723454163,0.0,0.0,0.0,3,1,<a_50><b_236><c_254>,<a_86><b_55><c_144>,-1,-0.38685280723454163
2822,RiteBrew 812325 Briess - Dry Malt Extract - Golden Light - 3 lbs.,RiteBrew,2,10,2,0,5.5,999.0,0.3820049457033632,0.0,0.0,0.0,1,1,<a_142><b_165><c_76>,<a_12><b_52><c_106>,-2,-0.3820049457033632
1322,"Pro Gaff Gaffers Tape 1 and 2 inch widths, 17 colors available, 2 inch, Black",Tape Brothers,1,36,1,1,1.0,2.0,1.0,0.6309297535714575,1.0,1.0,4,3,<a_192><b_28><c_9>,<a_42><b_108><c_46>,0,-0.36907024642854247
37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",Hillman,1,197,1,0,6.0,16.0,0.3562071871080222,0.0,0.0,0.0,2,2,<a_182><b_70><c_203>,<a_224><b_30><c_96>,-1,-0.3562071871080222
1657,AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with Storage Case,AmScope,2,208,1,1,500.0,504.0,0.5,0.1505149978319906,0.0,0.0,2,3,<a_165><b_229><c_0>,<a_196><b_192><c_24>,0,-0.3494850021680094
1881,Phantom YoYo 170 Points Mini Breadboard for Arduino Proto Shield (6 PCS),Phantom YoYo,1,98,1,1,2.0,10.0,0.6309297535714575,0.2890648263178879,0.0,0.0,3,1,<a_239><b_113><c_60>,<a_175><b_69><c_175>,0,-0.34186492725356965
457,CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle,CRC,1,272,1,0,7.0,999.0,0.3333333333333333,0.0,0.0,0.0,2,2,<a_6><b_47><c_154>,<a_173><b_37><c_215>,-1,-0.3333333333333333
2627,Uxcell a11090300ux0244 30 Pcs 16 Pin 2.54mm DIP IC Socket Solder Type Adaptors.,uxcell,1,118,1,0,7.0,999.0,0.3333333333333333,0.0,0.0,0.0,2,1,<a_0><b_81><c_19>,<a_130><b_2><c_41>,-1,-0.3333333333333333
2929,"Install Bay 3MHST34 3M Heat Shrink Tubing 3/4"" Diameter 4G 4-Ft",Install Bay,1,44,1,1,2.0,9.0,0.6309297535714575,0.3010299956639812,1.0,1.0,7,3,<a_202><b_76><c_141>,<a_115><b_11><c_0>,0,-0.32989975790747633
2311,"TEMCo 3/4"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft RED",Temco,3,1,2,0,336.0,351.3333333333333,0.3214210289682636,0.0,0.6666666666666666,0.6666666666666666,7,7,<a_210><b_0><c_17>,<a_115><b_53><c_144>,-2,-0.3214210289682636
1134,FiberFix 10x Tape- 10x Stonger Than Duct Tape- Weight Bearing Untearable Water Resistant Repair Tape,FiberFix,2,20,1,0,22.0,522.0,0.31546487678572877,0.0,0.5,0.5,2,2,<a_210><b_10><c_198>,<a_42><b_31><c_8>,-1,-0.31546487678572877
2251,"3M  Pro Strength Duct Tape, 1230-C, 1.88 Inches by 30 Yards",Scotch,2,19,1,0,500.5,999.0,0.31546487678572877,0.0,0.5,0.5,2,5,<a_192><b_39><c_2>,<a_42><b_110><c_45>,-1,-0.31546487678572877
2404,Pac-Kit by First Aid Only 90358 Pour Woundseal Blood Clotting Powder Pack (Box of 2),First Aid Only,1,20,1,0,8.0,24.0,0.31546487678572877,0.0,0.0,0.0,1,1,<a_74><b_167><c_242>,<a_91><b_141><c_200>,-1,-0.31546487678572877
2670,FLIR ONE Thermal Imager for iOS,FLIR,1,29,1,0,8.0,35.0,0.31546487678572877,0.0,0.0,0.0,5,2,<a_31><b_37><c_7>,<a_235><b_184><c_10>,-1,-0.31546487678572877
3210,Ancor Heat Shrink Ring Terminals,Ancor,3,20,2,2,7.666666666666667,5.666666666666667,0.6666666666666666,0.37697658452381916,1.0,1.0,2,2,<a_202><b_176><c_0>,<a_115><b_225><c_0>,0,-0.28969008214284747
194,Oral-B Deep Sweep Toothbrush,Oral B,1,90,1,0,10.0,999.0,0.2890648263178879,0.0,0.0,0.0,1,2,<a_242><b_132><c_126>,<a_140><b_100><c_188>,-1,-0.2890648263178879
355,"PORTER-CABLE PBN18100-1 1-Inch 18 Gauge Brad Nails, 1000-Pack",PORTER-CABLE,1,15,1,0,10.0,999.0,0.2890648263178879,0.0,1.0,1.0,4,4,<a_191><b_207><c_171>,<a_255><b_82><c_6>,-1,-0.2890648263178879
359,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,Kreg,1,288,1,0,10.0,999.0,0.2890648263178879,0.0,0.0,0.0,6,10,<a_191><b_218><c_245>,<a_224><b_58><c_204>,-1,-0.2890648263178879
2042,"Eaton Weatherhead 3750X4 Brass CA360 Fitting, Street Tee, 1/4""NPT Female x NPT Male x NPT Female",Weatherhead,1,15,1,0,10.0,999.0,0.2890648263178879,0.0,0.0,0.0,2,1,<a_51><b_230><c_49>,<a_15><b_210><c_232>,-1,-0.2890648263178879
2579,Uxcell CP2102 USB 2.0 to UART TTL 6PIN Module Serial Converter Adapter,uxcell,1,25,1,0,10.0,999.0,0.2890648263178879,0.0,0.0,0.0,1,2,<a_45><b_27><c_5>,<a_175><b_237><c_46>,-1,-0.2890648263178879
2897,Ginsco 110pcs Female Red 22-18 Gauge Nylon Fully-Insulated Quick Disconnects Wiring Spade Wire Connector Crimp Terminal,Ginsco,1,11,1,0,10.0,50.0,0.2890648263178879,0.0,1.0,0.0,8,7,<a_202><b_60><c_179>,<a_191><b_135><c_38>,-1,-0.2890648263178879
1107,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",HATCHBOX,9,272,6,3,226.55555555555554,230.66666666666666,0.36718514510971273,0.10260312836835582,0.8888888888888888,1.1111111111111112,24,27,<a_222><b_157><c_5>,<a_184><b_67><c_160>,-3,-0.2645820167413569
699,"POWERTEC 15501 1/2"" Arbor 60-Grit Silicon Carbide Grinding Wheel, 6"" by 3/4",POWERTEC,4,23,1,0,749.5,754.25,0.25,0.0,0.25,0.25,1,1,<a_122><b_225><c_143>,<a_71><b_24><c_250>,-1,-0.25
635,Texas Instruments NE555N NE555 NE555P General Purpose Single Bipolar Timer DIP8 50 Pack,elegantstunning,2,219,1,0,501.0,511.5,0.25,0.0,0.5,0.5,4,4,<a_45><b_63><c_44>,<a_67><b_251><c_2>,-1,-0.25
2530,"Think Safe 1095TS 7"" Trauma Shear",First Voice,2,57,1,0,7.0,18.0,0.25,0.0,0.0,0.0,1,1,<a_67><b_168><c_240>,<a_86><b_9><c_57>,-1,-0.25
3576,5PCS Nema17 Stepper Motor 2A 64oz.in 40mm Body 4-lead 1m Cable W/Connector DIY CNC,STEPPERONLINE,2,55,1,0,501.0,999.0,0.25,0.0,0.0,0.0,2,2,<a_212><b_204><c_106>,<a_152><b_11><c_151>,-1,-0.25
3112,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",3D Solutech,32,94,17,4,320.84375,538.96875,0.280320528892238,0.036133103289735985,0.84375,0.0,23,2,<a_222><b_68><c_71>,<a_184><b_142><c_60>,-13,-0.24418742560250203
2718,Inland 1.75mm Pink PLA 3D Printer Filament - 1kg Spool (2.2 lbs),Inland,6,25,4,0,337.3333333333333,347.0,0.23197636741027097,0.0,1.5,1.5,21,18,<a_186><b_178><c_138>,<a_251><b_78><c_38>,-4,-0.23197636741027097
2932,Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs),Inland,10,66,4,1,502.1,505.6,0.25628895028068965,0.03010299956639812,1.0,1.0,21,18,<a_186><b_178><c_182>,<a_251><b_78><c_21>,-3,-0.22618595071429154
1552,"3D Solutech Teal Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,11,41,7,0,277.45454545454544,556.0,0.2248415390331461,0.0,2.272727272727273,2.272727272727273,23,24,<a_222><b_68><c_102>,<a_184><b_137><c_245>,-7,-0.2248415390331461
2158,"eSUN 3D 1.75mm PETG Green Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Green",eSUN,6,87,3,1,500.8333333333333,505.1666666666667,0.28208934420271803,0.059367864518003695,0.8333333333333334,0.8333333333333334,7,7,<a_85><b_161><c_32>,<a_184><b_236><c_36>,-2,-0.22272147968471434
