row_id,user_id,item_id,item_title,brand,history_len,train_item_events,main_l3_020_sid,main_l3_020_rank,main_l3_020_hit10,main_l3_020_ndcg10,main_l3_020_l1_rank,main_l3_020_l12_rank,main_l3_020_l1_hit1,main_l3_020_l12_hit10,main_l3_020_top1,main_l3_020_top1_title,main_l3_020_top1_in_history,main_l3_020_same_l1_hist_count,main_l3_020_same_l12_hist_count,main_l3_020_l1_bucket_size,main_l3_020_l12_bucket_size,main_l3_020_l1_train_events,main_l3_020_l12_train_events,main_l3_020_sid_train_events,l3_010_sid,l3_010_rank,l3_010_hit10,l3_010_ndcg10,l3_010_l1_rank,l3_010_l12_rank,l3_010_l1_hit1,l3_010_l12_hit10,l3_010_top1,l3_010_top1_title,l3_010_top1_in_history,l3_010_same_l1_hist_count,l3_010_same_l12_hist_count,l3_010_l1_bucket_size,l3_010_l12_bucket_size,l3_010_l1_train_events,l3_010_l12_train_events,l3_010_sid_train_events,ndcg10_delta_l3_minus_main,hit10_transition
0,A6948,3681,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),3D Solutech,10,0,<a_222><b_68><c_2>,999,0,0.0,2,2,0,1,<a_85><b_219><c_31>,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +",1,9,6,159,23,10557,895,0,<a_184><b_137><c_2>,999,0,0.0,1,6,1,1,<a_184><b_67><c_38>,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, R",0,10,6,210,24,12329,846,0,0.0,0->0
1,A474,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",T-Rex,1,62,<a_192><b_122><c_104>,999,0,0.0,1,999,1,0,<a_192><b_0><c_45>,"Scotch Super 33+ Vinyl Electrical Tape, 3/4 in x 66 ft",1,1,0,100,1,5003,62,62,<a_226><b_185><c_218>,999,0,0.0,18,999,0,0,<a_42><b_229><c_223>,3M Rubber Splicing Tape,0,0,0,65,1,4014,62,62,0.0,0->0
2,A474,719,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",Gorilla,2,1,<a_64><b_148><c_154>,999,0,0.0,16,999,0,0,<a_192><b_122><c_104>,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunm",1,0,0,24,1,865,1,1,<a_57><b_131><c_133>,999,0,0.0,21,999,0,0,<a_42><b_229><c_223>,3M Rubber Splicing Tape,0,0,0,87,1,3446,1,1,0.0,0->0
3,A474,1526,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,Genova,3,21,<a_78><b_115><c_123>,999,0,0.0,999,999,0,0,<a_64><b_28><c_245>,"Gorilla 7500101 07221000673 Glue Brush & Nozzle, 1-Pack, Clear",0,0,0,131,2,4550,35,21,<a_31><b_228><c_136>,999,0,0.0,999,999,0,0,<a_42><b_229><c_223>,3M Rubber Splicing Tape,0,0,0,78,2,2919,35,21,0.0,0->0
4,A617,658,Stanley R120 Rivet Pack Assortment,Stanley,10,58,<a_191><b_126><c_180>,999,0,0.0,1,999,1,0,<a_191><b_29><c_4>,"Arrow Fastener 256 Genuine T25 3/8-Inch Staples, 1,000-Pack",1,2,0,99,2,4766,186,58,<a_255><b_14><c_56>,999,0,0.0,5,999,0,0,<a_224><b_58><c_204>,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,0,2,0,75,1,2729,58,58,0.0,0->0
5,A1062,103,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",Osborn International,10,52,<a_247><b_140><c_198>,999,0,0.0,999,999,0,0,<a_175><b_139><c_222>,"CMS Magneitcs Ceramic Magnet Hook 1 1/4"" in Diameter with 18 LB Holding Power 6-Count",1,0,0,54,1,1863,52,52,<a_77><b_145><c_212>,999,0,0.0,999,999,0,0,<a_85><b_86><c_226>,Steelex D2608 3-Inch 150-Pound Swivel Double Lock Polyurethane Plate Caster,1,0,0,62,2,2192,142,52,0.0,0->0
6,A1119,266,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",iGaging,7,203,<a_31><b_98><c_44>,999,0,0.0,3,999,0,0,<a_191><b_239><c_250>,"Kreg SML-C2 2-Inch Washer Head #8 Coarse Pocket Screws, 50 Count",0,0,0,61,1,7390,203,203,<a_254><b_75><c_225>,999,0,0.0,999,999,0,0,<a_224><b_58><c_204>,Kreg SK03 Pocket-Hole Screw Kit in 5 Sizes,0,0,0,49,1,2090,203,203,0.0,0->0
7,A1698,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,J-B Weld,9,502,<a_89><b_124><c_7>,999,0,0.0,999,999,0,0,<a_34><b_222><c_136>,"Round Spacer, Nylon, Off-White, 0.194"" ID, 3/4"" Length, Made in US (Pack of 100)",1,0,0,75,2,2986,676,502,<a_19><b_166><c_11>,999,0,0.0,999,999,0,0,<a_224><b_235><c_4>,"Round Spacer, Nylon, Off-White, 0.194"" ID, 3/4"" Length, Made in US (Pack of 100)",1,1,0,92,6,5739,756,502,0.0,0->0
8,A5139,511,"Nicholson 06706N Axe File, 8-Inch",Nicholson,4,15,<a_248><b_251><c_143>,999,0,0.0,999,999,0,0,<a_50><b_116><c_108>,"Industrial & Scientific"" />",1,0,0,33,1,958,15,15,<a_71><b_156><c_104>,999,0,0.0,999,999,0,0,<a_13><b_224><c_46>,Country Brook Design | 1 Inch Black Polypropylene Webbing (100 Yards),1,0,0,125,1,5886,15,15,0.0,0->0
9,A5259,1391,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",Seek Thermal,7,37,<a_31><b_1><c_231>,999,0,0.0,7,999,0,0,<a_51><b_229><c_188>,American Labs BS-144P-200S-22-A 144 Blank Microscope Slides and 200 Cover Glass Pre Cleane,1,0,0,61,1,7390,37,37,<a_235><b_112><c_138>,999,0,0.0,999,999,0,0,<a_83><b_12><c_200>,"Covidien 5750 Curity Alcohol Prep, Sterile, Medium, 2-ply (Pack of 200)",1,2,0,20,1,1026,37,37,0.0,0->0
