metric,pearson_with_ndcg10,spearman_with_ndcg10,pearson_with_hr10
snear_cnear_same_l12,0.36559848099159986,0.41958041958041964,0.5084082685689163
sfar_cnear_avg_overlap,0.4697325167266562,0.39930008695285735,0.584337752863504
snear_cfar_same_l12,0.25275741400668805,0.3636363636363637,0.37613947523884445
sfar_cnear_same_l1,0.49179243704123105,0.3187395430939476,0.6004849007927427
top5_l1_cover,0.24226782118725124,0.2447552447552448,0.36429041971558734
snear_cnear_same_l1,0.1327661940469414,0.22377622377622378,0.25942944861024647
snear_cfar_same_l1,-0.019365784843587166,0.18181818181818185,0.08728480297987257
l1_entropy_norm,-0.014145833761574496,0.17482517482517487,-0.1538451558945319
snear_cfar_split_after_l1,-0.21094020005184547,-0.18881118881118883,-0.15203993429141682
unique_l12,-0.14681668575861279,-0.18881118881118883,-0.2235937975728785
l1_gini,-0.021548684843509695,-0.1958041958041958,0.14772404785914325
active_l1,-0.160812057605086,-0.23076923076923078,-0.23219469916705573
