metric,pearson_with_ndcg10,spearman_with_ndcg10,pearson_with_hr10
l1_entropy_norm,0.09291250855071127,0.26363636363636367,-0.038628593166467697
snear_cnear_same_l12,0.2201214315942196,0.26363636363636367,0.3582855065986048
sfar_cnear_avg_overlap,0.23681156043223467,0.24601430569223082,0.29578374362745186
snear_cfar_same_l12,0.11582419667759361,0.24545454545454545,0.22816640314827324
sfar_cnear_same_l1,0.28634793683918075,0.13667461427346156,0.3418381296637636
top5_l1_cover,0.014099224191220703,0.02727272727272728,0.10042711103717603
snear_cnear_same_l1,-0.07064686996471188,0.009090909090909092,0.02493254381817205
active_l1,-0.0017817652933927494,-0.018181818181818184,-0.038753475832033604
unique_l12,-0.008412361404818151,-0.02727272727272728,-0.05846579384541777
snear_cfar_same_l1,-0.22339826986954853,-0.045454545454545456,-0.15929151172215023
l1_gini,-0.07851397852671353,-0.20909090909090913,0.10126377953577644
snear_cfar_split_after_l1,-0.3797697081466852,-0.38181818181818183,-0.37347168350485654
