label,tokenizer_record_id,sft_variant,note,recipe,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,hr_at_10,hr_at_50,active_l1,active_l2,active_l3,unique_l12,unique_sid,collision_count,collision_rate,max_conflict,max_l1_bucket,top5_l1_cover,top5_l1,l1_entropy_norm,l1_gini,l12_mean_size,l12_median_size,l12_p90_size,l12_max_size,l12_singletons,l12_ge5,avg_l2_per_l1,median_l2_per_l1,avg_l3_per_l12,median_l3_per_l12,snear_cfar_same_l1,snear_cfar_same_l12,snear_cfar_split_after_l1,snear_cnear_same_l1,snear_cnear_same_l12,sfar_cnear_avg_overlap,sfar_cnear_same_l1,sfar_cfar_avg_overlap,routing_fragment_z,semantic_split_balance,codebook_reasonableness_proxy
R690b L2=0.010 main,tok_industrial_r690b_lmh_l2_contrastive_pull_weight001_20260507,mgr_r690b_lmh_l2_contrastive_pull_weight001_title_on_desc_p05_4gpu,current mainline and best tokenizer-side SFT,title_history2sid_on+desc_align_p05,0.07059343,0.08813106,0.09488938,0.10438342,0.14692257,0.24112067,60,256,256,2330,3670,16,0.004340748779164406,2,167,707,"[['<a_202>', 167], ['<a_222>', 159], ['<a_182>', 134], ['<a_78>', 131], ['<a_51>', 116]]",0.9629727491840927,0.30538976306746246,1.5819742489270385,1.0,3.0,24,1646,74,38.833333333333336,38.0,1.5751072961373391,1.0,91.13968645411309,29.716399506781748,61.423286947331334,89.46275629379704,34.259018946275624,0.0159,0.54,0.0079,-2.2329893579506166,50.88604324112838,1.265251455597211
Original semantic,tok_industrial_original_semantic,title_history2sid_off__desc_align_p05,original MiniOneRec semantic SID baseline,title_history2sid_off+desc_align_p05,0.06706375,0.08500848,0.09315326,0.10372025,0.15089345,0.24531216,48,256,256,2295,3670,16,0.004340748779164406,3,247,833,"[['<a_223>', 247], ['<a_224>', 191], ['<a_108>', 143], ['<a_193>', 133], ['<a_24>', 119]]",0.9575077644941447,0.31081569904141815,1.6061002178649237,1.0,3.0,47,1604,73,47.8125,47.5,1.5991285403050108,1.0,96.77646644354412,30.24484763079091,66.53161881275321,93.1741500129769,35.686478069037115,0.0242,1.32,0.0088,-3.101564416372815,59.705768825730104,2.8207299889893114
V2 offline,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_title_on_desc_p05,strong pre-LMH tokenizer line,title_history2sid_on+desc_align_p05,0.07059343,0.08451223,0.092533,0.10270767,0.14626075,0.24818001,203,256,256,2680,3673,13,0.00352685838307108,2,97,282,"[['<a_112>', 97], ['<a_83>', 56], ['<a_34>', 54], ['<a_211>', 38], ['<a_87>', 37]]",0.9759634486385976,0.2661274587107654,1.3753731343283582,1.0,2.0,25,2109,49,13.201970443349754,13.0,1.3705223880597015,1.0,67.2362163114321,22.864188832129646,44.37202747930245,67.7913314300545,27.459122761484554,0.0128,0.12,0.0098,2.3852113457129613,12.163358909356951,-4.977467246705932
Original L2 multihop ranking,tok_industrial_original_l2_multihop_ranking_20260421,mgr_original_l2_multihop_ranking_title_on_desc_p05_4gpu,minimal-edit collaborative ranking screen,title_history2sid_on+desc_align_p05,0.06618134,0.08283132,0.09144148,0.10165136,0.14736378,0.25612177,88,256,256,2449,3671,15,0.004069451980466631,2,166,516,"[['<a_195>', 166], ['<a_65>', 99], ['<a_38>', 88], ['<a_59>', 82], ['<a_140>', 81]]",0.9569338660783671,0.3405453065653825,1.5051041241322989,1.0,3.0,25,1780,61,27.829545454545453,29.0,1.4989791751735402,1.0,84.85115377840408,26.087722388585522,58.763431389818564,84.53153386971192,32.5979756034259,0.0161,0.74,0.008,-0.7547850348983236,43.294965259530485,0.21508504337398437
QCR L2 conflict ranking,tok_industrial_qcr_l2_conflict_ranking_20260421,mgr_qcr_l2_conflict_ranking_title_on_desc_p05_4gpu,QCR branch with healthy collision but negative SFT,title_history2sid_on+desc_align_p05,0.06728436,0.08578583,0.09219311,0.09980951,0.1387602,0.23979704,117,256,256,2632,3675,11,0.002984264785675529,2,214,496,"[['<a_191>', 214], ['<a_34>', 77], ['<a_227>', 74], ['<a_114>', 67], ['<a_247>', 64]]",0.9548494666648385,0.3419359925057157,1.4004559270516717,1.0,2.0,29,2057,45,22.495726495726494,23.0,1.3962765957446808,1.0,92.8307204509424,22.212436145851683,70.61828430509071,84.86893329872827,28.18582922398131,0.0114,0.2,0.0082,-0.17067957938343345,55.487217603818976,2.452265949598597
Stage3 prefix retained,tok_industrial_stage3_r401b_g005,mgr_stage3_r401b_title_on_desc_p05,prefix-retention branch,title_history2sid_on+desc_align_p05,0.06706375,0.08479311,0.09017463,0.09905007,0.1385396,0.24442974,256,256,256,2991,3675,11,0.002984264785675529,2,74,203,"[['<a_235>', 74], ['<a_82>', 37], ['<a_33>', 33], ['<a_4>', 30], ['<a_251>', 29]]",0.9876842940227768,0.19163091766142148,1.232363757940488,1.0,2.0,22,2543,23,11.68359375,11.0,1.2286860581745236,1.0,65.63325700193764,12.71798485115378,52.91527215078386,67.99896184791072,20.503503763301325,0.0133,0.13,0.0078,3.6787497631171933,20.914233998694584,-2.351233925347334
TAGCF attr mid,tok_industrial_tagcf_r510_attr_mid,mgr_tagcf_r510_title_on_desc_p05,attribute-topology mid graph branch,title_history2sid_on+desc_align_p05,0.07103463,0.08504532,0.08945908,0.09758171,0.13148026,0.22567836,125,256,256,2570,3675,11,0.002984264785675529,2,87,295,"[['<a_158>', 87], ['<a_246>', 54], ['<a_144>', 52], ['<a_17>', 51], ['<a_92>', 51]]",0.9889341482734273,0.17551383613673366,1.4342412451361868,1.0,2.0,23,1926,45,20.56,21.0,1.4299610894941635,1.0,76.44882860665845,21.701602959309493,54.747225647348955,76.2522709576953,26.966000519076044,0.0151,0.44999999999999996,0.0073,1.0313907037602499,30.999496605044257,-1.4655603764230258
R690b L2=0.003 weak,tok_industrial_r690b_lmh_l2_contrastive_pull_weight0003_20260507,mgr_r690b_lmh_l2_contrastive_pull_weight0003_title_on_desc_p05_4gpu,low L2 collaborative weight,title_history2sid_on+desc_align_p05,0.06618134,0.07777333,0.08523538,0.09573735,0.13721597,0.24398853,56,256,256,2182,3673,13,0.00352685838307108,2,194,683,"[['<a_236>', 194], ['<a_112>', 127], ['<a_18>', 127], ['<a_76>', 121], ['<a_101>', 114]]",0.9712173910115853,0.2668494690334082,1.689275893675527,1.0,3.0,26,1443,87,38.964285714285715,37.5,1.6833180568285977,1.0,89.71287651928836,31.65404262814867,58.058833891139685,89.54061770049312,34.8040487931482,0.016,0.54,0.0117,-2.1710670601861666,47.5994515916328,0.3681964117048142
V2 LMH mid=0.010,tok_industrial_v2_lmh_mid_weight001_20260507,mgr_v2_lmh_mid_weight001_title_on_desc_p05_4gpu,same LMH idea on weaker v2 branch,title_history2sid_on+desc_align_p05,0.06198985,0.07831416,0.08487446,0.09515433,0.13765718,0.23560556,190,256,256,2722,3675,11,0.002984264785675529,2,99,293,"[['<a_254>', 99], ['<a_241>', 63], ['<a_191>', 45], ['<a_121>', 43], ['<a_109>', 43]]",0.9802831699368483,0.23880400948110925,1.3541513592946364,1.0,2.0,24,2166,45,14.326315789473684,14.0,1.3501102130786187,1.0,78.19270741588868,20.6270917738242,57.56561564206447,75.2919802751103,27.225538541396315,0.0126,0.16999999999999998,0.0081,2.1125374311106375,32.85759591717478,-1.5201136958936883
R690b L2=0.005 weak,tok_industrial_r690b_lmh_l2_contrastive_pull_weight0005_20260507,mgr_r690b_lmh_l2_contrastive_pull_weight0005_title_on_desc_p05_2gpu,low-to-mid L2 collaborative weight,title_history2sid_on+desc_align_p05,0.06662255,0.07876605,0.08617176,0.09435198,0.13148026,0.24288551,131,254,254,2322,3671,15,0.004069451980466631,2,192,488,"[['<a_99>', 192], ['<a_163>', 94], ['<a_153>', 72], ['<a_45>', 71], ['<a_114>', 59]]",0.9566990657951416,0.3403925726806196,1.5874246339362619,1.0,3.0,26,1611,68,17.72519083969466,17.0,1.5809646856158484,1.0,90.48793376783513,26.54571076272679,63.94222300510833,79.08123540098624,30.21022579807942,0.0134,0.25,0.008,0.10248863883407425,43.023458406094576,-0.25911464115241756
