label,split,diagnostic_profile,predicted_sft_band,actual_sft_band,diagnostic_consistency,ndcg_at_10,hr_at_10,l1_axis,separation_axis,preservation_axis,learnability_axis,active_l1,unique_l12,top5_l1_cover,l1_entropy_norm,l1_gini,avg_l2_per_l1,l12_singletons,l12_ge5,snear_cfar_same_l1,snear_cfar_same_l12,snear_cfar_split_after_l1,snear_cnear_same_l1,snear_cnear_same_l12,smid_cfar_pair_count,smid_cfar_same_l1,smid_cfar_same_l12,smid_cfar_split_after_l1,smid_cnear_pair_count,smid_cnear_same_l1,smid_cnear_same_l12,sfar_cnear_avg_overlap,train_l1_entropy_norm,train_l12_entropy_norm,train_sid_entropy_norm,catalog_l2_zero_train_pct,catalog_l2_median_train_events,catalog_l3_zero_train_pct,catalog_l3_median_train_events,l1_reason,separation_reason,preservation_reason,learnability_reason,profile_reason,note,tokenizer_record_id,sft_variant,sft_status,recipe,ndcg_at_1,ndcg_at_3,ndcg_at_5,hr_at_50,active_l2,active_l3,unique_sid,collision_count,collision_rate,max_conflict,max_l1_bucket,top5_l1,l12_mean_size,l12_median_size,l12_p90_size,l12_max_size,median_l2_per_l1,avg_l3_per_l12,median_l3_per_l12,train_interaction_rows,train_prefix_event_count,train_seen_item_count,catalog_item_zero_train_pct,catalog_l1_zero_train_pct,catalog_l1_p10_train_events,catalog_l1_median_train_events,catalog_l1_mean_train_events,catalog_l2_p10_train_events,catalog_l2_mean_train_events,catalog_l3_p10_train_events,catalog_l3_mean_train_events,sfar_cnear_same_l1
Original semantic,validation,semantic-stable-baseline,high,high,match,0.10372025,0.15089345,pass,pass,pass,pass,48,2295,833,0.9575077644941447,0.31081569904141815,47.8125,1604,73,96.77646644354412,30.24484763079091,66.53161881275321,93.1741500129769,35.686478069037115,10000.0,59.209999999999994,0.67,58.540000000000006,1806.0,54.59579180509413,0.4429678848283499,0.0242,0.9402601012919652,0.8926122420489244,0.9248005510639676,0.5697232772653282,60.0,1.0580575149213238,27.0,L1 routing remains semantically stable.,Semantic-near collaborative-far pairs are selectively separated after L1.,Semantic-near collaborative-near pairs are preserved.,Prefix distribution is compact enough for SFT.,"Stable semantic baseline, but not a collaborative-injection claim.",Original MiniOneRec semantic SID baseline.,tok_industrial_original_semantic,title_history2sid_off__desc_align_p05,available,title_history2sid_off+desc_align_p05,0.06706375,0.08500848,0.09315326,0.24531216,256,256,3670,16,0.004340748779164406,3,247,"[['<a_223>', 247], ['<a_224>', 191], ['<a_108>', 143], ['<a_193>', 133], ['<a_24>', 119]]",1.6061002178649237,1.0,3.0,47,47.5,1.5991285403050108,1.0,36259,172955,3647,1.0580575149213238,0.0,1702.0,4236.0,4921.670103092783,15.0,204.25637547476938,9.0,48.48182311448725,1.32
V2 offline,validation,out-of-family-flat-routing,unknown,high,out-of-scope,0.10270767,0.14626075,fail,fail,fail,fail,203,2680,282,0.9759634486385976,0.2661274587107654,13.201970443349754,2109,49,67.2362163114321,22.864188832129646,44.37202747930245,67.7913314300545,27.459122761484554,10000.0,26.1,0.2,25.900000000000002,1806.0,28.737541528239202,0.33222591362126247,0.0128,0.9491880022075426,0.901709080085964,0.9246607796317382,0.705371676614216,45.0,1.0580575149213238,27.0,active_l1=203 > 150; top5_l1_cover=282 < 300; S-near C-near same_l1=67.79% < 80%,S-near C-far same_l1=67.24% < 80%; split_after_l1=44.37% < 55%,S-near C-near same_l1=67.79% < 80%,active_l1=203 > 180; top5_l1_cover=282 < 300,Strong historical tokenizer with non-semantic-flat L1; diagnostic should not be used as a pure rank predictor here.,Strong pre-LMH tokenizer line; useful as an out-of-family challenge case.,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_title_on_desc_p05,available,title_history2sid_on+desc_align_p05,0.07059343,0.08451223,0.092533,0.24818001,256,256,3673,13,0.00352685838307108,2,97,"[['<a_112>', 97], ['<a_83>', 56], ['<a_34>', 54], ['<a_211>', 38], ['<a_87>', 37]]",1.3753731343283582,1.0,2.0,25,13.0,1.3705223880597015,1.0,36259,172955,3647,1.0580575149213238,0.0,415.0,857.0,1163.6161150298426,12.5,134.96418882257188,9.0,48.478838849701575,0.12
R690b L2=0.010 main,calibration,balanced-positive,high,high,match,0.10438342,0.14692257,pass,pass,pass,pass,60,2330,707,0.9629727491840927,0.30538976306746246,38.833333333333336,1646,74,91.13968645411309,29.716399506781748,61.423286947331334,89.46275629379704,34.259018946275624,10000.0,57.269999999999996,0.41000000000000003,56.86,1806.0,55.370985603543744,0.3875968992248062,0.0159,0.9419169337878347,0.8973806167293445,0.9247992671958063,0.5697232772653282,61.0,1.0580575149213238,27.0,L1 routing remains semantically stable.,Semantic-near collaborative-far pairs are selectively separated after L1.,Semantic-near collaborative-near pairs are preserved.,Prefix distribution is compact enough for SFT.,All four axes pass.,Current mainline and strongest tokenizer-side SFT anchor.,tok_industrial_r690b_lmh_l2_contrastive_pull_weight001_20260507,mgr_r690b_lmh_l2_contrastive_pull_weight001_title_on_desc_p05_4gpu,available,title_history2sid_on+desc_align_p05,0.07059343,0.08813106,0.09488938,0.24112067,256,256,3670,16,0.004340748779164406,2,167,"[['<a_202>', 167], ['<a_222>', 159], ['<a_182>', 134], ['<a_78>', 131], ['<a_51>', 116]]",1.5819742489270385,1.0,3.0,24,38.0,1.5751072961373391,1.0,36259,172955,3647,1.0580575149213238,0.0,1277.0,3331.0,3915.2634291915356,15.0,165.10227889310906,9.0,48.44872490504612,0.54
R690b L2=0.003 weak,calibration,under-separated,medium,low,partial,0.09573735,0.13721597,pass,warn,pass,pass,56,2182,683,0.9712173910115853,0.2668494690334082,38.964285714285715,1443,87,89.71287651928836,31.65404262814867,58.058833891139685,89.54061770049312,34.8040487931482,10000.0,61.61,0.73,60.88,1806.0,53.0454042081949,0.6090808416389812,0.016,0.9486238324408468,0.899368118530679,0.9248041284166743,0.5425935973955507,68.0,1.0309278350515463,27.0,L1 routing remains semantically stable.,split_after_l1=58.06% < 60%; S-near C-far same_l12=31.65% > 30.5%,Semantic-near collaborative-near pairs are preserved.,Prefix distribution is compact enough for SFT.,"Stable and learnable, but collaborative separation is weak.",Low L2 collaborative contrastive weight.,tok_industrial_r690b_lmh_l2_contrastive_pull_weight0003_20260507,mgr_r690b_lmh_l2_contrastive_pull_weight0003_title_on_desc_p05_4gpu,available,title_history2sid_on+desc_align_p05,0.06618134,0.07777333,0.08523538,0.24398853,256,256,3673,13,0.00352685838307108,2,194,"[['<a_236>', 194], ['<a_112>', 127], ['<a_18>', 127], ['<a_76>', 121], ['<a_101>', 114]]",1.689275893675527,1.0,3.0,26,37.5,1.6833180568285977,1.0,36259,172955,3647,1.0580575149213238,0.0,1648.0,3373.0,4055.2023874118286,17.0,171.06972327726533,9.0,48.379001627780795,0.54
R690b L2=0.005 weak,calibration,over-separated-unstable,low,low,match,0.09435198,0.13148026,fail,pass,fail,warn,131,2322,488,0.9566990657951416,0.3403925726806196,17.72519083969466,1611,68,90.48793376783513,26.54571076272679,63.94222300510833,79.08123540098624,30.21022579807942,10000.0,35.099999999999994,1.01,34.089999999999996,1806.0,31.727574750830566,0.6644518272425249,0.0134,0.9347518351022119,0.9011200041955871,0.9248354940241611,0.5425935973955507,61.0,1.0580575149213238,27.0,S-near C-near same_l1=79.08% < 80%,Semantic-near collaborative-far pairs are selectively separated after L1.,S-near C-near same_l1=79.08% < 80%,active_l1=131 > 100; top5_l1_cover=488 < 500,"Can split semantic-near collaborative-far pairs, but also damages near/near preservation.",Low-to-mid L2 collaborative contrastive weight.,tok_industrial_r690b_lmh_l2_contrastive_pull_weight0005_20260507,mgr_r690b_lmh_l2_contrastive_pull_weight0005_title_on_desc_p05_2gpu,available,title_history2sid_on+desc_align_p05,0.06662255,0.07876605,0.08617176,0.24288551,254,254,3671,15,0.004069451980466631,2,192,"[['<a_99>', 192], ['<a_163>', 94], ['<a_153>', 72], ['<a_45>', 71], ['<a_114>', 59]]",1.5874246339362619,1.0,3.0,26,17.0,1.5809646856158484,1.0,36259,172955,3647,1.0580575149213238,0.0,648.0,1423.0,2143.079761258817,15.0,158.42322300596854,9.0,48.43244709712425,0.25
R690b L2=0.015 fragmented,calibration,separating-but-risky,low,low,match,0.09408004,0.13500993,warn,pass,warn,warn,108,2619,443,0.9615945900275105,0.330278732340588,24.25,2009,42,88.44460102166637,24.044389642416768,64.40021137924961,84.55748767194395,29.379704126654556,10000.0,47.46,0.29,47.17,1806.0,45.73643410852713,0.22148394241417496,0.0151,0.9377279049906099,0.9019479928957364,0.9248061417020853,0.6239826370048833,48.0,1.0580575149213238,27.0,active_l1=108 > 100; top5_l1_cover=443 < 500; S-near C-near same_l1=84.56% < 86%,Semantic-near collaborative-far pairs are selectively separated after L1.,S-near C-near same_l1=84.56% < 86%; S-near C-near same_l12=29.38% < 31%,active_l1=108 > 100; unique_l12=2619 > 2550; top5_l1_cover=443 < 500; l12_singletons=2009 > 2000,"Can split target pairs, but preservation or routing stability is risky.",Upper-side L2 weight; expected over-fragmentation challenge.,tok_industrial_r690b_lmh_l2_contrastive_pull_weight0015_20260507,mgr_r690b_lmh_l2_contrastive_pull_weight0015_title_on_desc_p05_4gpu,available,title_history2sid_on+desc_align_p05,0.06221046,0.07821181,0.08493313,0.24067946,256,256,3673,13,0.00352685838307108,2,120,"[['<a_38>', 120], ['<a_57>', 99], ['<a_13>', 82], ['<a_56>', 72], ['<a_124>', 70]]",1.4074074074074074,1.0,2.0,25,25.0,1.4024436807941962,1.0,36259,172955,3647,1.0580575149213238,0.0,664.0,1871.0,2271.5425935973954,13.0,138.40097666847532,9.0,48.38849701573521,0.33999999999999997
R690b no L1 semantic,calibration,over-separated-unstable,low,low,match,0.09381189,0.13192146,warn,pass,fail,warn,115,2649,616,0.9513582231892351,0.35007195262922,23.034782608695654,2072,46,87.14109564911044,20.53901708648934,66.6020785626211,83.51933558266286,24.526343109265508,10000.0,45.1,0.3,44.800000000000004,1806.0,38.42746400885936,0.22148394241417496,0.0116,0.9293151085431307,0.9024029324788304,0.9247710256161925,0.5968529571351058,47.0,1.0580575149213238,27.0,active_l1=115 > 100; S-near C-near same_l1=83.52% < 86%,Semantic-near collaborative-far pairs are selectively separated after L1.,S-near C-near same_l12=24.53% < 27%,active_l1=115 > 100; unique_l12=2649 > 2550; l12_singletons=2072 > 2000,"Can split semantic-near collaborative-far pairs, but also damages near/near preservation.",L1 semantic pull ablation.,tok_industrial_r690b_lmh_l2_contrastive_pull_weight001_no_l1_semantic_20260508,mgr_r690b_lmh_l2_contrastive_pull_weight001_no_l1_semantic_title_on_desc_p05_2gpu,available,title_history2sid_on+desc_align_p05,0.06640194,0.07796505,0.08389728,0.23384072,256,255,3671,15,0.004069451980466631,2,220,"[['<a_56>', 220], ['<a_89>', 115], ['<a_210>', 103], ['<a_200>', 102], ['<a_86>', 76]]",1.3914684786711966,1.0,2.0,24,22.0,1.3858059645149112,1.0,36259,172955,3647,1.0580575149213238,0.0,678.0,1606.0,2476.3030385241454,13.0,133.5002712967987,9.0,48.46527400976669,0.18
R690b L3=0.010 pending,prospective,balanced-positive,high,pending,pending,,,pass,pass,pass,pass,60,2394,738,0.9596420555409246,0.3119551455959486,39.9,1724,65,95.42011625858729,29.557865069579,65.86225118900828,90.86426161432651,33.99948092395536,10000.0,61.09,0.47000000000000003,60.62,1806.0,58.028792912513836,0.5537098560354374,0.0177,0.9362027401236628,0.89623600169359,0.9247870822876785,0.5968529571351058,55.0,1.0580575149213238,27.0,L1 routing remains semantically stable.,Semantic-near collaborative-far pairs are selectively separated after L1.,Semantic-near collaborative-near pairs are preserved.,Prefix distribution is compact enough for SFT.,All four axes pass.,Prospective L3 local-pull candidate with fixed L2=0.010 anchor.,tok_industrial_r690b_lmh_l2_weight001_l3_weight010_20260508,,pending,,,,,,256,256,3673,13,0.00352685838307108,2,210,"[['<a_184>', 210], ['<a_224>', 150], ['<a_42>', 136], ['<a_71>', 125], ['<a_191>', 117]]",1.5396825396825398,1.0,3.0,27,39.0,1.5342522974101922,1.0,36259,172955,3647,1.0580575149213238,0.0,1466.0,3156.0,4099.62289744981,14.0,164.11394465545305,9.0,48.42837764514379,0.73
R690b L3=0.005 pending,prospective,separating-but-risky,low,pending,pending,,,pass,pass,warn,pass,83,2426,532,0.9558875978355083,0.34761291503507263,29.228915662650603,1735,62,87.24678527391228,24.026774704949798,63.22001056896248,87.9833895665715,30.417856215935636,10000.0,56.74,0.44999999999999996,56.28999999999999,1806.0,52.71317829457365,0.4429678848283499,0.0146,0.9333759322916942,0.9012721230200912,0.9247999285976313,0.7325013564839935,56.0,1.0580575149213238,27.0,L1 routing remains semantically stable.,Semantic-near collaborative-far pairs are selectively separated after L1.,S-near C-near same_l12=30.42% < 31%,Prefix distribution is compact enough for SFT.,"Can split target pairs, but preservation or routing stability is risky.",Prospective lower L3 local-pull candidate with fixed L2=0.010 anchor.,tok_industrial_r690b_lmh_l2_weight001_l3_weight005_20260508,,pending,,,,,,256,256,3675,11,0.002984264785675529,2,125,"[['<a_2>', 125], ['<a_31>', 122], ['<a_82>', 98], ['<a_239>', 94], ['<a_216>', 93]]",1.5193734542456718,1.0,3.0,22,28.0,1.5148392415498764,1.0,36259,172955,3647,1.0580575149213238,0.0,956.0,2616.0,3007.0976668475314,14.0,148.78947368421052,9.0,48.35594139989148,0.38
R690b L3=0.015 gate-failed,prospective,structurally-risky,low,pending,pending,,,warn,fail,warn,pass,38,647,844,0.9643214746467595,0.28203444041465575,17.026315789473685,108,303,82.42029240796195,34.91280605953849,47.50748634842346,80.40487931481962,34.72618738645212,10000.0,50.89,8.219999999999999,42.67,1806.0,44.73975636766335,7.641196013289036,0.03,0.951827621638003,0.9102754905476877,0.9141615906971648,0.02712967986977754,331.0,0.9766684753119913,28.0,S-near C-near same_l1=80.40% < 86%,split_after_l1=47.51% < 55%; S-near C-far same_l12=34.91% > 32.5%,S-near C-near same_l1=80.40% < 86%,Prefix distribution is compact enough for SFT.,At least one key structural axis fails.,Prospective upper L3 local-pull candidate; initial generation gate failed.,tok_industrial_r690b_lmh_l2_weight001_l3_weight015_20260508,,pending,,,,,,198,247,3579,107,0.029028757460661966,43,190,"[['<a_69>', 190], ['<a_58>', 167], ['<a_227>', 166], ['<a_19>', 166], ['<a_236>', 155]]",5.697063369397218,4.0,12.0,43,17.0,5.531684698608965,4.0,36259,172955,3647,1.0580575149213238,0.0,2311.0,5711.0,5623.8581117742815,80.5,521.587900162778,9.0,108.7669560499186,1.29
