pair_set,tokenizer,pair_count,same_l1_pct,same_l12_pct,same_sid_pct,same_l2_token_pct,same_l3_token_pct,avg_token_overlap,avg_lcp,split_after_l1_pct
S-near C-far,"Main L2=0.010,L3=0.020 pull",5677.0,91.13968645411309,29.716399506781748,0.07045974986788797,30.878985379601904,0.9688215606834596,1.2298749339439845,1.2092654571076273,61.423286947331334
S-near C-far,L3 InfoNCE=0.005,5677.0,93.87000176149375,22.406200457988373,0.017614937466971993,22.511890082790206,1.1273559978862076,1.1750924784217016,1.1629381715694909,71.46380130350536
S-near C-far,L3 InfoNCE=0.010,5677.0,96.07186894486524,33.48599612471376,0.017614937466971993,33.521225999647704,0.7926721860137397,1.303857671305267,1.2957548000704597,62.58587282015149
S-near C-far,L3 InfoNCE=0.020,5677.0,91.3862955786507,24.484763079091067,0.017614937466971993,24.76660207856262,0.9512066232164875,1.171041042804298,1.1588867359520874,66.90153249955962
S-near C-near,"Main L2=0.010,L3=0.020 pull",3853.0,89.46275629379704,34.259018946275624,0.28549182455229694,35.32312483778874,0.9602906825849987,1.2574617181417078,1.2400726706462497,55.20373734752141
S-near C-near,L3 InfoNCE=0.005,3853.0,87.07500648845055,28.107967817285235,0.25953802232026996,28.341552037373475,1.0381520892810798,1.164547106151051,1.1544251232805607,58.96703867116533
S-near C-near,L3 InfoNCE=0.010,3853.0,90.21541655852583,33.58422008824293,0.3114456267843239,33.947573319491305,1.4793667272255384,1.2564235660524268,1.2411108227355307,56.631196470282894
S-near C-near,L3 InfoNCE=0.020,3853.0,89.12535686478068,29.898780171295098,0.25953802232026996,30.21022579807942,1.1938749026732416,1.2052945756553335,1.1928367505839605,59.2265766934856
S-far C-near,"Main L2=0.010,L3=0.020 pull",10000.0,0.54,0.0,0.0,0.35000000000000003,0.7000000000000001,0.0159,0.0054,0.54
S-far C-near,L3 InfoNCE=0.005,10000.0,0.35000000000000003,0.0,0.0,0.42,0.72,0.0149,0.0035,0.35000000000000003
S-far C-near,L3 InfoNCE=0.010,10000.0,0.66,0.0,0.0,0.31,0.83,0.018,0.0066,0.66
S-far C-near,L3 InfoNCE=0.020,10000.0,0.38,0.0,0.0,0.38,0.66,0.0142,0.0038,0.38
S-far C-far,"Main L2=0.010,L3=0.020 pull",10000.0,0.09,0.0,0.0,0.29,0.41000000000000003,0.0079,0.0009,0.09
S-far C-far,L3 InfoNCE=0.005,10000.0,0.04,0.0,0.0,0.38999999999999996,0.5700000000000001,0.01,0.0004,0.04
S-far C-far,L3 InfoNCE=0.010,10000.0,0.2,0.0,0.0,0.38,0.59,0.0117,0.002,0.2
S-far C-far,L3 InfoNCE=0.020,10000.0,0.13999999999999999,0.0,0.0,0.36,0.47000000000000003,0.0097,0.0014,0.13999999999999999
S-mid C-far,"Main L2=0.010,L3=0.020 pull",10000.0,57.269999999999996,0.41000000000000003,0.0,0.98,0.95,0.592,0.5768,56.86
S-mid C-far,L3 InfoNCE=0.005,10000.0,47.349999999999994,0.47000000000000003,0.0,0.8099999999999999,0.97,0.4913,0.4782,46.88
S-mid C-far,L3 InfoNCE=0.010,10000.0,52.769999999999996,1.01,0.0,1.4500000000000002,1.02,0.5524,0.5378,51.76
S-mid C-far,L3 InfoNCE=0.020,10000.0,52.480000000000004,0.41000000000000003,0.0,1.03,0.77,0.5428,0.5289,52.07000000000001
S-mid C-near,"Main L2=0.010,L3=0.020 pull",1806.0,55.370985603543744,0.3875968992248062,0.0,1.2181616832779625,0.5537098560354374,0.5714285714285714,0.5575858250276855,54.98338870431893
S-mid C-near,L3 InfoNCE=0.005,1806.0,46.733111849390916,0.3875968992248062,0.0,0.8305647840531563,1.3289036544850499,0.48892580287929127,0.47120708748615725,46.34551495016611
S-mid C-near,L3 InfoNCE=0.010,1806.0,48.117386489479514,0.8859357696566998,0.0,0.9966777408637874,0.9966777408637874,0.5011074197120708,0.4900332225913621,47.23145071982282
S-mid C-near,L3 InfoNCE=0.020,1806.0,48.837209302325576,0.4983388704318937,0.0,0.9966777408637874,1.052048726467331,0.508859357696567,0.49335548172757476,48.33887043189369
