item_id,title,baseline_l2_leaf_count,hierarchy_l2_leaf_count,baseline_l2_prefix,semantic_density,semantic_collab_disagreement,graph_competition,offline_combined,online_uncertainty,offline_plus_online,leaf_reduction,count,improved_at_1_rate,worsened_at_1_rate,improved_at_3_rate,worsened_at_3_rate,improved_at_5_rate,worsened_at_5_rate,improved_at_10_rate,worsened_at_10_rate,improved_at_20_rate,worsened_at_20_rate,improved_at_50_rate,worsened_at_50_rate,baseline_target_l2_fanout_mean,hierarchy_target_l2_fanout_mean
0,SUPCO SPP6 Relay/Capacitor Hard Start Kit with 500% Increase Starting Torque,1,2,<a_104><b_253>,0.8500222,1.0,0.98448,0.7968212,0.2804596,0.69261295,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Stanley TRA708T Sharpshooter 1/2-Inch Leg Length Staples, Steel (1000 Count)",3,2,<a_66><b_163>,0.9038974,0.9677419,0.9787856,0.834734,0.28935453,0.731923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Stanley TRA708SST 1/2-Inch HD Stainless Steel Narrow Crown Staple,3,1,<a_66><b_163>,0.8922167,1.0,0.9861624,0.85523576,0.30664107,0.7694854,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack",11,10,<a_254><b_206>,0.92335284,1.0,0.9894571,0.90015906,0.38409948,0.9035182,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0
4,Dico 541-774-21/2 Nyalox Cup Brush 21/2-Inch Grey 80 Grit,4,1,<a_254><b_211>,0.9073298,1.0,0.9813198,0.87133676,0.24337502,0.6985626,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Hot Stuff Super T Medium Instant CA Glue, 2oz HST-4",2,1,<a_174><b_114>,0.91244364,1.0,0.9749189,0.87256795,0.25454733,0.71406245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,PORTER-CABLE 740000801 4 1/2-Inch x 10yd 80 Grit Adhesive-Backed Sanding Roll,2,1,<a_195><b_97>,0.8904395,1.0,0.94117194,0.8129994,0.2646817,0.68380725,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
7,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)",1,1,<a_161><b_78>,0.853806,1.0,0.9721956,0.7910482,0.264283,0.6672566,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,2.0,2.0
8,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)",1,1,<a_161><b_78>,0.853806,1.0,0.9348406,0.75797063,0.264283,0.64310193,0.0,6.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
9,"Anderson Metals Brass Tube Fitting, Half-Union, 3/8"" Flare x 1/8"" Male Pipe",2,2,<a_248><b_175>,0.91524005,0.9508197,0.9908934,0.84516287,0.33804226,0.803167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
