cutoff,group,count,changed_l1_rate,changed_l2_rate,changed_full_sid_rate,mean_l1_neighbor_jaccard,mean_l2_neighbor_jaccard,mean_baseline_target_l2_fanout
1,improved,48,1.0,1.0,1.0,0.373878893492911,0.593232940821256,10.416666666666666
1,worsened,71,1.0,1.0,1.0,0.14898565093854343,0.6298595260628329,4.577464788732394
1,unchanged,4414,0.9977344811961939,1.0,1.0,0.2482815853593588,0.5853762057392798,4.346624376982329
3,improved,102,1.0,1.0,1.0,0.34743411037645094,0.4968855881259973,11.715686274509803
3,worsened,92,0.9891304347826086,1.0,1.0,0.24231892563611387,0.6994609144006592,6.934782608695652
3,unchanged,4339,0.9979257893523853,1.0,1.0,0.24584177586162373,0.5858522806013712,4.189444572482139
5,improved,111,1.0,1.0,1.0,0.32143717681426465,0.5003614400353531,9.954954954954955
5,worsened,115,1.0,1.0,1.0,0.23385062483965713,0.6839531530221512,7.173913043478261
5,unchanged,4307,0.9976781982818668,1.0,1.0,0.24654440153182303,0.5857559895986976,4.198049686556768
10,improved,130,1.0,1.0,1.0,0.2999570422826741,0.48695116199296795,7.7153846153846155
10,worsened,147,1.0,1.0,1.0,0.25792562220494836,0.6527555001933883,6.979591836734694
10,unchanged,4256,0.9976503759398496,1.0,1.0,0.2461300761089358,0.5868860596935028,4.225093984962406
20,improved,176,1.0,1.0,1.0,0.29936380438325294,0.4896952383365427,5.9147727272727275
20,worsened,187,1.0,1.0,1.0,0.2539957018626784,0.5884675001043288,6.566844919786096
20,unchanged,4170,0.9976019184652278,1.0,1.0,0.24562442687307734,0.5901237398504366,4.254676258992806
