variant,level,bucket,pair_count,retained_count,pair_retention
r202a,l1,easy,5185,1811,0.3492767598842816
r202a,l1,medium,4926,2005,0.4070239545269996
r202a,l1,hard,11807,6159,0.5216397052595918
r202a,l2,easy,222,120,0.5405405405405406
r202a,l2,medium,253,139,0.549407114624506
r202a,l2,hard,1403,986,0.7027797576621525
r401b_g005,l1,easy,5185,2135,0.4117647058823529
r401b_g005,l1,medium,4926,2016,0.4092570036540804
r401b_g005,l1,hard,11807,5661,0.4794613364952994
r401b_g005,l2,easy,222,89,0.4009009009009009
r401b_g005,l2,medium,253,101,0.39920948616600793
r401b_g005,l2,hard,1403,759,0.5409836065573771
