variant,level,token_count,weighted_mean_semantic_spread,median_semantic_spread,p90_semantic_spread,mean_reuse_count
current_v2,a,203,0.062011401697576886,0.06383482366800308,0.09031054824590683,18.157635467980295
current_v2,b,256,0.10675451415072978,0.10552973672747612,0.1269889697432518,14.3984375
current_v2,c,256,0.12015671252282624,0.11778370290994644,0.13212522119283676,14.3984375
current_v2,b_prefix_drift,256,0.22645416414261518,0.2264382590850194,0.26048751677337445,14.3984375
current_v2,c_prefix_drift,256,0.2425614184146865,0.2418353310889668,0.26767432433126614,14.3984375
r202a,a,157,0.06308561288693548,0.0641755685210228,0.09254317432641984,23.477707006369428
r202a,b,256,0.10566592071007289,0.10500909760594368,0.12419884651899338,14.3984375
r202a,c,256,0.11991010400114406,0.11907558515667915,0.1312398836016655,14.3984375
r202a,b_prefix_drift,254,0.2282068532846112,0.22649733854664697,0.26221446861059244,14.488188976377952
r202a,c_prefix_drift,255,0.24207182453161483,0.2427648620473014,0.2653351221741109,14.450980392156863
r401b_g005,a,256,0.05641338710051093,0.05886715091764927,0.08715544268488884,14.3984375
r401b_g005,b,256,0.11013689459914497,0.10903182625770569,0.12775002419948578,14.3984375
r401b_g005,c,256,0.12019072006730948,0.11979425698518753,0.13163695484399796,14.3984375
r401b_g005,b_prefix_drift,256,0.23106436492744833,0.2312712455079669,0.26288520589229497,14.3984375
r401b_g005,c_prefix_drift,256,0.24264440470700158,0.24224639258859476,0.26846935281976625,14.3984375
