variant,level,bucket,pair_count,retained_count,pair_retention
r202a,l1,easy,5185,1811,0.3492767598842816
r202a,l1,medium,4926,2005,0.4070239545269996
r202a,l1,hard,11807,6159,0.5216397052595918
r202a,l2,easy,222,120,0.5405405405405406
r202a,l2,medium,253,139,0.549407114624506
r202a,l2,hard,1403,986,0.7027797576621525
r401d_g005_a005,l1,easy,5185,2166,0.4177434908389585
r401d_g005_a005,l1,medium,4926,2170,0.4405196914332115
r401d_g005_a005,l1,hard,11807,4971,0.4210214279664606
r401d_g005_a005,l2,easy,222,81,0.36486486486486486
r401d_g005_a005,l2,medium,253,104,0.41106719367588934
r401d_g005_a005,l2,hard,1403,730,0.5203136136849608
