variant,level,token_count,weighted_mean_semantic_spread,median_semantic_spread,p90_semantic_spread,mean_reuse_count
current_v2,a,203,0.062011401697576886,0.06383482366800308,0.09031054824590683,18.157635467980295
current_v2,b,256,0.10675451415072978,0.10552973672747612,0.1269889697432518,14.3984375
current_v2,c,256,0.12015671252282624,0.11778370290994644,0.13212522119283676,14.3984375
current_v2,b_prefix_drift,256,0.22645416414261518,0.2264382590850194,0.26048751677337445,14.3984375
current_v2,c_prefix_drift,256,0.2425614184146865,0.2418353310889668,0.26767432433126614,14.3984375
r202a,a,157,0.06308561288693548,0.0641755685210228,0.09254317432641984,23.477707006369428
r202a,b,256,0.10566592071007289,0.10500909760594368,0.12419884651899338,14.3984375
r202a,c,256,0.11991010400114406,0.11907558515667915,0.1312398836016655,14.3984375
r202a,b_prefix_drift,254,0.2282068532846112,0.22649733854664697,0.26221446861059244,14.488188976377952
r202a,c_prefix_drift,255,0.24207182453161483,0.2427648620473014,0.2653351221741109,14.450980392156863
r401d_g005_a005,a,256,0.056877157508637664,0.05804568901658058,0.08746085688471794,14.3984375
r401d_g005_a005,b,256,0.10829434905664079,0.10828186571598053,0.12731720507144928,14.3984375
r401d_g005_a005,c,256,0.11886607315462049,0.1173720471560955,0.13201022148132324,14.3984375
r401d_g005_a005,b_prefix_drift,256,0.22693947761363226,0.22829220322045413,0.26013459674604644,14.3984375
r401d_g005_a005,c_prefix_drift,256,0.24013116898241219,0.23883908642023222,0.2650683721655754,14.3984375
