user_id,segment_id,k
A22,2,4
A869,0,4
A387,0,4
A1959,0,4
A1396,0,4
A5443,0,4
A2306,0,4
A296,0,4
A5303,0,4
A2962,0,4
A5302,0,4
A5301,0,4
A4533,0,4
A5300,0,4
A924,0,4
A49,0,4
A403,0,4
A2303,0,4
A2049,0,4
A1530,0,4
A3453,0,4
A1245,0,4
A5276,0,4
A48,0,4
A3397,0,4
A2305,0,4
A5275,0,4
A835,0,4
A1658,0,4
A3611,0,4
A4801,0,4
A923,0,4
A47,0,4
A1082,0,4
A601,0,4
A2266,0,4
A5369,0,4
A1430,0,4
A1136,0,4
A4726,0,4
A2271,0,4
A5299,0,4
A2686,0,4
A2264,3,4
A4725,0,4
A2401,0,4
A1137,0,4
A1817,0,4
A3424,0,4
A3342,0,4
A4147,0,4
A4874,0,4
A46,0,4
A2997,0,4
A1629,0,4
A2444,0,4
A204,0,4
A4576,0,4
A4575,0,4
A841,0,4
A3443,0,4
A4435,0,4
A402,0,4
A2555,0,4
A543,0,4
A870,0,4
A2628,0,4
A234,0,4
A4723,0,4
A50,0,4
A848,0,4
A4724,0,4
A2304,0,4
A1405,0,4
A268,0,4
A1420,0,4
A45,0,4
A330,0,4
A4251,0,4
A2281,0,4
A4133,0,4
A2452,0,4
A3507,0,4
A2474,0,4
A1672,0,4
A4593,0,4
A1266,0,4
A4685,0,4
A584,0,4
A2347,0,4
A5277,0,4
A5296,0,4
A4112,0,4
A2048,0,4
A5255,0,4
A2731,0,4
A1190,0,4
A3450,0,4
A4010,0,4
A1307,0,4
A5628,0,4
A994,0,4
A1807,0,4
A4330,0,4
A4720,0,4
A1118,0,4
A915,0,4
A1976,0,4
A1244,0,4
A2995,0,4
A2084,0,4
A1578,0,4
A790,0,4
A1361,0,4
A2275,0,4
A4860,0,4
A630,0,4
A3474,0,4
A840,0,4
A3839,0,4
A4089,0,4
A4846,0,4
A2164,0,4
A627,0,4
A5204,0,4
A867,0,4
A1014,0,4
A1268,0,4
A2071,0,4
A6442,0,4
A2436,0,4
A1391,0,4
A1265,0,4
A1288,0,4
A3473,0,4
A3974,0,4
A6068,0,4
A5235,0,4
A2729,0,4
A6352,0,4
A1061,0,4
A2038,0,4
A3980,0,4
A2961,0,4
A344,0,4
A3355,0,4
A1388,0,4
A1290,0,4
A1924,0,4
A737,0,4
A3902,0,4
A5383,0,4
A526,0,4
A3493,0,4
A1726,0,4
A3875,0,4
A2622,0,4
A3068,1,4
A725,0,4
A825,0,4
A3067,0,4
A2273,0,4
A2339,0,4
A2877,0,4
A3107,0,4
A180,0,4
A4346,0,4
A3874,0,4
A4434,0,4
A3714,0,4
A3138,0,4
A245,0,4
A544,0,4
A4791,0,4
A826,0,4
A6085,0,4
A370,0,4
A1727,0,4
A1119,0,4
A938,0,4
A2491,0,4
A1797,0,4
A333,0,4
A1021,0,4
A1444,0,4
A1065,0,4
A1225,0,4
A1855,0,4
A922,0,4
A5488,0,4
A2432,0,4
A3394,0,4
A820,0,4
A4721,0,4
A5450,0,4
A2356,0,4
A6220,0,4
A1348,0,4
A1418,0,4
A3848,0,4
A3003,0,4
A524,0,4
A258,0,4
A2916,0,4
A745,0,4
A5274,0,4
A1088,0,4
A3627,0,4
A1181,0,4
A1387,0,4
A391,0,4
A479,0,4
A1551,0,4
A801,0,4
A2065,0,4
A5438,0,4
A912,0,4
A2079,0,4
A819,0,4
A1493,0,4
A4364,0,4
A1424,0,4
A1,0,4
A292,0,4
A17,0,4
A1070,0,4
A92,0,4
A1588,0,4
A5735,0,4
A5329,0,4
A3819,0,4
A529,0,4
A3973,0,4
A202,0,4
A850,0,4
A4201,0,4
A959,0,4
A5313,0,4
A1710,0,4
A5679,0,4
A822,0,4
A1273,0,4
A4080,0,4
A1321,0,4
A2080,0,4
A238,0,4
A2064,0,4
A2960,0,4
A519,0,4
A4649,0,4
A1718,0,4
A2301,0,4
A1033,0,4
A3706,0,4
A1442,0,4
A4810,0,4
A2762,0,4
A1242,0,4
A1971,0,4
A2499,0,4
A496,0,4
A4592,0,4
A4811,0,4
A4850,0,4
A3494,0,4
A2709,0,4
A6154,0,4
A4389,0,4
A1338,0,4
A2018,0,4
A1905,0,4
A4600,2,4
A261,0,4
A678,0,4
A2037,2,4
A1337,0,4
A1580,0,4
A1800,0,4
A3626,0,4
A5745,0,4
A5107,0,4
A63,0,4
A3302,0,4
A201,0,4
A533,0,4
A1386,0,4
A2302,0,4
A1306,0,4
A5568,0,4
A1805,0,4
A1848,0,4
A1304,0,4
A3002,0,4
A4474,0,4
A1087,0,4
A1798,0,4
A2076,0,4
A2081,0,4
A1525,0,4
A1806,0,4
A3630,0,4
A1395,0,4
A4467,0,4
A6050,0,4
A1900,0,4
A4281,0,4
A2530,0,4
A6210,0,4
A4392,0,4
A203,0,4
A3879,0,4
A6421,0,4
A4872,0,4
A6123,0,4
A741,0,4
A1723,0,4
A2376,0,4
A3396,0,4
A1058,1,4
A3703,0,4
A4839,0,4
A5455,0,4
A6920,0,4
A1085,0,4
A3106,1,4
A6036,0,4
A752,0,4
A4252,0,4
A2879,0,4
A59,0,4
A4356,0,4
A4175,0,4
A5899,0,4
A5852,0,4
A3178,0,4
A1581,0,4
A3628,0,4
A5298,0,4
A5521,0,4
A3401,0,4
A4338,0,4
A4857,0,4
A2572,0,4
A1632,0,4
A3357,0,4
A404,0,4
A2535,0,4
A3550,0,4
A5273,0,4
A2947,0,4
A3702,0,4
A5497,0,4
A2047,0,4
A2626,0,4
A4619,2,4
A5356,0,4
A5505,0,4
A70,0,4
A1520,0,4
A1392,0,4
A1879,0,4
A2352,0,4
A3609,0,4
A3332,0,4
A1064,0,4
A3701,0,4
A817,0,4
A512,0,4
A4639,1,4
A6395,0,4
A2503,0,4
A2540,0,4
A1054,0,4
A2190,0,4
A6219,0,4
A1474,0,4
A2202,0,4
A6329,0,4
A1243,0,4
A3566,0,4
A3632,0,4
A4229,0,4
A3136,0,4
A151,2,4
A1984,0,4
A2774,0,4
A2860,2,4
A1089,0,4
A2300,0,4
A2425,0,4
A293,0,4
A5349,0,4
A3451,0,4
A4785,0,4
A1969,0,4
A2428,0,4
A236,0,4
A945,0,4
A1017,0,4
A1239,0,4
A2021,2,4
A4541,0,4
A5676,0,4
A237,0,4
A1697,0,4
A2726,0,4
A3105,1,4
A209,0,4
A1086,0,4
A2549,0,4
A297,0,4
A3282,0,4
A4344,0,4
A918,0,4
A2546,0,4
A5725,0,4
A6153,0,4
A2799,0,4
A388,0,4
A6746,0,4
A150,2,4
A5659,0,4
A1439,0,4
A1720,0,4
A2906,0,4
A4090,0,4
A847,0,4
A6866,0,4
A1731,0,4
A5943,0,4
A2848,0,4
A4621,2,4
A843,0,4
A1133,0,4
A2712,0,4
A3273,0,4
A1384,0,4
A6221,0,4
A2374,0,4
A2798,0,4
A3044,0,4
A2852,0,4
A2895,0,4
A4684,0,4
A4654,0,4
A5520,0,4
A2489,1,4
A3755,0,4
A5251,0,4
A2570,0,4
A1967,0,4
A2430,0,4
A4211,0,4
A3738,0,4
A3324,0,4
A4051,0,4
A1866,0,4
A1950,0,4
A2969,0,4
A3335,0,4
A6371,0,4
A1744,0,4
A1809,0,4
A3321,0,4
A1032,0,4
A1519,0,4
A2223,0,4
A2351,0,4
A179,0,4
A531,0,4
A1874,0,4
A3731,0,4
A4648,0,4
A463,0,4
A250,0,4
A811,0,4
A1545,2,4
A5564,0,4
A5272,0,4
A5722,0,4
A6269,0,4
A736,0,4
A2046,0,4
A3140,0,4
A6049,0,4
A4349,0,4
A896,0,4
A1795,0,4
A3727,0,4
A5297,0,4
A3492,0,4
A1397,0,4
A1869,0,4
A4072,0,4
A1351,0,4
A1603,0,4
A1719,0,4
A4235,0,4
A247,0,4
A4627,0,4
A5546,0,4
A2111,0,4
A1377,0,4
A2405,0,4
A4423,0,4
A4790,0,4
A348,0,4
A1238,0,4
A3489,0,4
A4650,0,4
A357,0,4
A517,0,4
A4789,0,4
A264,0,4
A2466,0,4
A3326,0,4
A4425,0,4
A673,0,4
A1236,0,4
A2423,0,4
A149,2,4
A4647,0,4
A6744,0,4
A818,2,4
A1543,0,4
A2279,0,4
A235,0,4
A4626,0,4
A2286,0,4
A4069,0,4
A4379,0,4
A868,0,4
A4030,0,4
A5430,0,4
A3607,0,4
A5133,0,4
A3831,0,4
A4268,0,4
A1524,0,4
A1975,0,4
A1593,0,4
A3066,0,4
A5143,0,4
A5816,0,4
A1622,0,4
A1694,0,4
A3301,0,4
A1801,0,4
A252,0,4
A1980,0,4
A3919,0,4
A5813,0,4
A461,0,4
A930,0,4
A1820,0,4
A3873,0,4
A6037,0,4
A154,0,4
A919,0,4
A2058,0,4
A3931,0,4
A3410,0,4
A4838,0,4
A6910,0,4
A694,0,4
A1123,0,4
A1906,0,4
A5420,0,4
A1716,0,4
A1847,0,4
A4837,0,4
A1523,0,4
