stage,title_history2sid_enabled,alignment_enabled,description_task_probability,tokenizer_record_id,tokenizer_variant,downstream_run_count,mean_ndcg_at_10,mean_hr_at_10,record_ids,tokenizer_generated_collision_rate,tokenizer_generated_collision_count,index_path,catalog_item_weighted_mean_l2_item_count,catalog_item_weighted_mean_l2_leaf_count,catalog_item_fraction_multileaf_l2,catalog_item_fraction_multileaf_l2_ge4,catalog_weighted_l3_entropy_given_l2_bits,test_target_weighted_mean_l2_item_count,test_target_weighted_median_l2_item_count,test_target_weighted_mean_l2_leaf_count,test_target_weighted_median_l2_leaf_count,test_target_fraction_multileaf_l2,test_target_fraction_multileaf_l2_ge4,test_target_weighted_mean_l3_entropy_bits,prefix_item_fraction_singleton,prefix_item_fraction_consistent_crowded,prefix_item_fraction_mixed_crowded,prefix_item_fraction_inconsistent_crowded,prefix_item_weighted_mean_leaf_count,prefix_item_weighted_mean_graph_affinity,prefix_item_weighted_mean_semantic_sim,prefix_item_weighted_mean_crowded_strong_pair_fraction,prefix_test_fraction_singleton,prefix_test_fraction_consistent_crowded,prefix_test_fraction_mixed_crowded,prefix_test_fraction_inconsistent_crowded,prefix_test_weighted_mean_leaf_count,prefix_test_weighted_mean_graph_affinity,prefix_test_weighted_mean_semantic_sim
sft_eval,true,false,0.5,tok_industrial_original_semantic,original_semantic_industrial,1,0.09872236,0.14714317,['sft_industrial_noalign_20260323_235623'],0.0043407488,16,/home/leejt/OneRec/data/Amazon/index/Industrial_and_Scientific.index.json,3.28540423223006,3.2517634291915356,0.5621269669017905,0.2202930005425936,1.0253874226368087,5.969997793955438,2.0,5.739686741672182,2.0,0.6062210456651225,0.3075226119567615,1.4072536170168397,0.43787303309820946,0.13483450895279436,0.0056972327726532825,0.4215952251763429,3.2517634291915356,0.023231326366789977,0.5382921171103273,0.2937107001936194,0.3937789543348776,0.11736157070372821,0.003529671299360247,0.485329803662034,5.739686741672182,0.02515864380104666,0.6338164677301263
sft_eval,true,true,0.5,tok_industrial_original_semantic,original_semantic_industrial,2,0.100265925,0.14416500999999998,"['sft_industrial_align_20260325_004842', 'legacy_sft_industrial_refactor_align']",0.0043407488,16,/home/leejt/OneRec/data/Amazon/index/Industrial_and_Scientific.index.json,3.28540423223006,3.2517634291915356,0.5621269669017905,0.2202930005425936,1.0253874226368087,5.969997793955438,2.0,5.739686741672182,2.0,0.6062210456651225,0.3075226119567615,1.4072536170168397,0.43787303309820946,0.13483450895279436,0.0056972327726532825,0.4215952251763429,3.2517634291915356,0.023231326366789977,0.5382921171103273,0.2937107001936194,0.3937789543348776,0.11736157070372821,0.003529671299360247,0.485329803662034,5.739686741672182,0.02515864380104666,0.6338164677301263
sft_eval,false,false,0.5,tok_industrial_original_semantic,original_semantic_industrial,2,0.09586404500000001,0.14052504,"['sft_industrial_title_history2sid_off__desc_align_off_20260325_131408', 'sft_industrial_title_history2sid_off__desc_align_off_mb4_20260326_003015']",0.0043407488,16,/home/leejt/OneRec/data/Amazon/index/Industrial_and_Scientific.index.json,3.28540423223006,3.2517634291915356,0.5621269669017905,0.2202930005425936,1.0253874226368087,5.969997793955438,2.0,5.739686741672182,2.0,0.6062210456651225,0.3075226119567615,1.4072536170168397,0.43787303309820946,0.13483450895279436,0.0056972327726532825,0.4215952251763429,3.2517634291915356,0.023231326366789977,0.5382921171103273,0.2937107001936194,0.3937789543348776,0.11736157070372821,0.003529671299360247,0.485329803662034,5.739686741672182,0.02515864380104666,0.6338164677301263
sft_eval,false,true,0.5,tok_industrial_original_semantic,original_semantic_industrial,1,0.10372025,0.15089345,['sft_industrial_title_history2sid_off__desc_align_p05_20260325_192249'],0.0043407488,16,/home/leejt/OneRec/data/Amazon/index/Industrial_and_Scientific.index.json,3.28540423223006,3.2517634291915356,0.5621269669017905,0.2202930005425936,1.0253874226368087,5.969997793955438,2.0,5.739686741672182,2.0,0.6062210456651225,0.3075226119567615,1.4072536170168397,0.43787303309820946,0.13483450895279436,0.0056972327726532825,0.4215952251763429,3.2517634291915356,0.023231326366789977,0.5382921171103273,0.2937107001936194,0.3937789543348776,0.11736157070372821,0.003529671299360247,0.485329803662034,5.739686741672182,0.02515864380104666,0.6338164677301263
sft_eval,true,false,0.5,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,1,0.10081912,0.14251048,['sft_industrial_mgr_tokenizer_v2_offline_20260411_024035'],0.0035268584,13,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tokenizer_v2/generated_indices/Industrial_and_Scientific.mgr_tokenizer_v2_offline.index.json,2.414541508410201,2.3944655453065655,0.4234943027672273,0.13076505697232774,0.715048271179983,4.414515773218619,2.0,4.342157511581734,1.0,0.4873152437679241,0.2228105007721156,1.100114543698025,0.5765056972327727,0.12208355941399891,0.0024416711882799783,0.29896907216494845,2.3944655453065655,0.020467834425809888,0.41076699176373405,0.32141012948187836,0.5126847562320759,0.11471431722920802,0.001544231193470108,0.371056695345246,4.342157511581734,0.023510258989087984,0.5257519903955592
rl_eval,false,true,0.5,tok_industrial_original_semantic,original_semantic_industrial,2,0.10529651,0.1484668,"['rl_industrial_title_history2sid_off__desc_align_p05_batch256_20260329_152417', 'rl_industrial_title_history2sid_off__desc_align_p05_20260327_125414']",0.0043407488,16,/home/leejt/OneRec/data/Amazon/index/Industrial_and_Scientific.index.json,3.28540423223006,3.2517634291915356,0.5621269669017905,0.2202930005425936,1.0253874226368087,5.969997793955438,2.0,5.739686741672182,2.0,0.6062210456651225,0.3075226119567615,1.4072536170168397,0.43787303309820946,0.13483450895279436,0.0056972327726532825,0.4215952251763429,3.2517634291915356,0.023231326366789977,0.5382921171103273,0.2937107001936194,0.3937789543348776,0.11736157070372821,0.003529671299360247,0.485329803662034,5.739686741672182,0.02515864380104666,0.6338164677301263
rl_eval,false,false,-,tok_industrial_original_semantic,original_semantic_industrial,2,0.100791205,0.139863225,"['legacy_rl_industrial_refactor', 'rl_industrial_title_history2sid_off__desc_align_off_mb4_20260326_130556']",0.0043407488,16,/home/leejt/OneRec/data/Amazon/index/Industrial_and_Scientific.index.json,3.28540423223006,3.2517634291915356,0.5621269669017905,0.2202930005425936,1.0253874226368087,5.969997793955438,2.0,5.739686741672182,2.0,0.6062210456651225,0.3075226119567615,1.4072536170168397,0.43787303309820946,0.13483450895279436,0.0056972327726532825,0.4215952251763429,3.2517634291915356,0.023231326366789977,0.5382921171103273,0.2937107001936194,0.3937789543348776,0.11736157070372821,0.003529671299360247,0.485329803662034,5.739686741672182,0.02515864380104666,0.6338164677301263
sft_eval,false,false,-,tok_industrial_original_semantic,original_semantic_industrial,1,0.09930147,0.14206927,['legacy_sft_industrial_refactor'],0.0043407488,16,/home/leejt/OneRec/data/Amazon/index/Industrial_and_Scientific.index.json,3.28540423223006,3.2517634291915356,0.5621269669017905,0.2202930005425936,1.0253874226368087,5.969997793955438,2.0,5.739686741672182,2.0,0.6062210456651225,0.3075226119567615,1.4072536170168397,0.43787303309820946,0.13483450895279436,0.0056972327726532825,0.4215952251763429,3.2517634291915356,0.023231326366789977,0.5382921171103273,0.2937107001936194,0.3937789543348776,0.11736157070372821,0.003529671299360247,0.485329803662034,5.739686741672182,0.02515864380104666,0.6338164677301263
sft_eval,true,false,0.5,tok_industrial_mgr_upstream_baseline,mgr_upstream_baseline,1,0.09430022,0.13434811,['sft_industrial_mgr_upstream_baseline_20260410'],0.0035268584,13,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v1_upstream/generated_indices/Industrial_and_Scientific.mgr_upstream_baseline.index.json,3.202930005425936,3.1869234943027673,0.6006511123168746,0.2580032555615844,1.1119552143289912,4.8658724906243105,3.0,4.799911758217516,2.0,0.6893889256562983,0.32825943084050296,1.4532937152902716,0.3993488876831253,0.11774281063483451,0.007596310363537711,0.47531199131850244,3.1869234943027673,0.01987904307044427,0.5708473876600096,0.24838418632456583,0.3106110743437017,0.114273108316788,0.003970880211780278,0.57114493712773,4.799911758217516,0.02090858070575197,0.663706495910131
sft_eval,true,false,0.5,tok_industrial_mgr_upstream_hierarchy,mgr_upstream_hierarchy,1,0.09359572,0.13037723,['sft_industrial_mgr_upstream_hierarchy_20260410'],0.0032555616,12,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v1_upstream/generated_indices/Industrial_and_Scientific.mgr_upstream_hierarchy.index.json,2.6711882799782964,2.659251220835594,0.49538795442213784,0.17905588714053175,0.866406841304097,4.512243547319656,2.0,4.449812486212221,2.0,0.6130597838076329,0.2828149128612398,1.2935251106385623,0.5046120455778622,0.12805208898534998,0.00705371676614216,0.3602821486706457,2.659251220835594,0.022600498640786157,0.4766035839609345,0.30081044030053694,0.38694021619236707,0.10368409441870725,0.04213545113611295,0.4672402382528127,4.449812486212221,0.021750849856068726,0.5956905384242708
sft_eval,false,true,0.5,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,1,0.08993428,0.13081844,['sft_industrial_mgr_tokenizer_v2_desc_align_p05_20260411_141710'],0.0035268584,13,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tokenizer_v2/generated_indices/Industrial_and_Scientific.mgr_tokenizer_v2_offline.index.json,2.414541508410201,2.3944655453065655,0.4234943027672273,0.13076505697232774,0.715048271179983,4.414515773218619,2.0,4.342157511581734,1.0,0.4873152437679241,0.2228105007721156,1.100114543698025,0.5765056972327727,0.12208355941399891,0.0024416711882799783,0.29896907216494845,2.3944655453065655,0.020467834425809888,0.41076699176373405,0.32141012948187836,0.5126847562320759,0.11471431722920802,0.001544231193470108,0.371056695345246,4.342157511581734,0.023510258989087984,0.5257519903955592
sft_eval,true,true,0.5,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,1,0.10270767,0.14626075,['sft_industrial_mgr_tokenizer_v2_title_on_desc_p05_20260411_191025'],0.0035268584,13,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tokenizer_v2/generated_indices/Industrial_and_Scientific.mgr_tokenizer_v2_offline.index.json,2.414541508410201,2.3944655453065655,0.4234943027672273,0.13076505697232774,0.715048271179983,4.414515773218619,2.0,4.342157511581734,1.0,0.4873152437679241,0.2228105007721156,1.100114543698025,0.5765056972327727,0.12208355941399891,0.0024416711882799783,0.29896907216494845,2.3944655453065655,0.020467834425809888,0.41076699176373405,0.32141012948187836,0.5126847562320759,0.11471431722920802,0.001544231193470108,0.371056695345246,4.342157511581734,0.023510258989087984,0.5257519903955592
sft_eval,false,false,0.5,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,1,0.09125202,0.1339069,['sft_industrial_mgr_tokenizer_v2_title_off_desc_off_20260411_224557'],0.0035268584,13,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tokenizer_v2/generated_indices/Industrial_and_Scientific.mgr_tokenizer_v2_offline.index.json,2.414541508410201,2.3944655453065655,0.4234943027672273,0.13076505697232774,0.715048271179983,4.414515773218619,2.0,4.342157511581734,1.0,0.4873152437679241,0.2228105007721156,1.100114543698025,0.5765056972327727,0.12208355941399891,0.0024416711882799783,0.29896907216494845,2.3944655453065655,0.020467834425809888,0.41076699176373405,0.32141012948187836,0.5126847562320759,0.11471431722920802,0.001544231193470108,0.371056695345246,4.342157511581734,0.023510258989087984,0.5257519903955592
rl_eval,true,true,0.5,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,1,0.10431921,0.14184867,['rl_industrial_mgr_tokenizer_v2_title_on_desc_p05_20260412_191449'],0.0035268584,13,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tokenizer_v2/generated_indices/Industrial_and_Scientific.mgr_tokenizer_v2_offline.index.json,2.414541508410201,2.3944655453065655,0.4234943027672273,0.13076505697232774,0.715048271179983,4.414515773218619,2.0,4.342157511581734,1.0,0.4873152437679241,0.2228105007721156,1.100114543698025,0.5765056972327727,0.12208355941399891,0.0024416711882799783,0.29896907216494845,2.3944655453065655,0.020467834425809888,0.41076699176373405,0.32141012948187836,0.5126847562320759,0.11471431722920802,0.001544231193470108,0.371056695345246,4.342157511581734,0.023510258989087984,0.5257519903955592
sft_eval,true,true,0.5,tok_industrial_stage2_r202a_stopgrad,stage2_r202a_stopgrad,1,0.09973721,0.14251048,['sft_industrial_mgr_stage2_r202a_title_on_desc_p05_20260413_064109'],0.0035268584,13,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage2_retention_20260413/generated_indices/Industrial_and_Scientific.stage2_r202a_stopgrad.index.json,2.3521432447097124,2.3402061855670104,0.44465545306565385,0.12506782419967444,0.7282114274183588,3.675490844915067,2.0,3.614824619457313,1.0,0.49878667549084493,0.19942642841385397,1.030771840436369,0.5553445469343462,0.12940857297883884,0.009766684753119913,0.3054801953336951,2.3402061855670104,0.022236622419401483,0.43196332677682264,0.32708625521316176,0.5012133245091551,0.10787557908669755,0.028457974851091992,0.36245312155305537,3.614824619457313,0.023804707975726768,0.5364855725466443
sft_eval,true,true,0.5,tok_industrial_stage3_r401b_g005,stage3_r401b_g005,1,0.09905007,0.1385396,['sft_industrial_mgr_stage3_r401b_title_on_desc_p05_20260415_003935'],0.0029842648,11,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_prefix_retained_20260414/generated_indices/Industrial_and_Scientific.stage3_r401b_g005.index.json,1.8594682582745523,1.8532284319045036,0.3046663049376017,0.07189365165491048,0.47039445401932173,2.755790866975513,1.0,2.696668872711229,1.0,0.38804323847341715,0.15221707478491064,0.7373406972366389,0.6953336950623983,0.11801410743353229,0.008952794357026587,0.17769940314704286,1.8532284319045036,0.02087638161935245,0.30203610697366184,0.3883379809330035,0.6119567615265828,0.12971542025148908,0.020516214427531435,0.23781160379439664,2.696668872711229,0.024388665768822867,0.43421016891760794
sft_eval,true,true,0.5,tok_industrial_stage3_r401d_g005_a005,stage3_r401d_g005_a005,1,0.09353784,0.13148026,['sft_industrial_mgr_stage3_r401d_title_on_desc_p05_20260415_034005'],0.0029842648,11,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_prefix_retained_20260414/generated_indices/Industrial_and_Scientific.stage3_r401d_g005_a005.index.json,1.818773738469886,1.8122626153011394,0.31443298969072164,0.07650569723277266,0.47141413189546894,2.630266931392014,1.0,2.57114493712773,1.0,0.3816457092433267,0.14626075446724024,0.7156436267658655,0.6855670103092784,0.11774281063483451,0.004340748779164406,0.19234943027672274,1.8122626153011394,0.02085203361296418,0.31033948359206026,0.37353233529610624,0.6183542907566733,0.1341275093756894,0.013015662916390912,0.23450253695124643,2.57114493712773,0.023896177367634153,0.42807334892033083
sft_eval,true,true,0.5,tok_industrial_tagcf_r510_attr_mid,tagcf_r510_attr_mid,1,0.09758171,0.13148026,['sft_industrial_mgr_tagcf_r510_title_on_desc_p05_20260415_172218'],0.0029842648,11,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tagcf_branch_20260415/generated_indices/Industrial_and_Scientific.tagcf_r510_attr_mid.index.json,2.4064026044492675,2.39880629408573,0.47368421052631576,0.1342919153553988,0.77653053470127,3.744098830796382,2.0,3.684756232075888,2.0,0.527685859254357,0.228546216633576,1.089844032372157,0.5263157894736842,0.12913727618014106,0.005154639175257732,0.33939229517091696,2.39880629408573,0.023121326663302494,0.45695066711979043,0.31275908954299897,0.47231414074564304,0.11625854842267813,0.0026472534745201853,0.4087800573571586,3.684756232075888,0.024863758609525676,0.5601287081755154
