item_a,item_b,semantic_sim,graph_affinity,user_overlap,reliability,coarse_affinity,mid_affinity,local_affinity,rule
2822,3030,0.04135558381676674,0.0,0.0,0.04135558381676674,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1608,2528,0.03905431553721428,0.0,0.0,0.03905431553721428,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1082,1608,0.038878899067640305,0.0,0.0,0.038878899067640305,0.0,0.0,0.0,semantic_near_graph_non_neighbor
2075,2076,0.0386991947889328,0.0,0.0,0.0386991947889328,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1072,1608,0.03864118084311485,0.0,0.0,0.03864118084311485,0.0,0.0,0.0,semantic_near_graph_non_neighbor
429,2725,0.038615524768829346,0.0,0.0,0.038615524768829346,0.0,0.0,0.0,semantic_near_graph_non_neighbor
263,2670,0.03824523463845253,0.0,0.0,0.03824523463845253,0.0,0.0,0.0,semantic_near_graph_non_neighbor
3266,3564,0.038232866674661636,0.0,0.0,0.038232866674661636,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1046,2553,0.03806176036596298,0.0,0.0,0.03806176036596298,0.0,0.0,0.0,semantic_near_graph_non_neighbor
2639,2646,0.038036201149225235,0.0,0.0,0.038036201149225235,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1389,1608,0.03802698105573654,0.0,0.0,0.03802698105573654,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1822,2031,0.03796863928437233,0.0,0.0,0.03796863928437233,0.0,0.0,0.0,semantic_near_graph_non_neighbor
2426,3072,0.03793654218316078,0.0,0.0,0.03793654218316078,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1305,1317,0.03782305493950844,0.0,0.0,0.03782305493950844,0.0,0.0,0.0,semantic_near_graph_non_neighbor
70,1761,0.03770681098103523,0.0,0.0,0.03770681098103523,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1880,1942,0.03770364075899124,0.0,0.0,0.03770364075899124,0.0,0.0,0.0,semantic_near_graph_non_neighbor
2018,3062,0.03769944980740547,0.0,0.0,0.03769944980740547,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1305,1358,0.037690985947847366,0.0,0.0,0.037690985947847366,0.0,0.0,0.0,semantic_near_graph_non_neighbor
787,937,0.037638891488313675,0.0,0.0,0.037638891488313675,0.0,0.0,0.0,semantic_near_graph_non_neighbor
2339,2907,0.03760339319705963,0.0,0.0,0.03760339319705963,0.0,0.0,0.0,semantic_near_graph_non_neighbor
231,2257,0.037596698850393295,0.0,0.0,0.037596698850393295,0.0,0.0,0.0,semantic_near_graph_non_neighbor
330,2648,0.037363845854997635,0.0,0.0,0.037363845854997635,0.0,0.0,0.0,semantic_near_graph_non_neighbor
56,836,0.03734036535024643,0.0,0.0,0.03734036535024643,0.0,0.0,0.0,semantic_near_graph_non_neighbor
302,993,0.037337932735681534,0.0,0.0,0.037337932735681534,0.0,0.0,0.0,semantic_near_graph_non_neighbor
163,3167,0.037322863936424255,0.0,0.0,0.037322863936424255,0.0,0.0,0.0,semantic_near_graph_non_neighbor
1082,2528,0.03723471611738205,0.0,0.0,0.03723471611738205,0.0,0.0,0.0,semantic_near_graph_non_neighbor
