set,tokenizer,n_items,active_l1_in_set,items_per_l1_in_set,max_l1_bucket_in_set,active_l2_in_set,items_per_l2_in_set,max_l2_bucket_in_set
r650_regression_items,orig,80,24,3.3333333333333335,19,65,1.2307692307692308,9
r650_regression_items,v2,80,51,1.5686274509803921,12,68,1.1764705882352942,8
r650_regression_items,r650,80,50,1.6,12,69,1.1594202898550725,5
r650_regression_items,r660,80,48,1.6666666666666667,11,69,1.1594202898550725,4
r650_hotspot_items,orig,95,25,3.8,27,68,1.3970588235294117,11
r650_hotspot_items,v2,95,54,1.7592592592592593,18,74,1.2837837837837838,10
r650_hotspot_items,r650,95,49,1.9387755102040816,16,73,1.3013698630136987,7
r650_hotspot_items,r660,95,51,1.8627450980392157,15,73,1.3013698630136987,6
r650_graph_top_loss_items,orig,30,12,2.5,15,22,1.3636363636363635,6
r650_graph_top_loss_items,v2,30,20,1.5,10,24,1.25,5
r650_graph_top_loss_items,r650,30,18,1.6666666666666667,6,24,1.25,4
r650_graph_top_loss_items,r660,30,19,1.5789473684210527,9,25,1.2,4
r650_regression_3d_filament,orig,21,2,10.5,18,9,2.3333333333333335,9
r650_regression_3d_filament,v2,21,8,2.625,12,11,1.9090909090909092,8
r650_regression_3d_filament,r650,21,7,3.0,12,12,1.75,5
r650_regression_3d_filament,r660,21,7,3.0,11,12,1.75,4
r650_hotspot_3d_filament,orig,34,4,8.5,26,13,2.6153846153846154,11
r650_hotspot_3d_filament,v2,34,9,3.7777777777777777,18,16,2.125,10
r650_hotspot_3d_filament,r650,34,7,4.857142857142857,16,16,2.125,7
r650_hotspot_3d_filament,r660,34,8,4.25,15,15,2.2666666666666666,6
