source,item_id,title,family,eval_count,loss,gain,net_loss,orig_sid,orig_l1,orig_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_same_family_count,orig_l2_same_family_count,orig_l1_family_purity,orig_l2_family_purity,v2_sid,v2_l1,v2_l2,v2_l1_bucket_size,v2_l2_bucket_size,v2_l1_same_family_count,v2_l2_same_family_count,v2_l1_family_purity,v2_l2_family_purity,r650_sid,r650_l1,r650_l2,r650_l1_bucket_size,r650_l2_bucket_size,r650_l1_same_family_count,r650_l2_same_family_count,r650_l1_family_purity,r650_l2_family_purity,r660_sid,r660_l1,r660_l2,r660_l1_bucket_size,r660_l2_bucket_size,r660_l1_same_family_count,r660_l2_same_family_count,r660_l1_family_purity,r660_l2_family_purity
r650_graph_loss,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,200,19,3,16,<a_107><b_93><c_0>,<a_107>,<a_107><b_93>,66,2,38,2,0.5757575757575758,1.0,<a_154><b_37><c_0>,<a_154>,<a_154><b_37>,12,2,10,2,0.8333333333333334,1.0,<a_79><b_250><c_0>,<a_79>,<a_79><b_250>,17,2,2,2,0.11764705882352941,1.0,<a_155><b_236><c_0>,<a_155>,<a_155><b_236>,21,2,11,2,0.5238095238095238,1.0
r650_graph_loss,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,31,16,0,16,<a_223><b_80><c_84>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_22><b_122><c_191>,<a_22>,<a_22><b_122>,24,1,23,1,0.9583333333333334,1.0,<a_107><b_131><c_34>,<a_107>,<a_107><b_131>,74,3,74,3,1.0,1.0,<a_58><b_228><c_63>,<a_58>,<a_58><b_228>,64,3,57,3,0.890625,1.0
r650_graph_loss,3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,11,8,0,8,<a_223><b_80><c_23>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_213>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_219>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_68><c_26>,<a_58>,<a_58><b_68>,64,9,57,8,0.890625,0.8888888888888888
r650_graph_loss,3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3d_filament,14,8,1,7,<a_223><b_80><c_11>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_20>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_131><c_120>,<a_107>,<a_107><b_131>,74,3,74,3,1.0,1.0,<a_58><b_228><c_20>,<a_58>,<a_58><b_228>,64,3,57,3,0.890625,1.0
r650_graph_loss,3016,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",3d_filament,17,7,1,6,<a_223><b_201><c_101>,<a_223>,<a_223><b_201>,247,3,229,1,0.9271255060728745,0.3333333333333333,<a_112><b_249><c_241>,<a_112>,<a_112><b_249>,97,2,97,2,1.0,1.0,<a_18><b_200><c_187>,<a_18>,<a_18><b_200>,60,4,60,4,1.0,1.0,<a_90><b_52><c_0>,<a_90>,<a_90><b_52>,59,4,59,4,1.0,1.0
r650_graph_loss,2703,"eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black",3d_filament,14,5,0,5,<a_223><b_126><c_0>,<a_223>,<a_223><b_126>,247,10,229,10,0.9271255060728745,1.0,<a_211><b_35><c_13>,<a_211>,<a_211><b_35>,38,7,38,7,1.0,1.0,<a_107><b_68><c_214>,<a_107>,<a_107><b_68>,74,8,74,8,1.0,1.0,<a_90><b_171><c_249>,<a_90>,<a_90><b_171>,59,8,59,8,1.0,1.0
r650_graph_loss,3442,"3D Solutech Real Purple 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,9,4,0,4,<a_223><b_80><c_4>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_38>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_39>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_68><c_0>,<a_58>,<a_58><b_68>,64,9,57,8,0.890625,0.8888888888888888
r650_graph_loss,1847,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,25,4,1,3,<a_223><b_20><c_170>,<a_223>,<a_223><b_20>,247,5,229,5,0.9271255060728745,1.0,<a_45><b_249><c_244>,<a_45>,<a_45><b_249>,19,3,18,3,0.9473684210526315,1.0,<a_215><b_200><c_24>,<a_215>,<a_215><b_200>,50,4,49,4,0.98,1.0,<a_238><b_41><c_184>,<a_238>,<a_238><b_41>,45,4,44,4,0.9777777777777777,1.0
r650_graph_loss,201,"ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D",connector_fitting,8,4,1,3,<a_67><b_185><c_54>,<a_67>,<a_67><b_185>,119,1,94,1,0.7899159663865546,1.0,<a_131><b_191><c_180>,<a_131>,<a_131><b_191>,12,1,4,1,0.3333333333333333,1.0,<a_191><b_33><c_14>,<a_191>,<a_191><b_33>,29,1,24,1,0.8275862068965517,1.0,<a_245><b_64><c_177>,<a_245>,<a_245><b_64>,19,1,11,1,0.5789473684210527,1.0
r650_graph_loss,1850,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",3d_filament,15,3,0,3,<a_223><b_198><c_182>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_53>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_68>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_68>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
