source,item_id,title,family,eval_count,delta_hit10,orig_sid,orig_l1,orig_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_same_family_count,orig_l2_same_family_count,orig_l1_family_purity,orig_l2_family_purity,v2_sid,v2_l1,v2_l2,v2_l1_bucket_size,v2_l2_bucket_size,v2_l1_same_family_count,v2_l2_same_family_count,v2_l1_family_purity,v2_l2_family_purity,r650_sid,r650_l1,r650_l2,r650_l1_bucket_size,r650_l2_bucket_size,r650_l1_same_family_count,r650_l2_same_family_count,r650_l1_family_purity,r650_l2_family_purity,r660_sid,r660_l1,r660_l2,r660_l1_bucket_size,r660_l2_bucket_size,r660_l1_same_family_count,r660_l2_same_family_count,r660_l1_family_purity,r660_l2_family_purity
r650_hotspot,273,"Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 2 ounce Bottle, Brown, (Pack of 4)",adhesive_epoxy,3,-1.0,<a_165><b_107><c_4>,<a_165>,<a_165><b_107>,72,5,59,5,0.8194444444444444,1.0,<a_65><b_51><c_16>,<a_65>,<a_65><b_51>,18,3,17,3,0.9444444444444444,1.0,<a_89><b_230><c_0>,<a_89>,<a_89><b_230>,39,4,13,4,0.3333333333333333,1.0,<a_13><b_72><c_104>,<a_13>,<a_13><b_72>,16,5,15,5,0.9375,1.0
r650_hotspot,3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,11,-0.7272727272727273,<a_223><b_80><c_23>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_213>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_219>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_68><c_26>,<a_58>,<a_58><b_68>,64,9,57,8,0.890625,0.8888888888888888
r650_hotspot,98,"Industrial & Scientific"" />",metadata_placeholder,5,-0.6,<a_15><b_155><c_49>,<a_15>,<a_15><b_155>,31,1,24,1,0.7741935483870968,1.0,<a_247><b_248><c_33>,<a_247>,<a_247><b_248>,25,1,23,1,0.92,1.0,<a_177><b_64><c_5>,<a_177>,<a_177><b_64>,24,1,23,1,0.9583333333333334,1.0,<a_26><b_225><c_52>,<a_26>,<a_26><b_225>,19,1,18,1,0.9473684210526315,1.0
r650_hotspot,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,31,-0.5161290322580645,<a_223><b_80><c_84>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_22><b_122><c_191>,<a_22>,<a_22><b_122>,24,1,23,1,0.9583333333333334,1.0,<a_107><b_131><c_34>,<a_107>,<a_107><b_131>,74,3,74,3,1.0,1.0,<a_58><b_228><c_63>,<a_58>,<a_58><b_228>,64,3,57,3,0.890625,1.0
r650_hotspot,3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3d_filament,14,-0.5,<a_223><b_80><c_11>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_20>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_131><c_120>,<a_107>,<a_107><b_131>,74,3,74,3,1.0,1.0,<a_58><b_228><c_20>,<a_58>,<a_58><b_228>,64,3,57,3,0.890625,1.0
r650_hotspot,560,"Litmus pH Test Strips, Universal Application (pH 1-14), 2 Packs of 100 Strips",test_strip,6,-0.5,<a_94><b_166><c_155>,<a_94>,<a_94><b_166>,111,5,5,5,0.04504504504504504,1.0,<a_92><b_115><c_7>,<a_92>,<a_92><b_115>,12,2,5,2,0.4166666666666667,1.0,<a_160><b_234><c_77>,<a_160>,<a_160><b_234>,19,1,5,1,0.2631578947368421,1.0,<a_101><b_155><c_75>,<a_101>,<a_101><b_155>,13,2,5,2,0.38461538461538464,1.0
r650_hotspot,450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",tape,4,-0.5,<a_202><b_198><c_80>,<a_202>,<a_202><b_198>,117,10,115,10,0.9829059829059829,1.0,<a_177><b_238><c_163>,<a_177>,<a_177><b_238>,34,10,34,10,1.0,1.0,<a_89><b_88><c_194>,<a_89>,<a_89><b_88>,39,10,24,10,0.6153846153846154,1.0,<a_175><b_131><c_198>,<a_175>,<a_175><b_131>,34,10,33,10,0.9705882352941176,1.0
r650_hotspot,3442,"3D Solutech Real Purple 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,9,-0.4444444444444445,<a_223><b_80><c_4>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_38>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_39>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_68><c_0>,<a_58>,<a_58><b_68>,64,9,57,8,0.890625,0.8888888888888888
r650_hotspot,201,"ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D",connector_fitting,8,-0.375,<a_67><b_185><c_54>,<a_67>,<a_67><b_185>,119,1,94,1,0.7899159663865546,1.0,<a_131><b_191><c_180>,<a_131>,<a_131><b_191>,12,1,4,1,0.3333333333333333,1.0,<a_191><b_33><c_14>,<a_191>,<a_191><b_33>,29,1,24,1,0.8275862068965517,1.0,<a_245><b_64><c_177>,<a_245>,<a_245><b_64>,19,1,11,1,0.5789473684210527,1.0
r650_hotspot,2807,VIVOSUN 6 Inch 440 CFM Inline Duct Ventilation Fan with Variable Speed Controller,ventilation_fan,8,-0.375,<a_158><b_91><c_208>,<a_158>,<a_158><b_91>,109,2,4,1,0.03669724770642202,0.5,<a_141><b_44><c_97>,<a_141>,<a_141><b_44>,12,1,3,1,0.25,1.0,<a_21><b_100><c_138>,<a_21>,<a_21><b_100>,36,1,1,1,0.027777777777777776,1.0,<a_182><b_184><c_0>,<a_182>,<a_182><b_184>,19,3,3,3,0.15789473684210525,1.0
r650_hotspot,2703,"eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black",3d_filament,14,-0.3571428571428571,<a_223><b_126><c_0>,<a_223>,<a_223><b_126>,247,10,229,10,0.9271255060728745,1.0,<a_211><b_35><c_13>,<a_211>,<a_211><b_35>,38,7,38,7,1.0,1.0,<a_107><b_68><c_214>,<a_107>,<a_107><b_68>,74,8,74,8,1.0,1.0,<a_90><b_171><c_249>,<a_90>,<a_90><b_171>,59,8,59,8,1.0,1.0
r650_hotspot,3016,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",3d_filament,17,-0.3529411764705882,<a_223><b_201><c_101>,<a_223>,<a_223><b_201>,247,3,229,1,0.9271255060728745,0.3333333333333333,<a_112><b_249><c_241>,<a_112>,<a_112><b_249>,97,2,97,2,1.0,1.0,<a_18><b_200><c_187>,<a_18>,<a_18><b_200>,60,4,60,4,1.0,1.0,<a_90><b_52><c_0>,<a_90>,<a_90><b_52>,59,4,59,4,1.0,1.0
r650_hotspot,3210,Ancor Heat Shrink Ring Terminals,other,6,-0.3333333333333333,<a_67><b_199><c_0>,<a_67>,<a_67><b_199>,119,3,5,0,0.04201680672268908,0.0,<a_83><b_203><c_0>,<a_83>,<a_83><b_203>,56,2,24,0,0.42857142857142855,0.0,<a_84><b_124><c_0>,<a_84>,<a_84><b_124>,23,2,10,0,0.43478260869565216,0.0,<a_118><b_179><c_1>,<a_118>,<a_118><b_179>,34,4,11,0,0.3235294117647059,0.0
r650_hotspot,2871,"3M 468MP Adhesive Transfer Tape, 4"" width x 5yd length (1 roll)",tape,3,-0.3333333333333333,<a_202><b_82><c_207>,<a_202>,<a_202><b_82>,117,4,115,4,0.9829059829059829,1.0,<a_201><b_47><c_33>,<a_201>,<a_201><b_47>,13,1,11,1,0.8461538461538461,1.0,<a_15><b_246><c_226>,<a_15>,<a_15><b_246>,18,1,16,1,0.8888888888888888,1.0,<a_201><b_95><c_64>,<a_201>,<a_201><b_95>,19,2,18,2,0.9473684210526315,1.0
r650_hotspot,45,"Permatex 80050 Clear RTV Silicone Adhesive Sealant, 3 oz",adhesive_epoxy,3,-0.3333333333333333,<a_244><b_4><c_183>,<a_244>,<a_244><b_4>,72,1,13,1,0.18055555555555555,1.0,<a_69><b_111><c_34>,<a_69>,<a_69><b_111>,16,2,2,1,0.125,0.5,<a_135><b_178><c_122>,<a_135>,<a_135><b_178>,19,1,6,1,0.3157894736842105,1.0,<a_134><b_228><c_143>,<a_134>,<a_134><b_228>,15,1,3,1,0.2,1.0
r650_hotspot,1376,"Century Drill and Tool 97205 Plug Hand Pipe Tap, 3/4-14 NPT",other,3,-0.3333333333333333,<a_224><b_88><c_115>,<a_224>,<a_224><b_88>,191,3,59,3,0.3089005235602094,1.0,<a_160><b_169><c_180>,<a_160>,<a_160><b_169>,18,3,14,3,0.7777777777777778,1.0,<a_122><b_191><c_215>,<a_122>,<a_122><b_191>,22,2,17,2,0.7727272727272727,1.0,<a_38><b_36><c_1>,<a_38>,<a_38><b_36>,20,2,14,2,0.7,1.0
r650_hotspot,2793,"First Aid Only Splinter Out, 10 Per Box",other,3,-0.3333333333333333,<a_44><b_124><c_167>,<a_44>,<a_44><b_124>,65,1,62,1,0.9538461538461539,1.0,<a_134><b_174><c_210>,<a_134>,<a_134><b_174>,14,1,14,1,1.0,1.0,<a_182><b_95><c_162>,<a_182>,<a_182><b_95>,23,1,21,1,0.9130434782608695,1.0,<a_100><b_168><c_189>,<a_100>,<a_100><b_168>,20,1,16,1,0.8,1.0
r650_hotspot,734,"microtivity IL188 5mm Assorted Clear LED w/Resistors (8 Colors, Pack of 80)",other,3,-0.3333333333333333,<a_73><b_231><c_56>,<a_73>,<a_73><b_231>,114,1,81,1,0.7105263157894737,1.0,<a_170><b_21><c_30>,<a_170>,<a_170><b_21>,34,2,28,2,0.8235294117647058,1.0,<a_56><b_254><c_138>,<a_56>,<a_56><b_254>,23,1,21,1,0.9130434782608695,1.0,<a_172><b_123><c_241>,<a_172>,<a_172><b_123>,27,1,25,1,0.9259259259259259,1.0
r650_hotspot,1042,uxcell Mandrel Mounted White Conical Felt Point Polishing Tool,other,3,-0.3333333333333333,<a_193><b_64><c_16>,<a_193>,<a_193><b_64>,133,1,118,1,0.8872180451127819,1.0,<a_48><b_18><c_223>,<a_48>,<a_48><b_18>,18,1,18,1,1.0,1.0,<a_6><b_82><c_15>,<a_6>,<a_6><b_82>,10,1,9,1,0.9,1.0,<a_112><b_90><c_174>,<a_112>,<a_112><b_90>,24,1,21,1,0.875,1.0
r650_hotspot,3333,"E-Z Lok Threaded Insert, Brass, Knife Thread, 3/8""-16 Internal Threads, 0.625"" Length (Pack of 10)",other,3,-0.3333333333333333,<a_224><b_133><c_5>,<a_224>,<a_224><b_133>,191,4,59,4,0.3089005235602094,1.0,<a_62><b_225><c_13>,<a_62>,<a_62><b_225>,33,4,6,4,0.18181818181818182,1.0,<a_122><b_157><c_144>,<a_122>,<a_122><b_157>,22,4,17,4,0.7727272727272727,1.0,<a_41><b_190><c_79>,<a_41>,<a_41><b_190>,35,3,16,3,0.45714285714285713,1.0
r650_hotspot,416,PRO 1 Fuel Line Hose 1/4 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,connector_fitting,7,-0.2857142857142857,<a_228><b_75><c_44>,<a_228>,<a_228><b_75>,96,2,11,2,0.11458333333333333,1.0,<a_161><b_203><c_20>,<a_161>,<a_161><b_203>,16,2,10,2,0.625,1.0,<a_156><b_243><c_19>,<a_156>,<a_156><b_243>,18,2,3,2,0.16666666666666666,1.0,<a_164><b_154><c_200>,<a_164>,<a_164><b_154>,29,2,5,2,0.1724137931034483,1.0
r650_hotspot,444,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,8,-0.25,<a_223><b_198><c_114>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_39><c_244>,<a_112>,<a_112><b_39>,97,21,97,21,1.0,1.0,<a_107><b_101><c_115>,<a_107>,<a_107><b_101>,74,21,74,21,1.0,1.0,<a_90><b_109><c_174>,<a_90>,<a_90><b_109>,59,21,59,21,1.0,1.0
r650_hotspot,2152,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gold",3d_filament,8,-0.25,<a_223><b_198><c_100>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_65><c_103>,<a_112>,<a_112><b_65>,97,23,97,23,1.0,1.0,<a_18><b_11><c_110>,<a_18>,<a_18><b_11>,60,22,60,22,1.0,1.0,<a_58><b_109><c_233>,<a_58>,<a_58><b_109>,64,22,57,22,0.890625,1.0
r650_hotspot,175,"Gorilla Crystal Clear Duct Tape, 1.88&rdquo; x 9 yd, Clear, (Pack of 1)",tape,8,-0.25,<a_202><b_52><c_97>,<a_202>,<a_202><b_52>,117,8,115,8,0.9829059829059829,1.0,<a_79><b_21><c_174>,<a_79>,<a_79><b_21>,14,1,2,1,0.14285714285714285,1.0,<a_89><b_157><c_17>,<a_89>,<a_89><b_157>,39,3,24,2,0.6153846153846154,0.6666666666666666,<a_175><b_72><c_54>,<a_175>,<a_175><b_72>,34,2,33,2,0.9705882352941176,1.0
r650_hotspot,1953,"Funnel, Regular stem, glass, 50 OD x 50mm stem",other,4,-0.25,<a_94><b_221><c_88>,<a_94>,<a_94><b_221>,111,1,94,1,0.8468468468468469,1.0,<a_193><b_240><c_73>,<a_193>,<a_193><b_240>,13,1,13,1,1.0,1.0,<a_209><b_67><c_74>,<a_209>,<a_209><b_67>,19,1,19,1,1.0,1.0,<a_44><b_140><c_103>,<a_44>,<a_44><b_140>,14,1,11,1,0.7857142857142857,1.0
r650_hotspot,2419,"HATCHBOX 3D ABS-1KG1.75-BLU ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue",3d_filament,4,-0.25,<a_223><b_198><c_3>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_39><c_176>,<a_112>,<a_112><b_39>,97,21,97,21,1.0,1.0,<a_107><b_101><c_69>,<a_107>,<a_107><b_101>,74,21,74,21,1.0,1.0,<a_90><b_109><c_143>,<a_90>,<a_90><b_109>,59,21,59,21,1.0,1.0
r650_hotspot,232,"Karter Scientific 213A2 Borosilicate Glass Low Form Glass Beaker, 50/100/250/500/1000 mL (Pack of 5)",other,4,-0.25,<a_94><b_163><c_50>,<a_94>,<a_94><b_163>,111,1,94,1,0.8468468468468469,1.0,<a_233><b_160><c_239>,<a_233>,<a_233><b_160>,35,1,33,1,0.9428571428571428,1.0,<a_229><b_37><c_31>,<a_229>,<a_229><b_37>,17,1,16,1,0.9411764705882353,1.0,<a_108><b_169><c_28>,<a_108>,<a_108><b_169>,24,2,23,2,0.9583333333333334,1.0
