source,item_id,title,family,eval_count,delta_hit10_rate,orig_hit10_rate,r650_hit10_rate,orig_sid,orig_l1,orig_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_same_family_count,orig_l2_same_family_count,orig_l1_family_purity,orig_l2_family_purity,v2_sid,v2_l1,v2_l2,v2_l1_bucket_size,v2_l2_bucket_size,v2_l1_same_family_count,v2_l2_same_family_count,v2_l1_family_purity,v2_l2_family_purity,r650_sid,r650_l1,r650_l2,r650_l1_bucket_size,r650_l2_bucket_size,r650_l1_same_family_count,r650_l2_same_family_count,r650_l1_family_purity,r650_l2_family_purity,r660_sid,r660_l1,r660_l2,r660_l1_bucket_size,r660_l2_bucket_size,r660_l1_same_family_count,r660_l2_same_family_count,r660_l1_family_purity,r660_l2_family_purity
r650_regression,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,31,-0.6451612903225807,0.7096774193548387,0.064516129032258,<a_223><b_80><c_84>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_22><b_122><c_191>,<a_22>,<a_22><b_122>,24,1,23,1,0.9583333333333334,1.0,<a_107><b_131><c_34>,<a_107>,<a_107><b_131>,74,3,74,3,1.0,1.0,<a_58><b_228><c_63>,<a_58>,<a_58><b_228>,64,3,57,3,0.890625,1.0
r650_regression,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,132,-0.106060606060606,0.8257575757575758,0.7196969696969697,<a_107><b_93><c_0>,<a_107>,<a_107><b_93>,66,2,38,2,0.5757575757575758,1.0,<a_154><b_37><c_0>,<a_154>,<a_154><b_37>,12,2,10,2,0.8333333333333334,1.0,<a_79><b_250><c_0>,<a_79>,<a_79><b_250>,17,2,2,2,0.11764705882352941,1.0,<a_155><b_236><c_0>,<a_155>,<a_155><b_236>,21,2,11,2,0.5238095238095238,1.0
r650_regression,3112,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",3d_filament,32,-0.28125,0.53125,0.25,<a_223><b_80><c_3>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_191>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_131><c_184>,<a_107>,<a_107><b_131>,74,3,74,3,1.0,1.0,<a_58><b_228><c_169>,<a_58>,<a_58><b_228>,64,3,57,3,0.890625,1.0
r650_regression,2660,"3D Solutech Real Grey 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,10,-0.7,0.7,0.0,<a_223><b_80><c_158>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_4>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_1><c_55>,<a_107>,<a_107><b_1>,74,18,74,18,1.0,1.0,<a_58><b_150><c_108>,<a_58>,<a_58><b_150>,64,14,57,14,0.890625,1.0
r650_regression,444,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,8,-0.5,0.625,0.125,<a_223><b_198><c_114>,<a_223>,<a_223><b_198>,247,47,229,47,0.9271255060728745,1.0,<a_112><b_39><c_244>,<a_112>,<a_112><b_39>,97,21,97,21,1.0,1.0,<a_107><b_101><c_115>,<a_107>,<a_107><b_101>,74,21,74,21,1.0,1.0,<a_90><b_109><c_174>,<a_90>,<a_90><b_109>,59,21,59,21,1.0,1.0
r650_regression,1847,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White",3d_filament,25,-0.12,0.68,0.56,<a_223><b_20><c_170>,<a_223>,<a_223><b_20>,247,5,229,5,0.9271255060728745,1.0,<a_45><b_249><c_244>,<a_45>,<a_45><b_249>,19,3,18,3,0.9473684210526315,1.0,<a_215><b_200><c_24>,<a_215>,<a_215><b_200>,50,4,49,4,0.98,1.0,<a_238><b_41><c_184>,<a_238>,<a_238><b_41>,45,4,44,4,0.9777777777777777,1.0
r650_regression,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",tape,15,-0.0666666666666666,0.3333333333333333,0.2666666666666666,<a_202><b_52><c_171>,<a_202>,<a_202><b_52>,117,8,115,8,0.9829059829059829,1.0,<a_171><b_140><c_31>,<a_171>,<a_171><b_140>,27,5,22,5,0.8148148148148148,1.0,<a_89><b_247><c_160>,<a_89>,<a_89><b_247>,39,4,24,4,0.6153846153846154,1.0,<a_175><b_145><c_231>,<a_175>,<a_175><b_145>,34,5,33,5,0.9705882352941176,1.0
r650_regression,273,"Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 2 ounce Bottle, Brown, (Pack of 4)",adhesive_epoxy,3,-1.0,1.0,0.0,<a_165><b_107><c_4>,<a_165>,<a_165><b_107>,72,5,59,5,0.8194444444444444,1.0,<a_65><b_51><c_16>,<a_65>,<a_65><b_51>,18,3,17,3,0.9444444444444444,1.0,<a_89><b_230><c_0>,<a_89>,<a_89><b_230>,39,4,13,4,0.3333333333333333,1.0,<a_13><b_72><c_104>,<a_13>,<a_13><b_72>,16,5,15,5,0.9375,1.0
r650_regression,2718,Inland 1.75mm Pink PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,6,-0.5,0.5,0.0,<a_158><b_72><c_220>,<a_158>,<a_158><b_72>,109,19,61,19,0.5596330275229358,1.0,<a_33><b_187><c_142>,<a_33>,<a_33><b_187>,33,17,33,17,1.0,1.0,<a_243><b_254><c_202>,<a_243>,<a_243><b_254>,47,16,36,16,0.7659574468085106,1.0,<a_111><b_184><c_109>,<a_111>,<a_111><b_184>,45,15,19,15,0.4222222222222222,1.0
r650_regression,3631,3D Solutech Skin 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG),3d_filament,6,-0.5,0.5,0.0,<a_223><b_80><c_0>,<a_223>,<a_223><b_80>,247,24,229,24,0.9271255060728745,1.0,<a_112><b_122><c_1>,<a_112>,<a_112><b_122>,97,25,97,25,1.0,1.0,<a_107><b_223><c_66>,<a_107>,<a_107><b_223>,74,6,74,6,1.0,1.0,<a_58><b_68><c_59>,<a_58>,<a_58><b_68>,64,9,57,8,0.890625,0.8888888888888888
