family,catalog_items,orig_l1_count,orig_items_per_l1,orig_largest_l1_share,orig_l2_count,orig_items_per_l2,v2_l1_count,v2_items_per_l1,v2_largest_l1_share,v2_l2_count,v2_items_per_l2,r650_l1_count,r650_items_per_l1,r650_largest_l1_share,r650_l2_count,r650_items_per_l2,r660_l1_count,r660_items_per_l1,r660_largest_l1_share,r660_l2_count,r660_items_per_l2,r670_l1_count,r670_items_per_l1,r670_largest_l1_share,r670_l2_count,r670_items_per_l2
other,2065,45,45.888889,0.057143,1459,1.415353,183,11.284153,0.015981,1641,1.258379,185,11.162162,0.014044,1699,1.215421,171,12.076023,0.015981,1627,1.269207,19,108.684211,0.130266,304,6.792763
3d_filament,386,21,18.380952,0.593264,149,2.590604,46,8.391304,0.251295,185,2.086486,39,9.897436,0.19171,201,1.920398,38,10.157895,0.15285,175,2.205714,14,27.571429,0.621762,67,5.761194
gauge_meter,338,29,11.655172,0.12426,224,1.508929,80,4.225,0.065089,245,1.379592,85,3.976471,0.073964,261,1.295019,72,4.694444,0.065089,234,1.444444,16,21.125,0.147929,121,2.793388
connector_fitting,274,19,14.421053,0.343066,164,1.670732,44,6.227273,0.142336,193,1.419689,49,5.591837,0.109489,205,1.336585,43,6.372093,0.19708,189,1.449735,14,19.571429,0.390511,71,3.859155
tape,217,22,9.863636,0.529954,137,1.583942,44,4.931818,0.156682,167,1.299401,47,4.617021,0.142857,162,1.339506,41,5.292683,0.152074,157,1.382166,16,13.5625,0.751152,44,4.931818
fastener,187,27,6.925926,0.625668,117,1.598291,54,3.462963,0.197861,155,1.206452,44,4.25,0.085561,154,1.214286,44,4.25,0.144385,142,1.316901,17,11.0,0.604278,68,2.75
adhesive_epoxy,125,14,8.928571,0.472,92,1.358696,28,4.464286,0.136,99,1.262626,32,3.90625,0.184,97,1.28866,28,4.464286,0.12,93,1.344086,11,11.363636,0.768,25,5.0
ventilation_fan,58,24,2.416667,0.155172,50,1.16,34,1.705882,0.137931,51,1.137255,35,1.657143,0.12069,53,1.09434,35,1.657143,0.12069,50,1.16,13,4.461538,0.258621,42,1.380952
metadata_placeholder,27,3,9.0,0.888889,24,1.125,5,5.4,0.851852,20,1.35,4,6.75,0.851852,22,1.227273,6,4.5,0.666667,23,1.173913,5,5.4,0.777778,11,2.454545
test_strip,9,3,3.0,0.555556,5,1.8,5,1.8,0.555556,8,1.125,4,2.25,0.555556,9,1.0,3,3.0,0.555556,7,1.285714,3,3.0,0.666667,5,1.8
