family,family_items,rank_within_family,r670_l1,family_items_in_bucket,family_share_within_family,bucket_size,family_share_within_bucket
3d_filament,386,1,<a_192>,240,0.621762,252,0.952381
3d_filament,386,2,<a_200>,69,0.178756,228,0.302632
3d_filament,386,3,<a_65>,32,0.082902,261,0.122605
3d_filament,386,4,<a_69>,13,0.033679,229,0.056769
3d_filament,386,5,<a_2>,6,0.015544,310,0.019355
3d_filament,386,6,<a_41>,6,0.015544,182,0.032967
3d_filament,386,7,<a_195>,5,0.012953,203,0.024631
3d_filament,386,8,<a_146>,5,0.012953,250,0.02
3d_filament,386,9,<a_59>,4,0.010363,280,0.014286
3d_filament,386,10,<a_227>,2,0.005181,124,0.016129
3d_filament,386,11,<a_122>,1,0.002591,156,0.00641
3d_filament,386,12,<a_112>,1,0.002591,91,0.010989
3d_filament,386,13,<a_223>,1,0.002591,189,0.005291
3d_filament,386,14,<a_38>,1,0.002591,141,0.007092
connector_fitting,274,1,<a_122>,107,0.390511,156,0.685897
connector_fitting,274,2,<a_115>,91,0.332117,209,0.435407
connector_fitting,274,3,<a_223>,23,0.083942,189,0.121693
connector_fitting,274,4,<a_146>,12,0.043796,250,0.048
connector_fitting,274,5,<a_59>,9,0.032847,280,0.032143
connector_fitting,274,6,<a_200>,8,0.029197,228,0.035088
connector_fitting,274,7,<a_195>,6,0.021898,203,0.029557
connector_fitting,274,8,<a_23>,4,0.014599,256,0.015625
connector_fitting,274,9,<a_239>,4,0.014599,68,0.058824
connector_fitting,274,10,<a_38>,4,0.014599,141,0.028369
connector_fitting,274,11,<a_237>,2,0.007299,149,0.013423
connector_fitting,274,12,<a_65>,2,0.007299,261,0.007663
connector_fitting,274,13,<a_112>,1,0.00365,91,0.010989
connector_fitting,274,14,<a_2>,1,0.00365,310,0.003226
gauge_meter,338,1,<a_23>,50,0.147929,256,0.195312
gauge_meter,338,2,<a_146>,49,0.14497,250,0.196
gauge_meter,338,3,<a_237>,44,0.130178,149,0.295302
gauge_meter,338,4,<a_115>,28,0.08284,209,0.133971
gauge_meter,338,5,<a_112>,26,0.076923,91,0.285714
gauge_meter,338,6,<a_59>,26,0.076923,280,0.092857
gauge_meter,338,7,<a_223>,22,0.065089,189,0.116402
gauge_meter,338,8,<a_195>,21,0.06213,203,0.103448
gauge_meter,338,9,<a_227>,17,0.050296,124,0.137097
gauge_meter,338,10,<a_200>,15,0.044379,228,0.065789
gauge_meter,338,11,<a_239>,12,0.035503,68,0.176471
gauge_meter,338,12,<a_38>,10,0.029586,141,0.070922
gauge_meter,338,13,<a_122>,8,0.023669,156,0.051282
gauge_meter,338,14,<a_2>,7,0.02071,310,0.022581
gauge_meter,338,15,<a_148>,2,0.005917,108,0.018519
gauge_meter,338,16,<a_65>,1,0.002959,261,0.003831
tape,217,1,<a_41>,163,0.751152,182,0.895604
tape,217,2,<a_148>,15,0.069124,108,0.138889
tape,217,3,<a_200>,10,0.046083,228,0.04386
tape,217,4,<a_2>,5,0.023041,310,0.016129
tape,217,5,<a_112>,4,0.018433,91,0.043956
tape,217,6,<a_146>,4,0.018433,250,0.016
tape,217,7,<a_59>,3,0.013825,280,0.010714
tape,217,8,<a_239>,2,0.009217,68,0.029412
tape,217,9,<a_223>,2,0.009217,189,0.010582
tape,217,10,<a_23>,2,0.009217,256,0.007812
tape,217,11,<a_38>,2,0.009217,141,0.014184
tape,217,12,<a_227>,1,0.004608,124,0.008065
tape,217,13,<a_195>,1,0.004608,203,0.004926
tape,217,14,<a_69>,1,0.004608,229,0.004367
tape,217,15,<a_192>,1,0.004608,252,0.003968
tape,217,16,<a_115>,1,0.004608,209,0.004785
adhesive_epoxy,125,1,<a_69>,96,0.768,229,0.419214
adhesive_epoxy,125,2,<a_239>,9,0.072,68,0.132353
adhesive_epoxy,125,3,<a_148>,6,0.048,108,0.055556
adhesive_epoxy,125,4,<a_41>,4,0.032,182,0.021978
adhesive_epoxy,125,5,<a_112>,3,0.024,91,0.032967
adhesive_epoxy,125,6,<a_223>,2,0.016,189,0.010582
adhesive_epoxy,125,7,<a_23>,1,0.008,256,0.003906
adhesive_epoxy,125,8,<a_200>,1,0.008,228,0.004386
adhesive_epoxy,125,9,<a_2>,1,0.008,310,0.003226
adhesive_epoxy,125,10,<a_38>,1,0.008,141,0.007092
adhesive_epoxy,125,11,<a_59>,1,0.008,280,0.003571
fastener,187,1,<a_23>,113,0.604278,256,0.441406
fastener,187,2,<a_223>,19,0.101604,189,0.100529
fastener,187,3,<a_65>,7,0.037433,261,0.02682
fastener,187,4,<a_200>,6,0.032086,228,0.026316
fastener,187,5,<a_59>,6,0.032086,280,0.021429
fastener,187,6,<a_2>,5,0.026738,310,0.016129
fastener,187,7,<a_239>,5,0.026738,68,0.073529
fastener,187,8,<a_41>,5,0.026738,182,0.027473
fastener,187,9,<a_69>,4,0.02139,229,0.017467
fastener,187,10,<a_195>,4,0.02139,203,0.019704
fastener,187,11,<a_122>,3,0.016043,156,0.019231
fastener,187,12,<a_112>,3,0.016043,91,0.032967
fastener,187,13,<a_148>,3,0.016043,108,0.027778
fastener,187,14,<a_237>,1,0.005348,149,0.006711
fastener,187,15,<a_38>,1,0.005348,141,0.007092
fastener,187,16,<a_227>,1,0.005348,124,0.008065
fastener,187,17,<a_115>,1,0.005348,209,0.004785
other,2065,1,<a_2>,269,0.130266,310,0.867742
other,2065,2,<a_59>,218,0.105569,280,0.778571
other,2065,3,<a_65>,214,0.103632,261,0.819923
other,2065,4,<a_146>,175,0.084746,250,0.7
other,2065,5,<a_195>,144,0.069734,203,0.70936
other,2065,6,<a_223>,119,0.057627,189,0.62963
other,2065,7,<a_38>,115,0.05569,141,0.815603
other,2065,8,<a_200>,112,0.054237,228,0.491228
other,2065,9,<a_69>,111,0.053753,229,0.484716
other,2065,10,<a_237>,101,0.04891,149,0.677852
other,2065,11,<a_227>,97,0.046973,124,0.782258
other,2065,12,<a_23>,86,0.041646,256,0.335938
other,2065,13,<a_115>,86,0.041646,209,0.411483
other,2065,14,<a_148>,80,0.038741,108,0.740741
other,2065,15,<a_112>,51,0.024697,91,0.56044
other,2065,16,<a_239>,36,0.017433,68,0.529412
other,2065,17,<a_122>,36,0.017433,156,0.230769
other,2065,18,<a_192>,11,0.005327,252,0.043651
other,2065,19,<a_41>,4,0.001937,182,0.021978
