family,catalog_items,orig_l1_count,r680a_l1_count,r690a_l1_count,r690b_l1_count,orig_items_per_l1,r680a_items_per_l1,r690a_items_per_l1,r690b_items_per_l1
other,2065,45,211,116,33,45.8889,9.7867,17.8017,62.5758
3d_filament,386,21,32,31,15,18.381,12.0625,12.4516,25.7333
gauge_meter,338,29,80,55,23,11.6552,4.225,6.1455,14.6957
connector_fitting,274,19,47,24,15,14.4211,5.8298,11.4167,18.2667
tape,217,22,39,28,17,9.8636,5.5641,7.75,12.7647
fastener,187,27,46,33,19,6.9259,4.0652,5.6667,9.8421
adhesive_epoxy,125,14,26,18,10,8.9286,4.8077,6.9444,12.5
ventilation_fan,58,24,33,29,18,2.4167,1.7576,2.0,3.2222
metadata_placeholder,27,3,2,3,7,9.0,13.5,9.0,3.8571
test_strip,9,3,2,2,3,3.0,4.5,4.5,3.0
