family,l1_code,family_item_count_in_bucket,bucket_item_count,bucket_family_purity,top_bucket_families
3d_filament,<a_15>,220,233,0.944206,3d_filament:220; adhesive_epoxy:11; other:2
3d_filament,<a_66>,70,181,0.38674,other:80; 3d_filament:70; tape:13; fastener:7; adhesive_epoxy:4
3d_filament,<a_85>,56,104,0.538462,3d_filament:56; other:44; tape:3; adhesive_epoxy:1
3d_filament,<a_204>,10,59,0.169492,other:30; metadata_placeholder:15; 3d_filament:10; gauge_meter:3; fastener:1
3d_filament,<a_100>,7,85,0.082353,other:63; connector_fitting:12; 3d_filament:7; fastener:3
3d_filament,<a_1>,4,96,0.041667,other:76; gauge_meter:7; connector_fitting:4; 3d_filament:4; tape:3
3d_filament,<a_244>,3,50,0.06,other:24; tape:11; adhesive_epoxy:8; 3d_filament:3; ventilation_fan:2
3d_filament,<a_45>,3,162,0.018519,fastener:117; other:36; gauge_meter:4; 3d_filament:3; tape:2
3d_filament,<a_138>,2,58,0.034483,other:39; gauge_meter:10; metadata_placeholder:7; 3d_filament:2
3d_filament,<a_153>,2,121,0.016529,other:80; gauge_meter:37; 3d_filament:2; connector_fitting:2
3d_filament,<a_180>,2,142,0.014085,connector_fitting:94; other:25; gauge_meter:20; 3d_filament:2; fastener:1
3d_filament,<a_202>,2,103,0.019417,other:66; connector_fitting:21; gauge_meter:5; ventilation_fan:4; fastener:3
connector_fitting,<a_180>,94,142,0.661972,connector_fitting:94; other:25; gauge_meter:20; 3d_filament:2; fastener:1
connector_fitting,<a_57>,88,164,0.536585,connector_fitting:88; other:61; gauge_meter:12; ventilation_fan:2; tape:1
connector_fitting,<a_202>,21,103,0.203883,other:66; connector_fitting:21; gauge_meter:5; ventilation_fan:4; fastener:3
connector_fitting,<a_101>,18,166,0.108434,other:93; gauge_meter:30; connector_fitting:18; adhesive_epoxy:10; tape:8
connector_fitting,<a_100>,12,85,0.141176,other:63; connector_fitting:12; 3d_filament:7; fastener:3
connector_fitting,<a_20>,12,113,0.106195,other:82; connector_fitting:12; gauge_meter:9; fastener:8; adhesive_epoxy:2
