l1_code,catalog_item_count,dominant_family,dominant_family_rate,family_counts,sample_titles
<a_15>,233,3d_filament,0.944206,3d_filament:220; adhesive_epoxy:11; other:2,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue | HATCHBOX 1 Spool 3D Printer Filament Tabletop Wall Mount Rack | HATCHBOX Glow in the Dark PLA 3D Printer Filament, Dimension Accuracy +/-0.03 mm, 1 kg Spool, 1.75 mm - Blue | Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown | USAFilament 9800429 ABS 3D Printing Filament, 2.2 lb, 1.75 mm, White Spool"
<a_48>,182,tape,0.906593,tape:165; fastener:8; adhesive_epoxy:5; other:2; 3d_filament:2,"Scotch Foil Tape, 2-Inch by 50-Yard | Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls (3850-6) | Rescue Tape RT1000201202USCO | Gorilla 6100101 Tape Handy Roll, 1-Pack, Black | Morris 60202 Black Commercial Grade Vinyl Electrical Tape, 8.5 mil, 66' Length, 2"" Width"
<a_66>,181,other,0.441989,other:80; 3d_filament:70; tape:13; fastener:7; adhesive_epoxy:4,"Eye-Vac EVPRO Tuxedo Black Touchless Stationary Vacuum &ndash; 1400 Watts Professional Vacuum with HEPA Filtration, Bag-less Canister. Floor Care | Metronic 12 inch Impulse Bag Sealer Poly Bag Sealing Machine Heat Seal Closer with Repair Kit(12 inch) | RapidFix Dual Adhesive System, 25 mL,Boss Products USA,RFX7121100,RFX7121101"" /> | Stainless Steel Tumbling Media Pins - 0.047"" Diameter, 0.255"" Length (5 lb Pack) | Polycarbonate (PC) Sheet, Transparent Clear, Standard Tolerance, ASTM D3935, 0.093"" Thickness, 12"" Width, 24"" Length"
<a_101>,166,other,0.560241,other:93; gauge_meter:30; connector_fitting:18; adhesive_epoxy:10; tape:8,"White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25' Length | White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10' Length | LDR Industries 516 B1210 Nylon Tubing, 1/2"" x 10', Clear | Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763) | LASCO 11-1033 PTFE Pipe Sealant Tape, 1/2-Inch x 100-Inch, White"
<a_17>,165,adhesive_epoxy,0.484848,adhesive_epoxy:80; other:79; fastener:4; ventilation_fan:2,"Hot Stuff Super T Medium Instant CA Glue, 2oz HST-4 | Loctite 1329837 243 Blue Medium Strength Threadlockers, 0.34 oz., 10 mL, 3/4"" Thread | Permatex 51813 Anaerobic Gasket Maker, 50 ml Tube | Permatex 80050 Clear RTV Silicone Adhesive Sealant, 3 oz | Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear"
<a_57>,164,connector_fitting,0.536585,connector_fitting:88; other:61; gauge_meter:12; ventilation_fan:2; tape:1,"Anderson Metals Brass Tube Fitting, Half-Union, 3/8"" Flare x 1/8"" Male Pipe | Neiko 50463A SAE Hydraulic Grease Fitting Kit, 110 Piece | Straight and Angled | 1/4"", 1/8 | Woodstock W1038 4-Inch Quick Connect and Disconnect | Stainless Steel 304L Welded Round Tubing, 2"" OD, 1.93"" ID, 0.035"" Wall, 36"" Length | Dixon BCN100 Brass Fitting, Hex Nipple, 1"" NPT Male"
<a_45>,162,fastener,0.722222,fastener:117; other:36; gauge_meter:4; 3d_filament:3; tape:2,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack | Kreg SML-C2-250 Pocket Screws 2-Inch, 8 Coarse, Washer Head, 250 Count | Swordfish 32051 Brass Plated Wood Screw Assortment, 500 Piece | The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack | Brass Wood Screw, Plain Finish, Flat Head, Slotted Drive, 3/8"" Length, #6 Threads (Pack of 100)"
<a_98>,148,other,0.574324,other:85; gauge_meter:39; connector_fitting:11; ventilation_fan:5; tape:2,"Racor LDL-1B Ladder Lift | New 12V 5A 12V 19mm Red LED Momentary Push Button Metal Switch Car Boat Speakers Bells Horn | W1 Tool Steel Round Rod, Polished Finish, Precision Ground, Annealed, 0.0625"" Diameter, 36"" Length | Eagle 1654 Yellow Blow-Molded HDPE Salvage Drum with Metal Ring Lever-Lock Lid, 20 gallon Capacity, 21"" Height, 21"" Diameter | Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;"
<a_86>,145,other,0.848276,other:123; gauge_meter:11; fastener:8; 3d_filament:2; ventilation_fan:1,"A World Of Deals 1 oz. Non-Sterile Graduated Plastic Medicine Cups, 100 Piece | #10 Solid Rubber Stopper | Vintage Shop PW-COIA-QACH Hydrometer 12"" Test Jar with Removable Base | Plastic Transfer Pipettes 3ml, Graduated, Pack of 100 | Plastic Transfer Pipettes 3ml Graduated Pack of 100"
<a_173>,142,other,0.633803,other:90; gauge_meter:47; adhesive_epoxy:2; test_strip:1; tape:1,"PORTER-CABLE 740000801 4 1/2-Inch x 10yd 80 Grit Adhesive-Backed Sanding Roll | PORTER-CABLE 740001201 4 1/2-Inch by 10yd 120 Grit Adhesive-Backed Sanding Roll | Wixey WR300 Digital Angle Gauge | 4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel | Anytime Tools Dial Caliper 6"" / 150mm DUAL Reading Scale METRIC SAE Standard INCH MM"
<a_180>,142,connector_fitting,0.661972,connector_fitting:94; other:25; gauge_meter:20; 3d_filament:2; fastener:1,"Uxcell a11060700ux0191 RG6 F-Type Coax Coaxial Cable RF Connector Male (Pack of 5) | American Terminal E-FFR250N-100 22/18-Gauge Economy Nylon Fully-Insulated Female Quick Disconnects | Wago Wire Connector 600 V Clear 4 Conductor 100 / Box | Arlington LPCG50-1 Low-Profile Strain Relief Cord Connector, 1/2 Inch | HOODDEAL 50pcs Waterproof Solder Seal Heat Shrink Butt Connectors with Soldering Sleeve"
<a_153>,121,other,0.661157,other:80; gauge_meter:37; 3d_filament:2; connector_fitting:2,"Amprobe TL36A Test Leads with Alligator Clips, 1000V | B&K Precision 879B Dual Display Handheld Deluxe Universal LCR Meter with Backlit Display | Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black | Masione Temperature Gun Non-contact Digital Laser Infrared Ir Thermometer -58&deg;f to 716&deg;f (-50 ~ 380) Instant-read Handheld,battery Included | Fluke 1AC-A1-II VoltAlert Non-Contact Voltage Tester"
