family,variant,n_items,active_l1_in_family,active_l2_in_family,top_l1,top_l1_family_count,top_l1_family_coverage,top_l1_bucket_size,top_l1_bucket_purity,mean_items_per_l1_in_family
3d_filament,original,386,21,149,<a_223>,229,0.5932642487046632,247,0.9271255060728745,18.38095238095238
3d_filament,v2,386,46,185,<a_112>,97,0.25129533678756477,97,1.0,8.391304347826088
3d_filament,R650a,386,39,201,<a_107>,74,0.19170984455958548,74,1.0,9.897435897435898
3d_filament,R680a,386,32,202,<a_24>,116,0.3005181347150259,117,0.9914529914529915,12.0625
3d_filament,R690a,386,31,164,<a_76>,196,0.5077720207253886,214,0.9158878504672897,12.451612903225806
3d_filament,R690b,386,15,134,<a_15>,220,0.5699481865284974,233,0.944206008583691,25.733333333333334
3d_filament,R693a,386,33,163,<a_178>,210,0.5440414507772021,212,0.9905660377358491,11.696969696969697
connector_fitting,original,274,19,164,<a_67>,94,0.34306569343065696,119,0.7899159663865546,14.421052631578947
connector_fitting,v2,274,44,193,<a_34>,39,0.14233576642335766,54,0.7222222222222222,6.2272727272727275
connector_fitting,R650a,274,49,205,<a_17>,30,0.10948905109489052,32,0.9375,5.591836734693878
connector_fitting,R680a,274,47,214,<a_17>,25,0.09124087591240876,25,1.0,5.829787234042553
connector_fitting,R690a,274,24,173,<a_24>,87,0.3175182481751825,111,0.7837837837837838,11.416666666666666
connector_fitting,R690b,274,15,142,<a_180>,94,0.34306569343065696,142,0.6619718309859155,18.266666666666666
connector_fitting,R693a,274,24,159,<a_40>,98,0.35766423357664234,108,0.9074074074074074,11.416666666666666
gauge_meter,original,338,29,224,<a_42>,42,0.1242603550295858,100,0.42,11.655172413793103
gauge_meter,v2,338,80,245,<a_195>,22,0.0650887573964497,26,0.8461538461538461,4.225
gauge_meter,R650a,338,85,261,<a_173>,25,0.07396449704142012,35,0.7142857142857143,3.976470588235294
gauge_meter,R680a,338,80,252,<a_220>,28,0.08284023668639054,29,0.9655172413793104,4.225
gauge_meter,R690a,338,55,241,<a_168>,41,0.12130177514792899,92,0.44565217391304346,6.1454545454545455
gauge_meter,R690b,338,23,204,<a_173>,47,0.1390532544378698,142,0.33098591549295775,14.695652173913043
gauge_meter,R693a,338,44,214,<a_69>,46,0.13609467455621302,84,0.5476190476190477,7.681818181818182
tape,original,217,22,137,<a_202>,115,0.5299539170506913,117,0.9829059829059829,9.863636363636363
tape,v2,217,44,167,<a_177>,34,0.15668202764976957,34,1.0,4.931818181818182
tape,R650a,217,47,162,<a_66>,31,0.14285714285714285,31,1.0,4.617021276595745
tape,R680a,217,39,169,<a_108>,27,0.12442396313364056,27,1.0,5.564102564102564
tape,R690a,217,28,139,<a_153>,104,0.4792626728110599,105,0.9904761904761905,7.75
tape,R690b,217,17,117,<a_48>,165,0.7603686635944701,182,0.9065934065934066,12.764705882352942
tape,R693a,217,23,111,<a_31>,155,0.7142857142857143,160,0.96875,9.434782608695652
adhesive_epoxy,original,125,14,92,<a_165>,59,0.472,72,0.8194444444444444,8.928571428571429
adhesive_epoxy,v2,125,28,99,<a_65>,17,0.136,18,0.9444444444444444,4.464285714285714
adhesive_epoxy,R650a,125,32,97,<a_125>,23,0.184,29,0.7931034482758621,3.90625
adhesive_epoxy,R680a,125,26,99,<a_87>,19,0.152,19,1.0,4.8076923076923075
adhesive_epoxy,R690a,125,18,101,<a_221>,38,0.304,45,0.8444444444444444,6.944444444444445
adhesive_epoxy,R690b,125,10,68,<a_17>,80,0.64,165,0.48484848484848486,12.5
adhesive_epoxy,R693a,125,16,99,<a_124>,34,0.272,39,0.8717948717948718,7.8125
fastener,original,187,27,117,<a_224>,117,0.6256684491978609,191,0.612565445026178,6.925925925925926
fastener,v2,187,54,155,<a_87>,37,0.19786096256684493,37,1.0,3.462962962962963
fastener,R650a,187,44,154,<a_239>,16,0.0855614973262032,21,0.7619047619047619,4.25
