family,rank,l1_code,family_items_in_bucket,family_coverage,bucket_size,bucket_family_purity,bucket_family_composition_top,unique_l2_for_family_inside_bucket
3d_filament,1,<a_178>,210,0.5440414507772021,212,0.9905660377358491,3d_filament:210; other:2,46
3d_filament,2,<a_220>,55,0.14248704663212436,58,0.9482758620689655,3d_filament:55; other:3,20
3d_filament,3,<a_212>,31,0.08031088082901554,44,0.7045454545454546,3d_filament:31; other:12; tape:1,24
3d_filament,4,<a_82>,21,0.054404145077720206,26,0.8076923076923077,3d_filament:21; other:5,17
3d_filament,5,<a_134>,8,0.02072538860103627,80,0.1,other:46; gauge_meter:14; 3d_filament:8; connector_fitting:6; ventilation_fan:3; tape:2,5
3d_filament,6,<a_152>,6,0.015544041450777202,9,0.6666666666666666,3d_filament:6; tape:3,5
3d_filament,7,<a_108>,5,0.012953367875647668,17,0.29411764705882354,other:7; 3d_filament:5; tape:4; adhesive_epoxy:1,5
3d_filament,8,<a_193>,4,0.010362694300518135,19,0.21052631578947367,other:10; 3d_filament:4; tape:3; adhesive_epoxy:2,3
connector_fitting,1,<a_40>,98,0.35766423357664234,108,0.9074074074074074,connector_fitting:98; gauge_meter:5; other:4; 3d_filament:1,46
connector_fitting,2,<a_166>,46,0.1678832116788321,46,1.0,connector_fitting:46,16
connector_fitting,3,<a_231>,42,0.15328467153284672,59,0.711864406779661,connector_fitting:42; other:17,26
connector_fitting,4,<a_209>,14,0.051094890510948905,75,0.18666666666666668,other:43; connector_fitting:14; fastener:9; gauge_meter:5; 3d_filament:3; adhesive_epoxy:1,9
connector_fitting,5,<a_115>,10,0.0364963503649635,84,0.11904761904761904,other:33; gauge_meter:30; connector_fitting:10; adhesive_epoxy:9; tape:2,6
connector_fitting,6,<a_164>,8,0.029197080291970802,75,0.10666666666666667,other:56; connector_fitting:8; fastener:7; ventilation_fan:2; gauge_meter:2,7
connector_fitting,7,<a_106>,7,0.025547445255474453,51,0.13725490196078433,other:38; connector_fitting:7; 3d_filament:4; gauge_meter:1; fastener:1,6
connector_fitting,8,<a_126>,6,0.021897810218978103,49,0.12244897959183673,other:42; connector_fitting:6; fastener:1,5
gauge_meter,1,<a_69>,46,0.13609467455621302,84,0.5476190476190477,gauge_meter:46; other:37; connector_fitting:1,20
gauge_meter,2,<a_197>,35,0.10355029585798817,48,0.7291666666666666,gauge_meter:35; other:13,25
gauge_meter,3,<a_190>,31,0.09171597633136094,64,0.484375,gauge_meter:31; other:30; 3d_filament:2; ventilation_fan:1,16
gauge_meter,4,<a_115>,30,0.08875739644970414,84,0.35714285714285715,other:33; gauge_meter:30; connector_fitting:10; adhesive_epoxy:9; tape:2,10
