l1_code,bucket_size,top_family,top_family_count,top_family_purity,family_composition_top,unique_l2_pairs_in_bucket
<a_178>,212,3d_filament,210,0.9905660377358491,3d_filament:210; other:2,48
<a_31>,160,tape,155,0.96875,tape:155; other:3; 3d_filament:2,57
<a_40>,108,connector_fitting,98,0.9074074074074074,connector_fitting:98; gauge_meter:5; other:4; 3d_filament:1,50
<a_235>,85,fastener,79,0.9294117647058824,fastener:79; other:6,40
<a_69>,84,gauge_meter,46,0.5476190476190477,gauge_meter:46; other:37; connector_fitting:1,38
<a_115>,84,other,33,0.39285714285714285,other:33; gauge_meter:30; connector_fitting:10; adhesive_epoxy:9; tape:2,34
<a_134>,80,other,46,0.575,other:46; gauge_meter:14; 3d_filament:8; connector_fitting:6; ventilation_fan:3; tape:2; fastener:1,43
<a_90>,78,other,60,0.7692307692307693,other:60; ventilation_fan:11; gauge_meter:4; tape:1; fastener:1; connector_fitting:1,47
<a_209>,75,other,43,0.5733333333333334,other:43; connector_fitting:14; fastener:9; gauge_meter:5; 3d_filament:3; adhesive_epoxy:1,47
<a_164>,75,other,56,0.7466666666666667,other:56; connector_fitting:8; fastener:7; ventilation_fan:2; gauge_meter:2,41
<a_68>,72,fastener,34,0.4722222222222222,fastener:34; other:33; gauge_meter:5,40
<a_75>,70,other,57,0.8142857142857143,other:57; gauge_meter:6; tape:3; 3d_filament:2; connector_fitting:1; ventilation_fan:1,32
<a_137>,65,other,57,0.8769230769230769,other:57; fastener:6; 3d_filament:1; gauge_meter:1,39
<a_65>,64,other,50,0.78125,other:50; adhesive_epoxy:12; ventilation_fan:2,45
<a_190>,64,gauge_meter,31,0.484375,gauge_meter:31; other:30; 3d_filament:2; ventilation_fan:1,31
<a_133>,62,other,51,0.8225806451612904,other:51; fastener:8; gauge_meter:2; tape:1,35
<a_7>,62,other,44,0.7096774193548387,other:44; gauge_meter:7; fastener:6; tape:4; 3d_filament:1,42
<a_231>,59,connector_fitting,42,0.711864406779661,connector_fitting:42; other:17,35
<a_220>,58,3d_filament,55,0.9482758620689655,3d_filament:55; other:3,21
<a_151>,57,other,47,0.8245614035087719,other:47; gauge_meter:4; 3d_filament:3; ventilation_fan:2; fastener:1,42
<a_238>,56,other,53,0.9464285714285714,other:53; adhesive_epoxy:2; gauge_meter:1,36
<a_130>,56,other,50,0.8928571428571429,other:50; gauge_meter:3; connector_fitting:1; 3d_filament:1; ventilation_fan:1,36
<a_243>,55,other,26,0.4727272727272727,other:26; gauge_meter:19; fastener:5; connector_fitting:3; 3d_filament:2,32
<a_32>,54,other,42,0.7777777777777778,other:42; gauge_meter:10; connector_fitting:2,38
<a_81>,52,other,50,0.9615384615384616,other:50; gauge_meter:1; 3d_filament:1,30
<a_62>,51,other,46,0.9019607843137255,other:46; connector_fitting:5,34
<a_106>,51,other,38,0.7450980392156863,other:38; connector_fitting:7; 3d_filament:4; gauge_meter:1; fastener:1,32
<a_168>,51,other,45,0.8823529411764706,other:45; ventilation_fan:4; fastener:1; gauge_meter:1,39
<a_157>,51,other,25,0.49019607843137253,other:25; tape:12; ventilation_fan:5; gauge_meter:4; adhesive_epoxy:3; 3d_filament:2,40
<a_117>,49,other,48,0.9795918367346939,other:48; fastener:1,32
<a_126>,49,other,42,0.8571428571428571,other:42; connector_fitting:6; fastener:1,29
<a_197>,48,gauge_meter,35,0.7291666666666666,gauge_meter:35; other:13,32
<a_166>,46,connector_fitting,46,1.0,connector_fitting:46,16
<a_8>,46,other,31,0.6739130434782609,other:31; gauge_meter:11; tape:2; ventilation_fan:1; connector_fitting:1,35
<a_181>,46,other,33,0.717391304347826,other:33; gauge_meter:6; connector_fitting:5; tape:1; fastener:1,34
<a_212>,44,3d_filament,31,0.7045454545454546,3d_filament:31; other:12; tape:1,34
<a_0>,44,other,31,0.7045454545454546,other:31; connector_fitting:4; gauge_meter:3; 3d_filament:3; ventilation_fan:2; tape:1,30
<a_148>,43,other,41,0.9534883720930233,other:41; fastener:2,23
<a_9>,42,other,42,1.0,other:42,32
<a_63>,41,other,28,0.6829268292682927,other:28; connector_fitting:4; 3d_filament:2; gauge_meter:2; tape:2; fastener:1; ventilation_fan:1; adhesive_epoxy:1,31
<a_118>,41,other,35,0.8536585365853658,other:35; fastener:2; connector_fitting:2; 3d_filament:1; ventilation_fan:1,29
<a_124>,39,adhesive_epoxy,34,0.8717948717948718,adhesive_epoxy:34; other:5,28
<a_162>,36,other,20,0.5555555555555556,other:20; gauge_meter:14; 3d_filament:2,16
<a_105>,36,other,30,0.8333333333333334,other:30; gauge_meter:3; connector_fitting:2; 3d_filament:1,24
<a_109>,33,other,20,0.6060606060606061,other:20; tape:6; connector_fitting:3; gauge_meter:2; 3d_filament:1; fastener:1,22
<a_72>,33,other,30,0.9090909090909091,other:30; gauge_meter:3,23
<a_153>,33,other,16,0.48484848484848486,other:16; gauge_meter:9; test_strip:7; ventilation_fan:1,24
<a_59>,31,other,27,0.8709677419354839,other:27; fastener:3; 3d_filament:1,25
<a_180>,30,adhesive_epoxy,18,0.6,adhesive_epoxy:18; other:7; fastener:4; tape:1,22
<a_211>,28,other,27,0.9642857142857143,other:27; ventilation_fan:1,23
<a_89>,27,other,26,0.9629629629629629,other:26; ventilation_fan:1,22
<a_78>,26,adhesive_epoxy,26,1.0,adhesive_epoxy:26,18
<a_92>,26,other,21,0.8076923076923077,other:21; gauge_meter:4; tape:1,22
<a_82>,26,3d_filament,21,0.8076923076923077,3d_filament:21; other:5,21
<a_93>,25,other,25,1.0,other:25,22
<a_159>,25,other,20,0.8,other:20; test_strip:2; ventilation_fan:1; fastener:1; gauge_meter:1,20
<a_185>,24,other,22,0.9166666666666666,other:22; ventilation_fan:1; fastener:1,22
<a_245>,23,gauge_meter,15,0.6521739130434783,gauge_meter:15; other:8,17
<a_73>,23,other,21,0.9130434782608695,other:21; adhesive_epoxy:2,19
<a_35>,23,other,13,0.5652173913043478,other:13; ventilation_fan:8; connector_fitting:2,19
<a_225>,23,other,21,0.9130434782608695,other:21; 3d_filament:1; ventilation_fan:1,20
<a_100>,22,other,12,0.5454545454545454,other:12; gauge_meter:5; fastener:4; ventilation_fan:1,19
<a_138>,22,other,13,0.5909090909090909,other:13; adhesive_epoxy:5; ventilation_fan:3; tape:1,19
<a_17>,22,other,13,0.5909090909090909,other:13; tape:6; adhesive_epoxy:3,18
<a_214>,22,other,22,1.0,other:22,17
<a_189>,20,other,16,0.8,other:16; gauge_meter:3; fastener:1,16
<a_219>,20,other,19,0.95,other:19; 3d_filament:1,18
<a_193>,19,other,10,0.5263157894736842,other:10; 3d_filament:4; tape:3; adhesive_epoxy:2,18
<a_114>,18,other,13,0.7222222222222222,other:13; gauge_meter:5,13
<a_80>,18,other,14,0.7777777777777778,other:14; gauge_meter:3; metadata_placeholder:1,15
<a_213>,18,other,18,1.0,other:18,16
<a_129>,17,other,9,0.5294117647058824,other:9; metadata_placeholder:8,15
<a_102>,17,other,12,0.7058823529411765,other:12; metadata_placeholder:4; gauge_meter:1,15
<a_154>,17,other,13,0.7647058823529411,other:13; gauge_meter:3; metadata_placeholder:1,17
<a_108>,17,other,7,0.4117647058823529,other:7; 3d_filament:5; tape:4; adhesive_epoxy:1,14
<a_171>,16,other,16,1.0,other:16,13
<a_37>,16,other,9,0.5625,other:9; metadata_placeholder:5; fastener:2,14
<a_202>,15,other,13,0.8666666666666667,other:13; fastener:2,13
<a_70>,14,other,9,0.6428571428571429,other:9; gauge_meter:3; ventilation_fan:1; fastener:1,12
<a_67>,14,other,13,0.9285714285714286,other:13; ventilation_fan:1,11
<a_206>,14,other,8,0.5714285714285714,other:8; gauge_meter:4; metadata_placeholder:2,11
<a_77>,13,other,9,0.6923076923076923,other:9; 3d_filament:3; ventilation_fan:1,10
<a_60>,11,adhesive_epoxy,4,0.36363636363636365,adhesive_epoxy:4; tape:4; other:1; gauge_meter:1; 3d_filament:1,11
<a_167>,11,3d_filament,4,0.36363636363636365,3d_filament:4; other:3; adhesive_epoxy:2; metadata_placeholder:1; tape:1,11
<a_144>,10,other,8,0.8,other:8; metadata_placeholder:2,9
<a_152>,9,3d_filament,6,0.6666666666666666,3d_filament:6; tape:3,6
<a_215>,6,other,6,1.0,other:6,5
<a_142>,4,other,3,0.75,other:3; metadata_placeholder:1,4
<a_116>,3,metadata_placeholder,2,0.6666666666666666,metadata_placeholder:2; other:1,3
<a_64>,1,other,1,1.0,other:1,1
