case_type,baseline,idx,family,item_id,target_title,target_sid_r693a,r693a_rank,v2_on_p05_rank,r693a_failure_type,r693a_top1_history_repeat,r693a_top10_repeat_count,r693a_top5_predictions,v2_on_p05_top5_predictions,r680a_rank,r680a_top5_predictions
gain_vs_r680a,r680a,48,3d_filament,2697,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_178><b_14><c_75>,4.0,,hit_at_10,0,1,"<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Pr
<a_178><b_14><c_94> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_178><b_14><c_107> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_75> :: ids=[2697] :: fam=3d_filament :: 3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_135> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",,19.0,"<a_24><b_149><c_2> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_24><b_149><c_24> :: ids=[2909] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS
<a_24><b_57><c_89> :: ids=[3466] :: fam=3d_filament :: 3D Solutech Real Red 3D Printer PLA Filament 1.75MM, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - RA-I00I-DQUY
<a_24><b_57><c_57> :: ids=[3557] :: fam=3d_filament :: 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)
<a_24><b_57><c_77> :: ids=[3475] :: fam=3d_filament :: 3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)"
gain_vs_r680a,r680a,49,3d_filament,3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",<a_178><b_14><c_7>,9.0,,hit_at_10,0,2,"<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Pr
<a_178><b_14><c_107> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_94> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_178><b_14><c_135> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_75> :: ids=[2697] :: fam=3d_filament :: 3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",,14.0,"<a_24><b_149><c_2> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_24><b_149><c_24> :: ids=[2909] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS
<a_24><b_57><c_57> :: ids=[3557] :: fam=3d_filament :: 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)
<a_24><b_57><c_89> :: ids=[3466] :: fam=3d_filament :: 3D Solutech Real Red 3D Printer PLA Filament 1.75MM, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - RA-I00I-DQUY
<a_67><b_247><c_199> :: ids=[162] :: fam=3d_filament :: USAFilament 9800429 ABS 3D Printing Filament, 2.2 lb, 1.75 mm, White Spool"
gain_vs_r680a,r680a,79,3d_filament,3016,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",<a_178><b_230><c_5>,8.0,,hit_at_10,0,2,"<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Pr
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_14><c_107> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_135> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_94> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",,23.0,"<a_24><b_149><c_2> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_24><b_78><c_74> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_24><b_149><c_24> :: ids=[2909] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS
<a_118><b_78><c_16> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_24><b_57><c_57> :: ids=[3557] :: fam=3d_filament :: 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)"
gain_vs_r680a,r680a,84,other,959,"American Weigh Scales Calibration Weight Kit WGHTKIT, Class M2",<a_72><b_24><c_141>,8.0,,hit_at_10,1,2,"<a_190><b_103><c_0> :: ids=[181, 182] :: fam=gauge_meter :: AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator / AcuRite 00613 Humidity Monitor with Indoor Thermometer
<a_190><b_185><c_201> :: ids=[159] :: fam=gauge_meter :: Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black
<a_35><b_170><c_107> :: ids=[218] :: fam=ventilation_fan :: Phresh Duct Silencer 8 in x 24 in
<a_35><b_85><c_71> :: ids=[2938] :: fam=ventilation_fan :: VenTech VT DUCT-6 VTD625 Aluminum Duct for Ventilation Ducting, 6''
<a_153><b_222><c_166> :: ids=[1834] :: fam=other :: General Hydroponics Ph 7.0 Calibration Solution - 8 Ounces, 1 bottle",,14.0,"<a_96><b_131><c_0> :: ids=[181, 182] :: fam=gauge_meter :: AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator / AcuRite 00613 Humidity Monitor with Indoor Thermometer
<a_161><b_212><c_57> :: ids=[3018] :: fam=ventilation_fan :: VenTech VT DUCT-4 VTD425 Aluminum Duct for Ventilation Ducting, 4''
<a_161><b_212><c_178> :: ids=[2938] :: fam=ventilation_fan :: VenTech VT DUCT-6 VTD625 Aluminum Duct for Ventilation Ducting, 6''
<a_254><b_179><c_219> :: ids=[119] :: fam=other :: Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)
<a_112><b_8><c_55> :: ids=[550] :: fam=other :: HM Digital DM-1 In-Line Dual TDS Monitor, 0-9990 ppm Range, +/- 2% Readout Accuracy"
gain_vs_r680a,r680a,102,other,2907,RotoMetals GA100 Gallium 100 Grams,<a_225><b_46><c_1>,9.0,,hit_at_10,1,2,"<a_102><b_136><c_47> :: ids=[475] :: fam=other :: Learning Resources Skeleton Model
<a_225><b_59><c_100> :: ids=[342] :: fam=other :: Omron Sprague Rappaport Stethoscope, Black
<a_17><b_5><c_140> :: ids=[1532] :: fam=other :: First Voice TS-3183 Sterile Self-Adherent Stretch Sensi-Wrap Bandage, 5 yds Length x 3"" Width (Pack of 10)
<a_225><b_186><c_26> :: ids=[2049] :: fam=other :: 500 qty 3/8"" Inch Steel Shot Slingshot Ammo Balls
<a_211><b_154><c_68> :: ids=[513] :: fam=other :: Kimberly-Clark Professional Kimtech Science KimWipes Delicate Task Wipers, 4.4 x 8.4 in. 1-ply",,,"<a_86><b_122><c_222> :: ids=[475] :: fam=other :: Learning Resources Skeleton Model
<a_88><b_52><c_85> :: ids=[484] :: fam=other :: Arm & Hammer Peroxicare Deep Clean Toothpaste, 6 oz (Packaging May Vary)
<a_57><b_115><c_88> :: ids=[342] :: fam=other :: Omron Sprague Rappaport Stethoscope, Black
<a_172><b_214><c_69> :: ids=[474] :: fam=other :: Generic 1800088 Taylor Percussion Reflex Hammer
<a_232><b_29><c_32> :: ids=[366] :: fam=other :: Lisle 52750 Stethoscope Kit"
gain_vs_r680a,r680a,113,3d_filament,3016,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",<a_178><b_230><c_5>,10.0,,hit_at_10,1,1,"<a_193><b_46><c_91> :: ids=[563] :: fam=3d_filament :: Foreasy 3D Printer Tool 3D Print Removal Tool Enhanced Version Set of 2
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_178><b_165><c_53> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue
<a_178><b_46><c_65> :: ids=[2333] :: fam=3d_filament :: eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",,26.0,"<a_118><b_78><c_16> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_60><b_195><c_233> :: ids=[3444] :: fam=3d_filament :: RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle
<a_233><b_171><c_44> :: ids=[2475] :: fam=other :: Gizmo Dorks 3D Print Removal Tool, 5-inch Blade
<a_24><b_157><c_89> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_24><b_78><c_138> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue"
gain_vs_r680a,r680a,197,3d_filament,2152,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gold",<a_178><b_165><c_9>,7.0,,hit_at_10,0,2,"<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_252><c_162> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_178><b_165><c_53> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue
<a_178><b_154><c_141> :: ids=[2472] :: fam=3d_filament :: HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black
<a_178><b_165><c_4> :: ids=[1107] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark",,12.0,"<a_24><b_157><c_89> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White
<a_118><b_78><c_16> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_60><b_195><c_233> :: ids=[3444] :: fam=3d_filament :: RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle
<a_24><b_157><c_108> :: ids=[1849] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Purple
<a_24><b_78><c_74> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver"
gain_vs_r680a,r680a,229,3d_filament,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_178><b_14><c_6>,5.0,,hit_at_10,0,0,"<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_178><b_150><c_186> :: ids=[2714] :: fam=3d_filament :: NinjaFlex TPU 3D Printing Filament - 1.75mm .50kg - SAPPHIRE
<a_77><b_48><c_99> :: ids=[3613] :: fam=3d_filament :: iXCC Basic Series PLA 3D Printer Filament 1.75mm Diameter (Dimensional Accuracy +/- 0.05mm) - 1kg Spool (Approximately 2.2 lbs) [Red]
<a_178><b_143><c_111> :: ids=[3558] :: fam=3d_filament :: Professional Black 1.75mm PLA 3D Printer Filament, 1kg (2.2lb) Filament Weight, 0.05mm Tolerance, by ProMolt 3D
<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Pr",,17.0,"<a_14><b_28><c_133> :: ids=[2721] :: fam=3d_filament :: 3D Solutech Navy Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_14><b_202><c_86> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_14><b_202><c_139> :: ids=[2932] :: fam=3d_filament :: Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_60><b_195><c_233> :: ids=[3444] :: fam=3d_filament :: RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle
<a_67><b_247><c_199> :: ids=[162] :: fam=3d_filament :: USAFilament 9800429 ABS 3D Printing Filament, 2.2 lb, 1.75 mm, White Spool"
gain_vs_r680a,r680a,262,connector_fitting,1035,"Anderson Metals Brass Pipe Fitting, 90 Degree Barstock Street Elbow, 3/8"" Male Pipe x 3/8"" Female Pipe",<a_166><b_130><c_26>,7.0,,hit_at_10,1,3,"<a_40><b_5><c_186> :: ids=[2430] :: fam=connector_fitting :: Yueton 100pcs Red 22/18- Gauge Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_40><b_5><c_52> :: ids=[2617] :: fam=connector_fitting :: Yueton&reg; 100pcs Yellow 12/10-Gauge Economy Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_185><b_83><c_203> :: ids=[457] :: fam=other :: CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle
<a_109><b_114><c_135> :: ids=[176] :: fam=other :: URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size
<a_185><b_2><c_12> :: ids=[123] :: fam=other :: Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads",,,"<a_173><b_176><c_210> :: ids=[157] :: fam=connector_fitting :: Yueton 100pcs Female Fully Insulated Wire Crimp Terminal Nylon Quick Connectors Wiring Spade
<a_173><b_1><c_49> :: ids=[2617] :: fam=connector_fitting :: Yueton&reg; 100pcs Yellow 12/10-Gauge Economy Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal
<a_99><b_231><c_44> :: ids=[399] :: fam=other :: Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES
<a_173><b_49><c_111> :: ids=[1454] :: fam=connector_fitting :: SOLOOP 100pcs Red Assorted Insulated Female&Male Bullet Butt Connector wire Crimp Terminals
<a_230><b_82><c_50> :: ids=[457] :: fam=other :: CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle"
gain_vs_r680a,r680a,296,connector_fitting,3209,Ancor Heat Shrink Ring Terminals,<a_115><b_171><c_0>,10.0,,hit_at_10,1,2,"<a_134><b_146><c_0> :: ids=[216, 217] :: fam=other :: Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG / Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG
<a_115><b_6><c_4> :: ids=[883] :: fam=adhesive_epoxy :: Ancor Marine Grade Electrical Heat Activated Adhesive Lined Shrink Tubing
<a_115><b_56><c_2> :: ids=[170] :: fam=other :: URBEST 328 Pcs Assorted Heat Shrink Tube 5 Colors 8 Sizes Tubing Wrap Sleeve Set Combo (328PCS)
<a_115><b_213><c_222> :: ids=[399] :: fam=other :: Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES
<a_63><b_33><c_100> :: ids=[368] :: fam=other :: Nilight GA0005 Holder TAP Adapter Mini ATM APM Blade Fuse Holder-10 Pack",,18.0,"<a_126><b_74><c_0> :: ids=[216, 217] :: fam=other :: Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG / Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG
<a_99><b_231><c_44> :: ids=[399] :: fam=other :: Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES
<a_205><b_136><c_4> :: ids=[950] :: fam=tape :: X-Treme Tape TPE-XZLCLR Silicone Rubber Self Fusing Tape, 1"" x 10', Triangular, Clear
<a_205><b_103><c_108> :: ids=[23] :: fam=tape :: Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle
<a_1><b_178><c_242> :: ids=[1286] :: fam=other :: Accessbuy 180-Piece Rubber Grommet Shop Assortment"
