family,n,ndcg@1,ndcg@3,ndcg@5,ndcg@10,hr@1,hr@3,hr@5,hr@10,hr@50,top10_has_target_l1,top10_has_target_l2,top1_same_family,top1_history_repeat,top10_history_repeat_mean,l1_routing_miss_count,l2_routing_miss_after_l1_hit_count,leaf_or_ranking_miss_after_l2_hit_count,hit10_count
other,1873,0.036305392418579815,0.041936699427961376,0.04499206811838078,0.04922840883618921,0.036305392418579815,0.04644954618259477,0.05392418579818473,0.06727175654030966,0.12653497063534436,0.20234917245061398,0.07474639615589963,0.4938601174586225,0.42605445808862785,1.4511478910838227,1494,239,14,126
3d_filament,1101,0.03814713896457766,0.06750288997988926,0.08235355964942484,0.1027489823711656,0.03814713896457766,0.08900999091734786,0.12534059945504086,0.18891916439600362,0.38056312443233425,0.6693914623069936,0.3787465940054496,0.8419618528610354,0.27702089009990916,1.3060853769300635,364,320,209,208
gauge_meter,513,0.30214424951267055,0.3411990318643844,0.35093163165683144,0.36172290194282347,0.30214424951267055,0.3664717348927875,0.3898635477582846,0.42300194931773877,0.5107212475633528,0.5516569200779727,0.4502923976608187,0.45614035087719296,0.5672514619883041,1.5204678362573099,230,52,14,217
tape,301,0.023255813953488372,0.03828478077835824,0.04657850784401491,0.05433237709282832,0.023255813953488372,0.04983388704318937,0.06976744186046512,0.09302325581395349,0.18272425249169436,0.45514950166112955,0.1362126245847176,0.2292358803986711,0.42524916943521596,1.6212624584717608,164,96,13,28
connector_fitting,273,0.040293040293040296,0.049057836119832866,0.050474879369776245,0.06789417252630797,0.040293040293040296,0.054945054945054944,0.05860805860805861,0.11355311355311355,0.20512820512820512,0.3516483516483517,0.14285714285714285,0.3516483516483517,0.36996336996337,1.4395604395604396,177,57,8,31
adhesive_epoxy,224,0.008928571428571428,0.014561872799745159,0.01993857892716693,0.027124003482214696,0.008928571428571428,0.017857142857142856,0.03125,0.05357142857142857,0.16071428571428573,0.29464285714285715,0.10267857142857142,0.15625,0.36607142857142855,1.4151785714285714,158,43,11,12
fastener,142,0.0,0.004443167278672236,0.0074761007862313425,0.0074761007862313425,0.0,0.007042253521126761,0.014084507042253521,0.014084507042253521,0.07042253521126761,0.14084507042253522,0.028169014084507043,0.07042253521126761,0.4014084507042254,1.3873239436619718,122,16,2,2
ventilation_fan,64,0.015625,0.07272888699777012,0.07272888699777012,0.10250325729101382,0.015625,0.109375,0.109375,0.203125,0.234375,0.328125,0.21875,0.03125,0.578125,1.75,43,7,1,13
metadata_placeholder,30,0.0,0.0,0.014355885269113102,0.03450687537256699,0.0,0.0,0.03333333333333333,0.1,0.23333333333333334,0.16666666666666666,0.1,0.0,0.4666666666666667,1.6666666666666667,25,2,0,3
test_strip,12,0.0,0.0,0.0,0.04817747105298131,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.0,0.4166666666666667,1.25,9,1,0,2
