baseline,family,n,r693_hit1,baseline_hit1,delta_hit1,r693_hit10,baseline_hit10,delta_hit10,r693_ndcg10,baseline_ndcg10,delta_ndcg10,r693_only_hit10_count,baseline_only_hit10_count
original_sft_strong,3d_filament,1101,0.03814713896457766,0.02452316076294278,0.013623978201634877,0.18891916439600362,0.2125340599455041,-0.02361489554950047,0.1027489823711656,0.10356717805938034,-0.0008181956882147429,53,79
original_sft_strong,other,1873,0.036305392418579815,0.04271222637479979,-0.006406833956219972,0.06727175654030966,0.07528029898558462,-0.008008542445274963,0.04922840883618921,0.057588288799945056,-0.008359879963755847,30,45
original_sft_strong,gauge_meter,513,0.30214424951267055,0.32748538011695905,-0.025341130604288498,0.42300194931773877,0.4249512670565302,-0.001949317738791423,0.36172290194282347,0.3737885620084255,-0.012065660065602002,21,22
original_sft_strong,connector_fitting,273,0.040293040293040296,0.04395604395604396,-0.003663003663003664,0.11355311355311355,0.12087912087912088,-0.007326007326007328,0.06789417252630797,0.07870621787257974,-0.010812045346271767,9,11
original_sft_strong,tape,301,0.023255813953488372,0.029900332225913623,-0.006644518272425251,0.09302325581395349,0.09966777408637874,-0.006644518272425251,0.05433237709282832,0.060580162379451186,-0.006247785286622863,8,10
original_sft_strong,adhesive_epoxy,224,0.008928571428571428,0.017857142857142856,-0.008928571428571428,0.05357142857142857,0.05803571428571429,-0.004464285714285719,0.027124003482214696,0.03469968842131379,-0.007575684939099093,8,9
original_sft_strong,fastener,142,0.0,0.007042253521126761,-0.007042253521126761,0.014084507042253521,0.028169014084507043,-0.014084507042253521,0.0074761007862313425,0.015258215962441313,-0.00778211517620997,1,3
original_sft_strong,test_strip,12,0.0,0.08333333333333333,-0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.04817747105298131,0.11922304650611609,-0.07104557545313478,1,1
original_sft_strong,metadata_placeholder,30,0.0,0.0,0.0,0.1,0.0,0.1,0.03450687537256699,0.0,0.03450687537256699,3,0
original_sft_strong,ventilation_fan,64,0.015625,0.03125,-0.015625,0.203125,0.140625,0.0625,0.10250325729101382,0.08482072146577471,0.017682535825239112,4,0
r650a,3d_filament,1101,0.03814713896457766,0.02452316076294278,0.013623978201634877,0.18891916439600362,0.17166212534059946,0.017257039055404155,0.1027489823711656,0.0902945690750549,0.012454413296110703,84,65
r650a,other,1873,0.036305392418579815,0.04378003203416978,-0.007474639615589966,0.06727175654030966,0.07100907634810465,-0.0037373198077949865,0.04922840883618921,0.055567266706524156,-0.006338857870334946,28,35
r650a,gauge_meter,513,0.30214424951267055,0.3138401559454191,-0.011695906432748537,0.42300194931773877,0.39766081871345027,0.025341130604288498,0.36172290194282347,0.35212934728731876,0.00959355465550471,32,19
r650a,adhesive_epoxy,224,0.008928571428571428,0.013392857142857142,-0.004464285714285714,0.05357142857142857,0.08482142857142858,-0.03125000000000001,0.027124003482214696,0.044226456684443645,-0.01710245320222895,5,12
r650a,tape,301,0.023255813953488372,0.029900332225913623,-0.006644518272425251,0.09302325581395349,0.08305647840531562,0.00996677740863787,0.05433237709282832,0.05279459460043834,0.0015377824923899844,11,8
r650a,connector_fitting,273,0.040293040293040296,0.03296703296703297,0.007326007326007328,0.11355311355311355,0.06593406593406594,0.047619047619047616,0.06789417252630797,0.04749654487574067,0.020397627650567303,16,3
r650a,fastener,142,0.0,0.014084507042253521,-0.014084507042253521,0.014084507042253521,0.02112676056338028,-0.00704225352112676,0.0074761007862313425,0.016808822586158744,-0.0093327217999274,1,2
r650a,metadata_placeholder,30,0.0,0.03333333333333333,-0.03333333333333333,0.1,0.03333333333333333,0.06666666666666668,0.03450687537256699,0.03333333333333333,0.0011735420392336576,3,1
r650a,test_strip,12,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.04817747105298131,0.0322377339362118,0.015939737116769513,1,0
r650a,ventilation_fan,64,0.015625,0.03125,-0.015625,0.203125,0.109375,0.09375,0.10250325729101382,0.07440405479910805,0.02809920249190577,6,0
