baseline,k,both_hit,r693_only_hit,baseline_only_hit,both_miss,net_r693_minus_baseline_hits
original_sft_strong,1,230,56,74,4173,-18
original_sft_strong,3,323,92,123,3995,-31
original_sft_strong,5,386,107,150,3890,-43
original_sft_strong,10,504,138,180,3711,-42
original_sft_strong,50,849,253,263,3168,-10
v2_on_p05,1,234,52,86,4161,-34
v2_on_p05,3,312,103,119,3999,-16
v2_on_p05,5,382,111,138,3902,-27
v2_on_p05,10,489,153,174,3717,-21
v2_on_p05,50,838,264,287,3144,-23
r650a,1,216,70,80,4167,-10
r650a,3,298,117,126,3992,-9
r650a,5,356,137,139,3901,-2
r650a,10,455,187,145,3746,42
r650a,50,806,296,236,3195,60
r680a,1,235,51,77,4170,-26
r680a,3,336,79,104,4014,-25
r680a,5,382,111,117,3923,-6
r680a,10,475,167,140,3751,27
r680a,50,805,297,254,3177,43
