variant,idx,user_id,item_id,family,item_title,target_sid,target_l1,target_l2,rank,rank_found,hit1,hit3,hit5,hit10,hit20,hit50,ndcg10,ndcg50,top1_sid,top1_l1,top1_l2,top1_item_ids,top1_item_titles,top1_families,top1_same_l1,top1_same_l2,top1_same_family,top1_history_repeat,top10_history_repeat_count,top50_history_repeat_count,top10_has_target_l1,top10_has_target_l2,top50_has_target_l1,top50_has_target_l2,history_len,target_l1_in_history,target_l2_in_history,failure_type_at10
r693a,0,A6948,3681,3d_filament,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),<a_178><b_14><c_203>,<a_178>,<a_178><b_14>,999,,0,0,0,0,0,0,0.0,0.0,<a_178><b_150><c_117>,<a_178>,<a_178><b_150>,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,1,0,1,1,2,4,1,0,1,1,10,1,1,l2_routing_miss_after_l1_hit
r693a,1,A474,278,tape,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",<a_31><b_128><c_98>,<a_31>,<a_31><b_128>,999,,0,0,0,0,0,0,0.0,0.0,<a_31><b_155><c_192>,<a_31>,<a_31><b_155>,168,"Scotch Super 33+ Vinyl Electrical Tape, 3/4 in x 66 ft",tape,1,0,1,1,1,1,1,0,1,0,1,1,0,l2_routing_miss_after_l1_hit
r693a,2,A474,719,adhesive_epoxy,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",<a_138><b_39><c_195>,<a_138>,<a_138><b_39>,999,,0,0,0,0,0,0,0.0,0.0,<a_31><b_208><c_41>,<a_31>,<a_31><b_208>,125,"Gorilla 6100101 Tape Handy Roll, 1-Pack, Black",tape,0,0,0,0,1,2,0,0,1,0,2,0,0,l1_routing_miss
r693a,3,A474,1526,ventilation_fan,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,<a_0><b_234><c_49>,<a_0>,<a_0><b_234>,999,,0,0,0,0,0,0,0.0,0.0,<a_31><b_208><c_41>,<a_31>,<a_31><b_208>,125,"Gorilla 6100101 Tape Handy Roll, 1-Pack, Black",tape,0,0,0,0,2,2,0,0,0,0,3,0,0,l1_routing_miss
r693a,4,A617,658,other,Stanley R120 Rivet Pack Assortment,<a_100><b_214><c_111>,<a_100>,<a_100><b_214>,999,,0,0,0,0,0,0,0.0,0.0,<a_238><b_31><c_207>,<a_238>,<a_238><b_31>,334,DEWALT DW4774 4-1/2-Inch Double-Row Diamond-Cup Grinding-Wheel,other,0,0,1,1,1,3,0,0,0,0,10,0,0,l1_routing_miss
r693a,5,A1062,103,other,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",<a_154><b_245><c_172>,<a_154>,<a_154><b_245>,999,,0,0,0,0,0,0,0.0,0.0,<a_130><b_22><c_149>,<a_130>,<a_130><b_22>,2206,Steelex D2613 3-Inch Threaded Swivel Polyurethane Wheel,other,0,0,1,1,2,6,0,0,0,0,10,0,0,l1_routing_miss
r693a,6,A1119,266,gauge_meter,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",<a_197><b_153><c_104>,<a_197>,<a_197><b_153>,999,,0,0,0,0,0,0,0.0,0.0,<a_109><b_114><c_135>,<a_109>,<a_109><b_114>,176,URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size,other,0,0,0,0,1,3,0,0,1,1,7,0,0,l1_routing_miss
r693a,7,A1698,675,adhesive_epoxy,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,<a_124><b_153><c_37>,<a_124>,<a_124><b_153>,999,,0,0,0,0,0,0,0.0,0.0,<a_209><b_85><c_21>,<a_209>,<a_209><b_85>,2450,"Round Spacer, Nylon, Off-White, 3/8"" Screw Size, 0.675"" OD, 11/64"" ID, 9/16"" Length, Made in US (Pack of 100)",fastener,0,0,0,1,2,4,0,0,0,0,9,0,0,l1_routing_miss
r693a,8,A5139,511,other,"Nicholson 06706N Axe File, 8-Inch",<a_154><b_61><c_73>,<a_154>,<a_154><b_61>,999,,0,0,0,0,0,0,0.0,0.0,<a_214><b_77><c_172>,<a_214>,<a_214><b_77>,515,Chemical Guys ACC_121.32HD Chemical Resistant Heavy Duty Bottle and Sprayer (32 oz),other,0,0,1,0,1,3,0,0,0,0,4,0,0,l1_routing_miss
r693a,9,A5259,1391,other,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",<a_190><b_18><c_54>,<a_190>,<a_190><b_18>,999,,0,0,0,0,0,0,0.0,0.0,<a_80><b_159><c_31>,<a_80>,<a_80><b_159>,1657,AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with Storage Case,other,0,0,1,0,2,2,0,0,1,0,7,0,0,l1_routing_miss
r693a,10,A5867,2253,tape,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",<a_31><b_194><c_150>,<a_31>,<a_31><b_194>,999,,0,0,0,0,0,0,0.0,0.0,<a_193><b_228><c_165>,<a_193>,<a_193><b_228>,2475,"Gizmo Dorks 3D Print Removal Tool, 5-inch Blade",other,0,0,0,1,3,3,0,0,0,0,5,0,0,l1_routing_miss
r693a,11,A6006,450,tape,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",<a_31><b_171><c_9>,<a_31>,<a_31><b_171>,2,2.0,0,1,1,1,1,1,0.6309297535714575,0.6309297535714575,<a_185><b_83><c_203>,<a_185>,<a_185><b_83>,457,CRC 03400 16oz Truetap Cutting Fluid Heavy Duty Bottle,other,0,0,0,0,2,4,1,1,1,1,4,1,1,hit_at_10
r693a,12,A6172,59,adhesive_epoxy,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),<a_78><b_154><c_141>,<a_78>,<a_78><b_154>,17,17.0,0,0,0,0,1,1,0.0,0.23981246656813146,<a_117><b_57><c_133>,<a_117>,<a_117><b_57>,697,Waterpik Sensonic Professional Toothbrush (SR-3000),other,0,0,0,1,4,4,1,0,1,1,5,1,0,l2_routing_miss_after_l1_hit
r693a,13,A6498,1374,other,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,<a_151><b_153><c_8>,<a_151>,<a_151><b_153>,999,,0,0,0,0,0,0,0.0,0.0,<a_211><b_154><c_68>,<a_211>,<a_211><b_154>,513,"Kimberly-Clark Professional Kimtech Science KimWipes Delicate Task Wipers, 4.4 x 8.4 in. 1-ply",other,0,0,1,0,1,3,0,0,0,0,3,0,0,l1_routing_miss
r693a,14,A7420,3340,other,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",<a_75><b_19><c_5>,<a_75>,<a_75><b_19>,999,,0,0,0,0,0,0,0.0,0.0,<a_235><b_80><c_15>,<a_235>,<a_235><b_80>,1949,"Steel Machine Screw, Zinc Plated Finish, Flat Head, Phillips Drive, 2"" Length, #8-32 Threads (Pack of 100)",fastener,0,0,0,1,3,3,0,0,0,0,8,0,0,l1_routing_miss
r693a,15,A300,352,other,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,<a_209><b_200><c_227>,<a_209>,<a_209><b_200>,999,,0,0,0,0,0,0,0.0,0.0,<a_31><b_28><c_220>,<a_31>,<a_31><b_28>,711,3M Scotch #35 Electrical Tape Value Pack (10457NA),tape,0,0,0,0,1,1,0,0,0,0,3,0,0,l1_routing_miss
r693a,16,A300,516,other,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",<a_209><b_171><c_16>,<a_209>,<a_209><b_171>,999,,0,0,0,0,0,0,0.0,0.0,<a_31><b_28><c_220>,<a_31>,<a_31><b_28>,711,3M Scotch #35 Electrical Tape Value Pack (10457NA),tape,0,0,0,0,1,2,0,0,1,0,4,1,0,l1_routing_miss
r693a,17,A2094,152,connector_fitting,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",<a_181><b_139><c_99>,<a_181>,<a_181><b_139>,999,,0,0,0,0,0,0,0.0,0.0,<a_115><b_213><c_222>,<a_115>,<a_115><b_213>,399,Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES,other,0,0,0,1,1,4,0,0,0,0,10,1,0,l1_routing_miss
r693a,18,A2094,1080,other,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",<a_148><b_154><c_83>,<a_148>,<a_148><b_154>,999,,0,0,0,0,0,0,0.0,0.0,<a_181><b_139><c_99>,<a_181>,<a_181><b_139>,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,0,0,0,1,3,5,0,0,0,0,10,0,0,l1_routing_miss
r693a,19,A2177,326,adhesive_epoxy,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,<a_124><b_153><c_9>,<a_124>,<a_124><b_153>,999,,0,0,0,0,0,0,0.0,0.0,<a_35><b_170><c_107>,<a_35>,<a_35><b_170>,218,Phresh Duct Silencer 8 in x 24 in,ventilation_fan,0,0,0,0,2,2,0,0,0,0,3,0,0,l1_routing_miss
r693a,20,A2177,1098,adhesive_epoxy,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,<a_124><b_153><c_232>,<a_124>,<a_124><b_153>,999,,0,0,0,0,0,0,0.0,0.0,<a_31><b_208><c_41>,<a_31>,<a_31><b_208>,125,"Gorilla 6100101 Tape Handy Roll, 1-Pack, Black",tape,0,0,0,0,0,3,1,1,1,1,4,1,1,leaf_or_ranking_miss_after_l2_hit
r693a,21,A2571,1305,other,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",<a_162><b_6><c_7>,<a_162>,<a_162><b_6>,999,,0,0,0,0,0,0,0.0,0.0,<a_109><b_114><c_135>,<a_109>,<a_109><b_114>,176,URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size,other,0,0,1,0,0,1,1,0,1,0,2,1,0,l2_routing_miss_after_l1_hit
