variant,rank_bucket,count,rate
original_sft_strong,rank=1,304,0.0670637546878447
original_sft_strong,rank=2-3,142,0.031325832781822195
original_sft_strong,rank=4-5,90,0.01985440105890139
original_sft_strong,rank=6-10,148,0.03264945951908228
original_sft_strong,rank=11-20,176,0.038826384292962715
original_sft_strong,rank=21-50,252,0.05559232296492389
original_sft_strong,miss@50,3421,0.7546878446944628
v2_on_p05,rank=1,320,0.07059342598720494
v2_on_p05,rank=2-3,111,0.024487094639311716
v2_on_p05,rank=4-5,89,0.019633796602691374
v2_on_p05,rank=6-10,143,0.03154643723803221
v2_on_p05,rank=11-20,164,0.03617913081844253
v2_on_p05,rank=21-50,298,0.0657401279505846
v2_on_p05,miss@50,3408,0.7518199867637326
r650a,rank=1,296,0.06529891903816457
r650a,rank=2-3,128,0.028237370394881976
r650a,rank=4-5,71,0.015662916390911098
r650a,rank=6-10,105,0.02316346790205162
r650a,rank=11-20,174,0.03838517538054269
r650a,rank=21-50,268,0.05912199426428414
r650a,miss@50,3491,0.770130156629164
r680a,rank=1,312,0.06882859033752482
r680a,rank=2-3,128,0.028237370394881976
r680a,rank=4-5,59,0.013015662916390912
r680a,rank=6-10,116,0.02559011692036179
r680a,rank=11-20,165,0.036399735274652546
r680a,rank=21-50,279,0.06154864328259431
r680a,miss@50,3474,0.7663798808735937
r693a,rank=1,286,0.06309287447606442
r693a,rank=2-3,129,0.028457974851091992
r693a,rank=4-5,78,0.017207147584381206
r693a,rank=6-10,149,0.0328700639752923
r693a,rank=11-20,162,0.0357379219060225
r693a,rank=21-50,298,0.0657401279505846
r693a,miss@50,3431,0.756893889256563
