case_type,idx,family,item_id,target_title,original_rank,r693_rank,r693_failure_type,r693_top1_history_repeat,r693_top10_history_repeat_count,original_top5,r693_top5
r693_lost_vs_original_at10,124,3d_filament,2739,1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,8.0,,L2_miss_after_L1_hit,1,1,"<a_158><b_72><c_88> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_76> :: ids=[3546] :: fam=3d_filament :: Inland 1.75mm Orange PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_6> :: ids=[2485] :: fam=3d_filament :: Inland 1.75mm Gold PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_70> :: ids=[2934] :: fam=3d_filament :: Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_245><c_180> :: ids=[1206] :: fam=3d_filament :: eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black","<a_220><b_114><c_145> :: ids=[2932] :: fam=3d_filament :: Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_156> :: ids=[2934] :: fam=3d_filament :: Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_212><b_17><c_91> :: ids=[2926] :: fam=3d_filament :: HICTOP 5 Pieces 3D Printer Extruder Hotend 1.75mm Nozzle Throat for Reprap Prusa I3
<a_220><b_114><c_53> :: ids=[2734] :: fam=3d_filament :: Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm"
r693_lost_vs_original_at10,220,3d_filament,3112,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",2.0,36.0,leaf_or_rank_miss_after_L2_hit,1,2,"<a_223><b_160><c_251> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_223><b_80><c_3> :: ids=[3112, 3493] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK / 3D Solutech Printer Filament, Real Blue PLA, 1.75MM
<a_223><b_80><c_0> :: ids=[2659, 3557, 3631] :: fam=3d_filament :: 3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) / 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Fila
<a_223><b_80><c_84> :: ids=[2909] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS
<a_223><b_198><c_6> :: ids=[2472] :: fam=3d_filament :: HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black","<a_178><b_166><c_183> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_165><c_53> :: ids=[50] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue
<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_178><b_165><c_4> :: ids=[1107] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark"
r693_lost_vs_original_at10,634,3d_filament,2204,"Proto-pasta CFP11705 The Original Carbon Fiber Spool , PLA 1.75 mm, 500 g , Black",9.0,,L2_miss_after_L1_hit,1,1,"<a_223><b_86><c_176> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_223><b_160><c_251> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_91><b_105><c_64> :: ids=[2926] :: fam=3d_filament :: HICTOP 5 Pieces 3D Printer Extruder Hotend 1.75mm Nozzle Throat for Reprap Prusa I3
<a_223><b_89><c_224> :: ids=[3165] :: fam=3d_filament :: SainSmart 1.75mm PLA Filament 1kg/2.2lb for 3D Printers Reprap, MakerBot (Fluorescein Green)
<a_223><b_172><c_97> :: ids=[3558] :: fam=3d_filament :: Professional Black 1.75mm PLA 3D Printer Filament, 1kg (2.2lb) Filament Weight, 0.05mm Tolerance, by ProMolt 3D","<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_178><b_150><c_186> :: ids=[2714] :: fam=3d_filament :: NinjaFlex TPU 3D Printing Filament - 1.75mm .50kg - SAPPHIRE
<a_178><b_154><c_135> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver
<a_178><b_252><c_162> :: ids=[1847] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White"
r693_lost_vs_original_at10,974,3d_filament,2734,Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs),9.0,15.0,leaf_or_rank_miss_after_L2_hit,1,1,"<a_158><b_72><c_88> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_223><b_160><c_251> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_223><b_72><c_76> :: ids=[3670] :: fam=3d_filament :: HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red
<a_223><b_86><c_176> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_158><b_72><c_191> :: ids=[1553] :: fam=3d_filament :: Inland 1.75mm Red PLA 3D Printer Filament - 1kg Spool (2.2 lbs)","<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_178><b_150><c_186> :: ids=[2714] :: fam=3d_filament :: NinjaFlex TPU 3D Printing Filament - 1.75mm .50kg - SAPPHIRE
<a_220><b_114><c_145> :: ids=[2932] :: fam=3d_filament :: Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_178><b_166><c_183> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_178><b_230><c_5> :: ids=[3016] :: fam=3d_filament :: HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood"
r693_lost_vs_original_at10,975,3d_filament,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),1.0,37.0,leaf_or_rank_miss_after_L2_hit,1,2,"<a_158><b_72><c_88> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_232> :: ids=[2734] :: fam=3d_filament :: Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_76> :: ids=[3546] :: fam=3d_filament :: Inland 1.75mm Orange PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_219> :: ids=[2932] :: fam=3d_filament :: Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_223><b_72><c_76> :: ids=[3670] :: fam=3d_filament :: HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red","<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_178><b_150><c_186> :: ids=[2714] :: fam=3d_filament :: NinjaFlex TPU 3D Printing Filament - 1.75mm .50kg - SAPPHIRE
<a_220><b_114><c_145> :: ids=[2932] :: fam=3d_filament :: Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_212><b_17><c_91> :: ids=[2926] :: fam=3d_filament :: HICTOP 5 Pieces 3D Printer Extruder Hotend 1.75mm Nozzle Throat for Reprap Prusa I3
<a_178><b_166><c_183> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm"
r693_lost_vs_original_at10,1035,3d_filament,2721,"3D Solutech Navy Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3.0,38.0,L2_miss_after_L1_hit,1,3,"<a_223><b_246><c_0> :: ids=[3468] :: fam=3d_filament :: 3D Solutech Real Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_223><b_80><c_0> :: ids=[2659, 3557, 3631] :: fam=3d_filament :: 3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) / 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Fila
<a_223><b_246><c_2> :: ids=[2721] :: fam=3d_filament :: 3D Solutech Navy Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_223><b_80><c_101> :: ids=[3494] :: fam=3d_filament :: 3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_223><b_80><c_3> :: ids=[3112, 3493] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK / 3D Solutech Printer Filament, Real Blue PLA, 1.75MM","<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Printer PLA Filament 1
<a_77><b_48><c_99> :: ids=[3613] :: fam=3d_filament :: iXCC Basic Series PLA 3D Printer Filament 1.75mm Diameter (Dimensional Accuracy +/- 0.05mm) - 1kg Spool (Approximately 2.2 lbs) [Red]
<a_178><b_14><c_107> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_94> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_178><b_14><c_135> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)"
r693_lost_vs_original_at10,1171,3d_filament,1552,"3D Solutech Teal Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",9.0,11.0,leaf_or_rank_miss_after_L2_hit,1,2,"<a_223><b_80><c_0> :: ids=[2659, 3557, 3631] :: fam=3d_filament :: 3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) / 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Fila
<a_223><b_80><c_84> :: ids=[2909] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS
<a_223><b_80><c_101> :: ids=[3494] :: fam=3d_filament :: 3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_223><b_80><c_3> :: ids=[3112, 3493] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK / 3D Solutech Printer Filament, Real Blue PLA, 1.75MM
<a_223><b_80><c_158> :: ids=[2660] :: fam=3d_filament :: 3D Solutech Real Grey 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)","<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Printer PLA Filament 1
<a_178><b_14><c_94> :: ids=[3112] :: fam=3d_filament :: 3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK
<a_178><b_14><c_107> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_135> :: ids=[2993] :: fam=3d_filament :: 3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_178><b_14><c_75> :: ids=[2697] :: fam=3d_filament :: 3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)"
r693_lost_vs_original_at10,1377,3d_filament,3443,Inland 1.75mm Translucent Magenta PETG 3D Printer Filament - 1kg Spool (2.2 Lbs),8.0,16.0,leaf_or_rank_miss_after_L2_hit,1,4,"<a_158><b_72><c_88> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_232> :: ids=[2734] :: fam=3d_filament :: Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_70> :: ids=[2934] :: fam=3d_filament :: Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_76> :: ids=[3546] :: fam=3d_filament :: Inland 1.75mm Orange PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_158><b_72><c_213> :: ids=[3114] :: fam=3d_filament :: Inland 1.75mm Purple PLA 3D Printer Filament - 1kg Spool (2.2 lbs)","<a_220><b_114><c_145> :: ids=[2932] :: fam=3d_filament :: Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_156> :: ids=[2934] :: fam=3d_filament :: Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_53> :: ids=[2734] :: fam=3d_filament :: Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_224> :: ids=[2979] :: fam=3d_filament :: Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)
<a_220><b_114><c_221> :: ids=[2485] :: fam=3d_filament :: Inland 1.75mm Gold PLA 3D Printer Filament - 1kg Spool (2.2 lbs)"
r693_lost_vs_original_at10,1475,3d_filament,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",6.0,28.0,L2_miss_after_L1_hit,1,1,"<a_223><b_96><c_140> :: ids=[3537] :: fam=3d_filament :: Smartbuy 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool/Roll (2.2 lbs) - Dimensional Accuracy +/- 0.05mm
<a_223><b_96><c_109> :: ids=[3613] :: fam=3d_filament :: iXCC Basic Series PLA 3D Printer Filament 1.75mm Diameter (Dimensional Accuracy +/- 0.05mm) - 1kg Spool (Approximately 2.2 lbs) [Red]
<a_223><b_86><c_176> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_223><b_160><c_251> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_223><b_80><c_140> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)","<a_193><b_228><c_165> :: ids=[2475] :: fam=other :: Gizmo Dorks 3D Print Removal Tool, 5-inch Blade
<a_178><b_150><c_117> :: ids=[2544] :: fam=3d_filament :: SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm
<a_77><b_48><c_99> :: ids=[3613] :: fam=3d_filament :: iXCC Basic Series PLA 3D Printer Filament 1.75mm Diameter (Dimensional Accuracy +/- 0.05mm) - 1kg Spool (Approximately 2.2 lbs) [Red]
<a_178><b_154><c_135> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_178><b_165><c_148> :: ids=[2507] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Silver"
r693_lost_vs_original_at10,1583,3d_filament,2157,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",6.0,43.0,L2_miss_after_L1_hit,1,1,"<a_197><b_62><c_112> :: ids=[2145] :: fam=3d_filament :: ROBO 3D R1 Plus 10x9x8-Inch ABS/PLA 3D Printer, White (A1-0002-000)
<a_223><b_78><c_126> :: ids=[297] :: fam=3d_filament :: XYZprinting ABS Plastic Filament Cartridge, 1.75 mm Diameter, 600g, Black
<a_223><b_80><c_140> :: ids=[2161] :: fam=3d_filament :: 3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)
<a_223><b_160><c_251> :: ids=[2477] :: fam=3d_filament :: BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
<a_223><b_80><c_84> :: ids=[2909] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS","<a_152><b_168><c_1> :: ids=[2145] :: fam=3d_filament :: ROBO 3D R1 Plus 10x9x8-Inch ABS/PLA 3D Printer, White (A1-0002-000)
<a_178><b_154><c_24> :: ids=[2582] :: fam=3d_filament :: HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange
<a_178><b_154><c_141> :: ids=[2472] :: fam=3d_filament :: HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black
<a_178><b_154><c_135> :: ids=[1851] :: fam=3d_filament :: HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow
<a_178><b_14><c_6> :: ids=[2909, 3494] :: fam=3d_filament :: 3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS / 3D Solutech Real Yellow 3D Printer PLA Filament 1"
