family,n,orig_NDCG@10,r693_NDCG@10,delta_NDCG@10,orig_HR@1,r693_HR@1,delta_HR@1,orig_HR@10,r693_HR@10,delta_HR@10,r693_l1_miss_rate,r693_l2_miss_after_l1_rate,r693_leaf_rank_miss_rate,r693_only_hit10_count,original_only_hit10_count
other,1873,0.057588288799945056,0.04922840883618921,-0.008359879963755847,0.04271222637479979,0.036305392418579815,-0.006406833956219972,0.07528029898558462,0.06727175654030966,-0.008008542445274963,0.797650827549386,0.12760277629471437,0.007474639615589963,30,45
3d_filament,1101,0.10356717805938034,0.1027489823711656,-0.0008181956882147429,0.02452316076294278,0.03814713896457766,0.013623978201634877,0.2125340599455041,0.18891916439600362,-0.02361489554950047,0.33060853769300635,0.29064486830154407,0.18982742960944596,53,79
gauge_meter,513,0.3737885620084255,0.36172290194282347,-0.012065660065602002,0.32748538011695905,0.30214424951267055,-0.025341130604288498,0.4249512670565302,0.42300194931773877,-0.001949317738791423,0.44834307992202727,0.10136452241715399,0.02729044834307992,21,22
tape,301,0.060580162379451186,0.05433237709282832,-0.006247785286622863,0.029900332225913623,0.023255813953488372,-0.006644518272425251,0.09966777408637874,0.09302325581395349,-0.006644518272425251,0.5448504983388704,0.31893687707641194,0.04318936877076412,8,10
connector_fitting,273,0.07870621787257974,0.06789417252630797,-0.010812045346271767,0.04395604395604396,0.040293040293040296,-0.003663003663003664,0.12087912087912088,0.11355311355311355,-0.007326007326007328,0.6483516483516484,0.2087912087912088,0.029304029304029304,9,11
adhesive_epoxy,224,0.03469968842131379,0.027124003482214696,-0.007575684939099093,0.017857142857142856,0.008928571428571428,-0.008928571428571428,0.05803571428571429,0.05357142857142857,-0.004464285714285719,0.7053571428571429,0.19196428571428573,0.049107142857142856,8,9
fastener,142,0.015258215962441313,0.0074761007862313425,-0.00778211517620997,0.007042253521126761,0.0,-0.007042253521126761,0.028169014084507043,0.014084507042253521,-0.014084507042253521,0.8591549295774648,0.11267605633802817,0.014084507042253521,1,3
ventilation_fan,64,0.08482072146577471,0.10250325729101382,0.017682535825239112,0.03125,0.015625,-0.015625,0.140625,0.203125,0.0625,0.671875,0.109375,0.015625,4,0
metadata_placeholder,30,0.0,0.03450687537256699,0.03450687537256699,0.0,0.0,0.0,0.0,0.1,0.1,0.8333333333333334,0.06666666666666667,0.0,3,0
test_strip,12,0.11922304650611609,0.04817747105298131,-0.07104557545313478,0.08333333333333333,0.0,-0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.75,0.08333333333333333,0.0,1,1
