family,variant,n_items,active_l1_in_family,active_l2_in_family,top_l1,top_l1_family_count,top_l1_family_coverage,top_l1_bucket_size,top_l1_bucket_purity,mean_items_per_l1_in_family
3d_filament,original,386,21,149,<a_223>,229,0.5932642487046632,247,0.9271255060728745,18.38095238095238
adhesive_epoxy,original,125,14,92,<a_165>,59,0.472,72,0.8194444444444444,8.928571428571429
connector_fitting,original,274,19,164,<a_67>,94,0.34306569343065696,119,0.7899159663865546,14.421052631578947
fastener,original,187,27,117,<a_224>,117,0.6256684491978609,191,0.612565445026178,6.925925925925926
gauge_meter,original,338,29,224,<a_42>,42,0.1242603550295858,100,0.42,11.655172413793103
other,original,2065,45,1459,<a_193>,118,0.05714285714285714,133,0.8872180451127819,45.888888888888886
tape,original,217,22,137,<a_202>,115,0.5299539170506913,117,0.9829059829059829,9.863636363636363
3d_filament,v2,386,46,185,<a_112>,97,0.25129533678756477,97,1.0,8.391304347826088
adhesive_epoxy,v2,125,28,99,<a_65>,17,0.136,18,0.9444444444444444,4.464285714285714
connector_fitting,v2,274,44,193,<a_34>,39,0.14233576642335766,54,0.7222222222222222,6.2272727272727275
fastener,v2,187,54,155,<a_87>,37,0.19786096256684493,37,1.0,3.462962962962963
gauge_meter,v2,338,80,245,<a_195>,22,0.0650887573964497,26,0.8461538461538461,4.225
other,v2,2065,183,1641,<a_233>,33,0.015980629539951573,35,0.9428571428571428,11.28415300546448
tape,v2,217,44,167,<a_177>,34,0.15668202764976957,34,1.0,4.931818181818182
3d_filament,R650a,386,39,201,<a_107>,74,0.19170984455958548,74,1.0,9.897435897435898
adhesive_epoxy,R650a,125,32,97,<a_125>,23,0.184,29,0.7931034482758621,3.90625
connector_fitting,R650a,274,49,205,<a_17>,30,0.10948905109489052,32,0.9375,5.591836734693878
fastener,R650a,187,44,154,<a_239>,16,0.0855614973262032,21,0.7619047619047619,4.25
gauge_meter,R650a,338,85,261,<a_173>,25,0.07396449704142012,35,0.7142857142857143,3.976470588235294
other,R650a,2065,185,1699,<a_246>,29,0.014043583535108959,32,0.90625,11.162162162162161
tape,R650a,217,47,162,<a_66>,31,0.14285714285714285,31,1.0,4.617021276595745
3d_filament,R680a,386,32,202,<a_24>,116,0.3005181347150259,117,0.9914529914529915,12.0625
adhesive_epoxy,R680a,125,26,99,<a_87>,19,0.152,19,1.0,4.8076923076923075
connector_fitting,R680a,274,47,214,<a_17>,25,0.09124087591240876,25,1.0,5.829787234042553
fastener,R680a,187,46,151,<a_142>,19,0.10160427807486631,19,1.0,4.065217391304348
gauge_meter,R680a,338,80,252,<a_220>,28,0.08284023668639054,29,0.9655172413793104,4.225
other,R680a,2065,211,1709,<a_240>,33,0.015980629539951573,33,1.0,9.786729857819905
tape,R680a,217,39,169,<a_108>,27,0.12442396313364056,27,1.0,5.564102564102564
3d_filament,R690a,386,31,164,<a_76>,196,0.5077720207253886,214,0.9158878504672897,12.451612903225806
adhesive_epoxy,R690a,125,18,101,<a_221>,38,0.304,45,0.8444444444444444,6.944444444444445
connector_fitting,R690a,274,24,173,<a_24>,87,0.3175182481751825,111,0.7837837837837838,11.416666666666666
fastener,R690a,187,33,131,<a_198>,71,0.37967914438502676,91,0.7802197802197802,5.666666666666667
gauge_meter,R690a,338,55,241,<a_168>,41,0.12130177514792899,92,0.44565217391304346,6.1454545454545455
other,R690a,2065,116,1592,<a_170>,81,0.03922518159806295,90,0.9,17.801724137931036
tape,R690a,217,28,139,<a_153>,104,0.4792626728110599,105,0.9904761904761905,7.75
3d_filament,R690b,386,15,134,<a_15>,220,0.5699481865284974,233,0.944206008583691,25.733333333333334
adhesive_epoxy,R690b,125,10,68,<a_17>,80,0.64,165,0.48484848484848486,12.5
connector_fitting,R690b,274,15,142,<a_180>,94,0.34306569343065696,142,0.6619718309859155,18.266666666666666
fastener,R690b,187,19,115,<a_45>,117,0.6256684491978609,162,0.7222222222222222,9.842105263157896
gauge_meter,R690b,338,23,204,<a_173>,47,0.1390532544378698,142,0.33098591549295775,14.695652173913043
other,R690b,2065,33,1324,<a_86>,123,0.059564164648910414,145,0.8482758620689655,62.57575757575758
tape,R690b,217,17,117,<a_48>,165,0.7603686635944701,182,0.9065934065934066,12.764705882352942
3d_filament,R693a,386,33,163,<a_178>,210,0.5440414507772021,212,0.9905660377358491,11.696969696969697
adhesive_epoxy,R693a,125,16,99,<a_124>,34,0.272,39,0.8717948717948718,7.8125
connector_fitting,R693a,274,24,159,<a_40>,98,0.35766423357664234,108,0.9074074074074074,11.416666666666666
fastener,R693a,187,29,115,<a_235>,79,0.42245989304812837,85,0.9294117647058824,6.448275862068965
gauge_meter,R693a,338,44,214,<a_69>,46,0.13609467455621302,84,0.5476190476190477,7.681818181818182
other,R693a,2065,87,1481,<a_90>,60,0.029055690072639227,78,0.7692307692307693,23.735632183908045
tape,R693a,217,23,111,<a_31>,155,0.7142857142857143,160,0.96875,9.434782608695652
3d_filament,R700a,386,32,170,<a_241>,119,0.3082901554404145,120,0.9916666666666667,12.0625
adhesive_epoxy,R700a,125,15,96,<a_237>,63,0.504,73,0.863013698630137,8.333333333333334
connector_fitting,R700a,274,32,194,<a_105>,49,0.17883211678832117,51,0.9607843137254902,8.5625
fastener,R700a,187,34,140,<a_160>,40,0.21390374331550802,82,0.4878048780487805,5.5
gauge_meter,R700a,338,54,244,<a_160>,34,0.10059171597633136,82,0.4146341463414634,6.2592592592592595
other,R700a,2065,119,1647,<a_145>,56,0.02711864406779661,56,1.0,17.352941176470587
tape,R700a,217,26,155,<a_69>,77,0.3548387096774194,78,0.9871794871794872,8.346153846153847
