family,l1,family_items_in_l1,family_coverage,bucket_size,bucket_purity,top_bucket_families,examples
3d_filament,<a_241>,119,0.3082901554404145,120,0.9916666666666667,"{'3d_filament': 119, 'other': 1}","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue || USAFilament 9800429 ABS 3D Printing Filament, 2.2 lb, 1.75 mm, White Spool || HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Green || UP! ABS Plastic Filament, 1.75 mm Diameter, 1.54 lbs Spool, Black || Verbatim 3D Printer Filament - PLA High-Grade 1.75mm 1kg Reel - Widely Compatible with 3D Printers - Red || XYZprinting ABS Plastic Filament Cartridge, 1.75 mm Diameter, 600g, Black || XYZprinting PLA Filament Cartridge, 1.75 mm Diameter, 600g, Nature || HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White"
3d_filament,<a_201>,76,0.19689119170984457,77,0.987012987012987,"{'3d_filament': 76, 'other': 1}","HATCHBOX 1 Spool 3D Printer Filament Tabletop Wall Mount Rack || HATCHBOX Glow in the Dark PLA 3D Printer Filament, Dimension Accuracy +/-0.03 mm, 1 kg Spool, 1.75 mm - Blue || 3D Solutech Teal Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) || Gizmo Dorks 1.75mm PLA Filament 1kg / 2.2lb for 3D Printers, Black || Gizmo Dorks 1.75mm PLA Filament 1kg / 2.2lb for 3D Printers, Translucent Green || Gizmo Dorks 1.75mm PLA Filament 1kg / 2.2lb for 3D Printers, White || Filabot 910175 Taulman 910 Alloy, 1.75"" Filament Diameter, Natural || 3D Solutech Hot Pink 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)"
3d_filament,<a_196>,58,0.15025906735751296,61,0.9508196721311475,"{'3d_filament': 58, 'other': 3}","MakerGear M2 Desktop 3D Printer || eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black || Inland 1.75mm Red PLA 3D Printer Filament - 1kg Spool (2.2 lbs) || Inland 1.75mm Peak Green PLA 3D Printer Filament - 1kg Spool (2.2 lbs) || 3 PCS Mechanical End Stop with Wiring for CNC Machine or RepRap 3D printer, compatible with RAMPS || FAMI 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 2132003mm || HICTOP 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.02mm || Metal J-head V6 Hotend 1.75mm Filament 0.4mm Bowden Extruder Reprap 3D Printer with 1 Meter Tubing"
3d_filament,<a_20>,27,0.06994818652849741,33,0.8181818181818182,"{'3d_filament': 27, 'other': 6}","eSUN 3D 1.75mm PETG Natural Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Natural || eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue || eSUN 3D 1.75mm PETG Green Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Green || SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm || HICTOP 3 Pcs 3D Printer Extruder 0.4mm Brass Nozzle + 3 Pcs Extruder 1.75mm Tube for Reprap Prusa I3 || eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black || NinjaFlex TPU 3D Printing Filament - 1.75mm .50kg - SAPPHIRE || PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; White Connector Tubing for 3D Pr"
3d_filament,<a_227>,25,0.06476683937823834,28,0.8928571428571429,"{'3d_filament': 25, 'other': 2, 'tape': 1}","Geeetech I3 Pro C, Dual Extruder,double Head,reprap Pursa I3 3d Printer,two-color Printing, High Resolution || XYZprinting da Vinci 1.0 AiO All-in-One 3D Printer (Scan/Edit/Print) || XYZprinting RFPLCXUS00B da Vinci Jr. & mini Series Filament, PLA (NFC), 600 g, Nature || da Vinci 1.0 3D Printer - 7.8"" x 7.8"" x 7.8"" Built Volume (Fully Enclosed Design for ABS/PLA/Flexible Material) || [Open Resin] XYZprinting Nobel 1.0 SLA 3D Printer (Included FREE Resin, FREE Printing Platform & Tank) || ROBO 3D R1 Fully Assembled 3D Printer, 8"" x 9"" x 10"" (Discontinued) || LulzBot TAZ 4 3D Printer || Printrbot Simple Kit with Aluminum Handle and Spool Rack 3D Printer Kit"
3d_filament,<a_228>,16,0.04145077720207254,25,0.64,"{'3d_filament': 16, 'other': 9}","XCSOURCE 3D Printer MK8 Extruder Aluminum Frame Block DIY Kit Reprap i3 All Metal BI090 || Kamo 5PCS 3D Printer 0.4mm Extruder Brass Nozzle Print Head for MK8 1.75mm ABS PLA Printer || Filabot TCBL1 Taulman Clear t-glase Filament, 1.75 mm, Black || Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm || Anycubic All Metal Right Hand MK8 Extruder Aluminum Frame Block DIY Kit for Reprap i3 3D Printer || BIQU MK10 M7 0.4mm Extruder Brass Nozzle Print Head for Makerbot 2 RepRap 1.75mm Filament 3D Printer (Pack of 5pcs) || Signswise 5pcs Reprap 24V 40W Ceramic Cartridge Heater for 3D Printer Prusa Mendel || Taulman BRIDGE Filament, 1.75 mm, BLACK"
3d_filament,<a_38>,8,0.02072538860103627,14,0.5714285714285714,"{'3d_filament': 8, 'other': 6}","Foreasy 3D Printer Tool 3D Print Removal Tool Enhanced Version Set of 2 || Octave Tool Kit A for 3D Printer || Dremel Digilab 3D20 3D Printer, Idea Builder for Brand New Hobbyists and Tinkerers || Dremel Digilab 3D40 Award Winning 3D Printer, Idea Builder with semi automated leveling, print PLA at 100 micron resolution || Filabot ABS 3D Printing Smoothing Pen || TwoUp 3D Printer Kit 7"" x 7"" x 5"" Build Dimensions 50 Micron 1.75mm PLA Filament || UP! Mini Fully Assembled 3D Printer, 4.75"" x 4.75"" x 4.75"" Maximum Build Dimensions, 0.20-mm Maximum Resolution, 1.75-mm ABS, PLA || Foreasy 3D Printer Accessories 3D Print Removal Tool Shovel Tool"
3d_filament,<a_215>,6,0.015544041450777202,72,0.08333333333333333,"{'other': 41, 'gauge_meter': 20, '3d_filament': 6, 'test_strip': 2, 'ventilation_fan': 1}","American Labs BS-144P-200S-22-A 144 Blank Microscope Slides and 200 Cover Glass Pre Cleaned - 2 Packs Ground Edges || ELEGOO Stepstick Stepper Motor Driver Module A4988 + Heat Sink for 3D Printer Reprap, CNC Machine or Robotics(Pack of 5) || Longruner A4988 Stepstick Stepper Motor Driver Module + Heat Sink for 3d Printer Reprap (Pack of 5 Pcs) || Hobbypower A4988 StepStick Stepper Motor Driver Module + Heat Sink for 3D Printer Reprap (pack of 5 pcs) || HICTOP 5 Meters GT2 2mm pitch 6mm wide Timing Belt for 3D printer CNC || [3D CAM] 5 PCS DRV8825 StepStick Stepper Motor Drivers for 3D Printer Electronics, CNC Machine or Robotics"
3d_filament,<a_200>,6,0.015544041450777202,88,0.06818181818181818,"{'other': 50, 'gauge_meter': 17, '3d_filament': 6, 'tape': 5, 'adhesive_epoxy': 3}","ROBO 3D R1 Plus 10x9x8-Inch ABS/PLA 3D Printer, White (A1-0002-000) || Scotch Bi-Directional Filament Tape 8959 Transparent, 50 mm x 50 m (Pack of 1) || Printrbot Assembled Metal Simple 3D Printer, Black, PLA Filament, 1.75mm Ubis Hot End, 6"" x 6"" x 6"" Build Volume || Printrbot Metal Simple 3D Printer Kit, Black, PLA Filament, 1.75mm Ubis Hot End, 6"" x 6"" x 6"" Build Volume || New Matter MOD-t Desktop 3D Printer | Built-In WiFi, Easy to Use, Safe and Quiet || FlashForge Finder 3D Printers with Cloud, Wi-Fi, USB cable and Flash drive connectivity"
3d_filament,<a_72>,4,0.010362694300518135,29,0.13793103448275862,"{'other': 12, 'tape': 8, '3d_filament': 4, 'adhesive_epoxy': 4, 'ventilation_fan': 1}","Gizmo Dorks Kapton Tape for 3D Printers 6.25"" x 100' || Addicore 10 Pack Kapton Tape Sheets Polyimide 8"" X 11"" 0.06mm (2.4mil) Thick With Release Liner for 3D Printer || Gizmo Dorks Blue Painters Tape for 3D Printers 6.25"" x 100' || Airwolf 3D A09800 3D Printer Bed Adhesive for ABS PETG TPE and TPU, 2 oz."
