variant,family,n,target_l1_in_history,target_l2_in_history
original,ALL,4533,0.40194131921464815,0.17229208030002205
original,3d_filament,1101,0.7002724795640327,0.35967302452316074
original,adhesive_epoxy,224,0.32589285714285715,0.07142857142857142
original,connector_fitting,273,0.40293040293040294,0.09523809523809523
original,fastener,142,0.30985915492957744,0.04225352112676056
original,gauge_meter,513,0.4346978557504873,0.34502923976608185
original,other,1873,0.25520555258942873,0.06139882541377469
original,tape,301,0.3222591362126246,0.11960132890365449
v2,ALL,4533,0.25170968453562764,0.14979042576660048
v2,3d_filament,1101,0.46321525885558584,0.30154405086285196
v2,adhesive_epoxy,224,0.17857142857142858,0.08482142857142858
v2,connector_fitting,273,0.21978021978021978,0.06593406593406594
v2,fastener,142,0.1619718309859155,0.02112676056338028
v2,gauge_meter,513,0.3742690058479532,0.33528265107212474
v2,other,1873,0.13347570742124934,0.05285638013881474
v2,tape,301,0.16943521594684385,0.09634551495016612
R650a,ALL,4533,0.24641517758658724,0.14273108316788
R650a,3d_filament,1101,0.44868301544050865,0.2724795640326976
R650a,adhesive_epoxy,224,0.20982142857142858,0.07142857142857142
R650a,connector_fitting,273,0.21978021978021978,0.0695970695970696
R650a,fastener,142,0.09154929577464789,0.014084507042253521
R650a,gauge_meter,513,0.3762183235867446,0.3333333333333333
R650a,other,1873,0.12493326214628937,0.05499199145755473
R650a,tape,301,0.2059800664451827,0.09302325581395349
R680a,ALL,4533,0.27024045885726894,0.1369953673064196
R680a,3d_filament,1101,0.5358764759309719,0.254314259763851
R680a,adhesive_epoxy,224,0.20982142857142858,0.0625
R680a,connector_fitting,273,0.2271062271062271,0.040293040293040296
R680a,fastener,142,0.11971830985915492,0.028169014084507043
R680a,gauge_meter,513,0.39766081871345027,0.3391812865497076
R680a,other,1873,0.12439935931660438,0.05499199145755473
R680a,tape,301,0.17940199335548174,0.08970099667774087
R690a,ALL,4533,0.3355393778954335,0.1542025148908008
R690a,3d_filament,1101,0.633969118982743,0.31607629427792916
R690a,adhesive_epoxy,224,0.26339285714285715,0.06696428571428571
R690a,connector_fitting,273,0.34065934065934067,0.06227106227106227
R690a,fastener,142,0.19014084507042253,0.02112676056338028
R690a,gauge_meter,513,0.39766081871345027,0.33723196881091616
R690a,other,1873,0.18366257341163908,0.057127602776294716
R690a,tape,301,0.2591362126245847,0.09966777408637874
R690b,ALL,4533,0.4259872049415398,0.1614824619457313
R690b,3d_filament,1101,0.7102633969118983,0.3024523160762943
R690b,adhesive_epoxy,224,0.4107142857142857,0.13392857142857142
R690b,connector_fitting,273,0.4468864468864469,0.09157509157509157
R690b,fastener,142,0.31690140845070425,0.035211267605633804
R690b,gauge_meter,513,0.44834307992202727,0.3469785575048733
R690b,other,1873,0.27442605445808865,0.062466631073144686
R690b,tape,301,0.4152823920265781,0.11627906976744186
R693a,ALL,4533,0.3445841606000441,0.16214427531436135
R693a,3d_filament,1101,0.6439600363306085,0.3369663941871026
R693a,adhesive_epoxy,224,0.26785714285714285,0.08035714285714286
R693a,connector_fitting,273,0.3333333333333333,0.07692307692307693
R693a,fastener,142,0.15492957746478872,0.02112676056338028
R693a,gauge_meter,513,0.4327485380116959,0.33528265107212474
R693a,other,1873,0.1788574479444741,0.05605979711692472
R693a,tape,301,0.3488372093023256,0.12292358803986711
R700a,ALL,4533,0.3017868960953011,0.14912861239797043
R700a,3d_filament,1101,0.547683923705722,0.296094459582198
R700a,adhesive_epoxy,224,0.30357142857142855,0.08482142857142858
R700a,connector_fitting,273,0.2600732600732601,0.08058608058608059
R700a,fastener,142,0.1619718309859155,0.02112676056338028
R700a,gauge_meter,513,0.4152046783625731,0.34502923976608185
R700a,other,1873,0.15589962626801923,0.04911906033101975
R700a,tape,301,0.2724252491694352,0.09966777408637874
