family,n_items,original_l1_count,qcr_l1_count,delta_l1_count,original_l2_count,qcr_l2_count,delta_l2_count,original_max_l1_bucket,qcr_max_l1_bucket,original_top_l1,qcr_top_l1,original_mean_item_l1_bucket,qcr_mean_item_l1_bucket,original_mean_item_l2_bucket,qcr_mean_item_l2_bucket
3d_filament,658,44,89,45,364,379,15,233,213,"[('<a_223>', 233), ('<a_158>', 68), ('<a_91>', 54), ('<a_224>', 33), ('<a_210>', 23)]","[('<a_191>', 213), ('<a_227>', 50), ('<a_53>', 37), ('<a_59>', 33), ('<a_221>', 23)]",99.96960486322189,80.44376899696049,7.3890577507598785,5.462006079027356
abrasive_sandpaper,43,16,17,1,35,40,5,19,12,"[('<a_193>', 19), ('<a_24>', 4), ('<a_68>', 3), ('<a_17>', 3), ('<a_251>', 3)]","[('<a_15>', 12), ('<a_161>', 6), ('<a_72>', 4), ('<a_5>', 3), ('<a_86>', 3)]",9.651162790697674,5.511627906976744,1.5116279069767442,1.1395348837209303
adhesive_glue,157,18,24,6,119,123,4,55,38,"[('<a_165>', 55), ('<a_244>', 44), ('<a_99>', 15), ('<a_228>', 12), ('<a_233>', 6)]","[('<a_241>', 38), ('<a_69>', 32), ('<a_210>', 16), ('<a_6>', 15), ('<a_228>', 9)]",34.64331210191083,20.401273885350317,1.7770700636942676,1.7388535031847134
battery_electrical,88,12,20,8,71,76,5,55,30,"[('<a_236>', 55), ('<a_73>', 8), ('<a_107>', 7), ('<a_30>', 4), ('<a_24>', 3)]","[('<a_220>', 30), ('<a_232>', 11), ('<a_93>', 10), ('<a_201>', 5), ('<a_112>', 4)]",36.15909090909091,13.909090909090908,1.4545454545454546,1.2954545454545454
bearing_mechanical,29,8,10,2,20,25,5,16,16,"[('<a_251>', 16), ('<a_71>', 5), ('<a_87>', 2), ('<a_158>', 2), ('<a_107>', 1)]","[('<a_44>', 16), ('<a_57>', 3), ('<a_245>', 2), ('<a_193>', 2), ('<a_163>', 1)]",10.10344827586207,9.620689655172415,1.8275862068965518,1.3448275862068966
blade_tool,51,13,13,0,43,43,0,17,15,"[('<a_193>', 17), ('<a_224>', 13), ('<a_17>', 5), ('<a_42>', 3), ('<a_104>', 3)]","[('<a_251>', 15), ('<a_86>', 12), ('<a_85>', 4), ('<a_15>', 4), ('<a_158>', 4)]",10.137254901960784,8.647058823529411,1.4313725490196079,1.5490196078431373
connector_terminal,79,8,14,6,50,58,8,38,29,"[('<a_67>', 38), ('<a_73>', 16), ('<a_236>', 10), ('<a_108>', 7), ('<a_23>', 4)]","[('<a_34>', 29), ('<a_223>', 21), ('<a_220>', 6), ('<a_140>', 4), ('<a_118>', 3)]",23.68354430379747,17.430379746835442,2.6455696202531644,1.9113924050632911
fastener_screw,182,23,34,11,115,142,27,109,37,"[('<a_224>', 109), ('<a_108>', 9), ('<a_68>', 8), ('<a_159>', 7), ('<a_42>', 6)]","[('<a_195>', 37), ('<a_170>', 29), ('<a_104>', 27), ('<a_2>', 17), ('<a_235>', 8)]",67.34065934065934,19.12087912087912,2.4725274725274726,1.5714285714285714
heat_shrink,57,4,6,2,30,35,5,40,40,"[('<a_228>', 40), ('<a_67>', 9), ('<a_17>', 7), ('<a_79>', 1)]","[('<a_228>', 40), ('<a_227>', 7), ('<a_118>', 7), ('<a_254>', 1), ('<a_48>', 1)]",30.36842105263158,29.842105263157894,2.824561403508772,2.719298245614035
label_tag,22,12,15,3,19,21,2,5,4,"[('<a_30>', 5), ('<a_36>', 3), ('<a_68>', 3), ('<a_236>', 2), ('<a_150>', 2)]","[('<a_232>', 4), ('<a_21>', 3), ('<a_93>', 2), ('<a_211>', 2), ('<a_65>', 1)]",2.6363636363636362,2.0,1.2727272727272727,1.0909090909090908
other,1554,46,110,64,1153,1259,106,86,37,"[('<a_150>', 86), ('<a_24>', 82), ('<a_94>', 81), ('<a_73>', 71), ('<a_71>', 68)]","[('<a_41>', 37), ('<a_245>', 36), ('<a_117>', 36), ('<a_254>', 36), ('<a_237>', 35)]",48.12355212355212,20.935649935649934,1.8597168597168596,1.6023166023166022
pipe_fitting,294,35,54,19,201,228,27,104,55,"[('<a_108>', 104), ('<a_17>', 24), ('<a_42>', 20), ('<a_71>', 16), ('<a_224>', 13)]","[('<a_140>', 55), ('<a_14>', 26), ('<a_114>', 22), ('<a_193>', 16), ('<a_202>', 11)]",43.97959183673469,18.31972789115646,2.2108843537414966,1.7210884353741496
staple,6,4,4,0,5,5,0,2,2,"[('<a_42>', 2), ('<a_206>', 2), ('<a_180>', 1), ('<a_24>', 1)]","[('<a_114>', 2), ('<a_72>', 2), ('<a_170>', 1), ('<a_146>', 1)]",1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333
tape,267,33,44,11,179,206,27,114,62,"[('<a_202>', 114), ('<a_68>', 21), ('<a_79>', 18), ('<a_122>', 15), ('<a_206>', 13)]","[('<a_247>', 62), ('<a_172>', 51), ('<a_136>', 20), ('<a_235>', 16), ('<a_179>', 15)]",54.70786516853933,29.299625468164795,2.4756554307116105,1.9438202247191012
wire_cable,199,24,32,8,130,149,19,61,41,"[('<a_67>', 61), ('<a_193>', 18), ('<a_42>', 16), ('<a_23>', 16), ('<a_71>', 15)]","[('<a_34>', 41), ('<a_57>', 20), ('<a_246>', 15), ('<a_161>', 13), ('<a_43>', 12)]",26.87939698492462,16.28643216080402,2.949748743718593,2.2562814070351758
