variant,sid,size,items,families,brands
original,<a_223><b_80><c_0>,3,"2659:3D Solutech:3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) || 3557:3D Solutech:3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG) || 3631:3D Solutech:3D Solutech Skin 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)","[('3d_filament', 3)]","[('3D Solutech', 3)]"
original,<a_210><b_231><c_0>,2,"7:UltraSource:UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000) || 8:UltraSource:UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)","[('other', 2)]","[('UltraSource', 2)]"
original,<a_197><b_204><c_0>,2,139:DuPont:DuPont Teflon Non-Stick || 774:DuPont:DuPont Teflon Non-Stick,"[('other', 2)]","[('DuPont', 2)]"
original,<a_107><b_93><c_0>,2,"181:AcuRite:AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || 182:AcuRite:AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","[('other', 2)]","[('AcuRite', 2)]"
original,<a_17><b_217><c_0>,2,216:UNKNOWN:Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG || 217:UNKNOWN:Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,"[('wire_cable', 2)]","[('UNKNOWN', 2)]"
original,<a_108><b_146><c_2>,2,"322:Merit Brass:Stainless Steel 316 Cast Pipe Fitting, Union, Class 150, 1/8"" NPT Female || 2100:Merit Brass:Stainless Steel 316 Cast Pipe Fitting, Coupling, Class 150, 1/2""NPT Female","[('pipe_fitting', 2)]","[('Merit Brass', 2)]"
original,<a_15><b_118><c_0>,2,"431:Osborn International:Industrial & Scientific"" /> || 1006:Osborn International:Industrial & Scientific"" />","[('other', 2)]","[('Osborn International', 2)]"
original,<a_14><b_233><c_0>,2,"1249:T-fal:T-fal C51402 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 8-Inch, Red || 1250:T-fal:T-fal C51402 Excite Nonstick Thermo-Spot Dishwasher Safe Oven Safe PFOA Free Fry Pan Cookware, 8-Inch, Red","[('fastener_screw', 2)]","[('T-fal', 2)]"
original,<a_122><b_52><c_0>,2,"1382:Shoegoo:Shoe GOO&reg; Adhesive, 3.7 fl oz || 1788:Shoegoo:Shoe GOO&reg; Adhesive, 3.7 fl oz","[('adhesive_glue', 2)]","[('Shoegoo', 2)]"
original,<a_108><b_146><c_0>,2,"1787:Merit Brass:Stainless Steel 316 Cast Pipe Fitting, Hex Head Plug, Class 150, 1/4"" NPT Male || 2831:Merit Brass:Stainless Steel 316 Pipe Fitting, Hex Countersunk Plug, Class 1000, 1/4"" NPT Male","[('pipe_fitting', 2)]","[('Merit Brass', 2)]"
original,<a_94><b_40><c_0>,2,1955:SEOH:SEOH 5 Pack Glass Borosilicate Graduated Beakers 50 100 250 600 and 1000ml || 3038:SEOH:SEOH 5 Pack Glass Borosilicate Graduated Beakers 50 100 250 600 and 1000ml,"[('other', 2)]","[('SEOH', 2)]"
